Outlet Name,Tab,Source,Item Code,Item Name,Category Name,Super Category Name,Rate,Item Qty,Constituent Qty,Total Qty,Amount,Discount,Net Amount,Total Tax,Gross Amount,% Contribution,
"Coffee Island GK II","DINE IN","POS","171","Roasted Turkey Tomato & Cheese Croissant","Hand Made Sandwiches","Main Course",390.00,4.00,0.00,4.00,1560.00,97.50,1462.50,73.13,1535.63,0.30,
"Coffee Island GK II","DINE IN","POS","529","Peperoncino Spaghetti Aglio Olio with Latte","Hot Value Combos (upto 40% off)","Value Combos (upto 40% off)",549.00,1.00,0.00,1.00,549.00,54.90,494.10,24.71,518.81,0.10,
"Coffee Island GK II","DINE IN","POS","115","Signature Belgian Dark Hot Chocolate","Hot Chocolate","Hot Beverages",282.70,37.00,0.00,37.00,10460.00,274.50,10185.50,509.28,10694.78,2.12,
"Coffee Island GK II","DINE IN","POS","45","Mocha Espressione Cold","Island Special-Cold","Cold Beverages",315.00,3.00,0.00,3.00,945.00,29.00,916.00,45.80,961.80,0.19,
"Coffee Island GK II","DINE IN","POS","689","Italian Arrabbiata Penne - Chicken","Pasta","Main Course",450.00,2.00,0.00,2.00,900.00,225.00,675.00,33.76,708.76,0.14,
"Coffee Island GK II","DINE IN","POS","197","Belgian Chocolate Double Scoop","Gelato","Desserts",340.00,1.00,0.00,1.00,340.00,0.00,340.00,17.00,357.00,0.07,
"Coffee Island GK II","DINE IN","POS","56","Berry Burst Paradise Milkshake","Milk Shake","Cold Beverages",270.00,4.00,0.00,4.00,1080.00,0.00,1080.00,54.00,1134.00,0.22,
"Coffee Island GK II","DINE IN","POS","684","Spaghetti Aglio Olio - Veg","Pasta","Main Course",400.00,4.00,0.00,4.00,1600.00,100.00,1500.00,75.00,1575.00,0.31,
"Coffee Island GK II","DINE IN","POS","649","Truffle & Parmesan Fries","Sides","Food",310.00,2.00,0.00,2.00,620.00,31.00,589.00,29.45,618.45,0.12,
"Coffee Island GK II","DINE IN","POS","302","Instant Classic Coffee Jar 100gm","Instant Coffee","Beans & Powder",416.95,1.00,0.00,1.00,416.95,416.95,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DINE IN","POS","626","Chamomile Sunset Classic(emp)","Emp_Bev","Emp_Bev",0.00,1.00,2.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DINE IN","POS","594","Basil & Oven Dried Tomato Pinwheel with Hot Latte Signature","Breakfast Specials (Make your own)","Breakfast Specials (Make your own)",149.00,10.00,0.00,10.00,1490.00,0.00,1490.00,74.50,1564.50,0.31,
"Coffee Island GK II","DINE IN","POS","150","Almond Milk @50","Choice of Milk","ADDON",50.00,1.00,23.00,24.00,50.00,0.00,50.00,2.50,52.50,0.01,
"Coffee Island GK II","DINE IN","POS","280","Coffee Almond Shots","Trail Mix","Snacks",100.85,2.00,0.00,2.00,201.70,0.00,201.70,10.08,211.78,0.04,
