Outlet Name,Tab,Source,Item Code,Item Name,Category Name,Super Category Name,Rate,Item Qty,Constituent Qty,Total Qty,Amount,Discount,Net Amount,Total Tax,Gross Amount,% Contribution,
"Coffee Island GK II","DELIVERY","POS","172","Cheesy Meatball Melt","Hand Made Sandwiches","Main Course",430.00,1.00,0.00,1.00,430.00,0.00,430.00,21.50,451.50,0.04,
"Coffee Island GK II","DELIVERY","POS","417","Bobastic Passionfruit Green Tea","Cold Brews","Cold Beverages",270.00,1.00,0.00,1.00,270.00,0.00,270.00,13.50,283.50,0.03,
"Coffee Island GK II","DELIVERY","POS","11","Islander Cold Coffee-Med","Cold Brews","Cold Beverages",320.00,1.00,0.00,1.00,320.00,0.00,320.00,16.00,336.00,0.03,
"Coffee Island GK II","DELIVERY","POS","42","Freddo Espresso Ristretto-Med","Island Special-Cold","Cold Beverages",280.00,1.00,0.00,1.00,280.00,0.00,280.00,14.00,294.00,0.03,
"Coffee Island GK II","DELIVERY","POS","97","Hot Latte Signature-reg","Hot Brews","Hot Beverages",260.00,1.00,0.00,1.00,260.00,0.00,260.00,13.00,273.00,0.03,
"Coffee Island GK II","DELIVERY","POS","235","Volcano Blend (Default)","Choice of Beans","ADDON",0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","POS","338","Regular - Milk -150g Default","Choice of Milk","ADDON",0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","POS","141","Kenya Single Estate @75","Choice of Beans","ADDON",75.00,2.00,0.00,2.00,150.00,0.00,150.00,7.50,157.50,0.02,
"Coffee Island GK II","DELIVERY","Swiggy","185","Cold Brew Tiramisu","Desserts","Desserts",390.00,1.00,0.00,1.00,390.00,62.90,327.10,16.36,343.46,0.03,
"Coffee Island GK II","DELIVERY","Swiggy","213","Sea Salt Caramel Brookie","Croissant Cookie & Muffin","Quick Bites",230.00,1.00,0.00,1.00,230.00,31.36,198.64,9.93,208.57,0.02,
