Deployment Name,StoreKitchen Name,Item Code ,Item Name,Category Name ,Super Category Name ,Average Price ,Opening Date ,Opening Qty ,Unit ,Amt ,Purchase Qty ,Amt ,Indent Receive Qty ,Amt ,Indent Dispatch Qty ,Amt ,InternalIndent Receive Qty ,Amt ,InternalIndent Dispatch Qty ,Amt ,Stock In Qty ,Amt ,Consumption Qty ,Amt ,Yield Wastage ,Amt ,Stock Out Qty ,Amt ,Total (Stock Out + Consumption Qty) ,Amt ,Wastage Qty ,Amt ,Reuse Qty ,Amt ,Return Qty ,Amt ,Closing Date ,Closing Qty ,Amt ,Latest Physical Qty ,Amt ,PhysicalGain/Loss Qty ,Amt ,Ideal Closing Qty ,Amt,Physical Adjusted Closing Qty ,Amt
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000001,Cup Sealing Machine- Cms-Tb-V1,BOH OTHER EQUIPMENT,CAPEX,0,01-01-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-01-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000002,Led Torch - Rechargeable (Small),BOH FOOD EQUIPMENT,CAPEX,0,01-01-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-01-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000011,Nvr - 16 Channel - 1016H,CCTV CAMERA & NETWORKING,CAPEX,0,01-01-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-01-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000012,Ir Camera - 4Mp - Cv440I,CCTV CAMERA & NETWORKING,CAPEX,0,01-01-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-01-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000016,Wireless Keyboard And Mouse - Combo Set,CCTV CAMERA & NETWORKING,CAPEX,0,01-01-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-01-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000017,Pos - Posiflex Ps3616,POS HARDWARE,CAPEX,0,01-01-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-01-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000018,Windows 10 License 2019,POS HARDWARE,CAPEX,0,01-01-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-01-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000019,Pos Printer Rp 80 V1 Rugtek,POS HARDWARE,CAPEX,0,01-01-2026,0,PCS..,0,2,19234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,31-01-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000020,Compact Metal Drawer - Cr 410,POS HARDWARE,CAPEX,2800,01-01-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-01-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000030,Johny Turkish/Ibrik Coffee Machine Ak/8-1N,BOH BEVERAGE EQUIPMENT,CAPEX,0,01-01-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-01-2026,0,0,NA,NA,0,0,0,0,0,0,
