Deployment Name ,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source ,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000086,Garlic Mushroom & Caramelized Onion Melt,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,9,PCS..,0,91.73,-,825.57,0,18,148.6,-,-,-,-,148.6,0,974.17,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000136,Mexican Rice Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PKT(500GM),0,83.22,-,416.1,0,18,74.9,-,-,-,-,74.9,0,491,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000116,Fajita Cottage Cheese,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,PKT(100GM),0,47.49,-,284.94,0,18,51.29,-,-,-,-,51.29,0,336.23,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000113,Broccomole,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,3,PKT(100GM),0,39.87,-,119.61,0,18,21.53,-,-,-,-,21.53,0,141.14,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000114,Tomato Salsa,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,2,PKT(100GM),0,14.26,-,28.52,0,18,5.13,-,-,-,-,5.13,0,33.65,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000115,Sour Cream,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,3,PKT(100GM),0,28.57,-,85.71,0,18,15.43,-,-,-,-,15.43,0,101.14,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000078,Chipotle Chicken,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,1,PKT(100GM),0,73.99,-,73.99,0,18,13.32,-,-,-,-,13.32,0,87.31,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000100,Roasted Tomato & Bocconcini Croissant,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,PCS..,0,155.1,-,930.6,0,18,167.51,-,-,-,-,167.51,0,1098.11,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000102,Belgian Chocolate Fudge Brownie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,11,PCS..,0,53.1,-,584.1,0,18,105.14,-,-,-,-,105.14,0,689.24,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000090,Pecan & Date Tea Cake,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,5,PCS..,0,77.48,-,387.4,0,18,69.73,-,-,-,-,69.73,0,457.13,,
