Deployment Name,Coffee Island Eros Churchgate - Mumbai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-09-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,30-09-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,29-12-2025, 05:21:06 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,CNC0000032,,CI Branded Hand Cut 16OZ Glass,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,248,-,248,24,1071.36,5952,7023.36,-,27-09-2025,24,1071.36,5952,7023.36,-,147,27-09-2025,24,1071.36,5952,7023.36,-,No,-,-,0,0,24,11904,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,CNC0000025,,CI Spanish Bom Bom Glass - BR-4010,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,306.25,-,306.25,12,661.5,3675,4336.5,-,27-09-2025,12,661.5,3675,4336.5,-,147,27-09-2025,12,661.5,3675,4336.5,-,No,-,-,0,0,12,7350,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,CNC0000033,,CI Whisky Glass for 100 ML Cork Bottle,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,192.75,-,192.75,12,416.34,2313,2729.34,-,27-09-2025,12,416.34,2313,2729.34,-,147,27-09-2025,12,416.34,2313,2729.34,-,No,-,-,0,0,12,4626,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000034,,Coffee Island Bag Sealing Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,3,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.05,-,1.05,1000,189,1050,1239,-,27-09-2025,1000,189,1050,1239,-,147,27-09-2025,1000,189,1050,1239,-,No,-,-,0,0,1000,2100,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000035,,Coffee Island Coin Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,3,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.27,-,1.27,500,114.3,635,749.3,-,27-09-2025,500,114.3,635,749.3,-,147,27-09-2025,500,114.3,635,749.3,-,No,-,-,0,0,500,1270,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000037,,Coffee Island Milk Variant Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,3,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.75,-,0.75,504,68.04,378,446.04,-,27-09-2025,504,68.04,378,446.04,-,147,27-09-2025,504,68.04,378,446.04,-,No,-,-,0,0,504,756,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000036,,Coffee Island MRD Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,3,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.44,-,0.44,1050,83.16,462,545.16,-,27-09-2025,1050,83.16,462,545.16,-,147,27-09-2025,1050,83.16,462,545.16,-,No,-,-,0,0,1050,924,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,RAW0000043,,Coffee Powder - Coffeeccino,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,790,-,790,10,1422,7900,9322,-,27-09-2025,10,1422,7900,9322,-,147,27-09-2025,10,1422,7900,9322,-,No,-,-,0,0,10,15800,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,CAP0000450,,Crisp Basket for RTE,CT_13,SMALLWARE,-,CAPEX,PCS,750,-,750,2,180,1500,1680,-,27-09-2025,2,180,1500,1680,-,147,27-09-2025,2,180,1500,1680,-,No,-,-,0,0,2,3000,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,CNC0000006,,Cup And Saucer Set - 04Oz,CT_15,CROCKERY,-,CROCKERY & CUTLERY,PCS..,255,-,255,15,459,3825,4284,-,27-09-2025,15,459,3825,4284,-,147,27-09-2025,15,459,3825,4284,-,No,-,-,0,0,15,7650,0,0,Returned
