Deployment Name,Coffee Island Beyond GK II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-12-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,28-12-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,29-12-2025, 05:19:12 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,CNC0000033,,CI Whisky Glass for 100 ML Cork Bottle,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,146.02,-,146.02,12,87.61,1752.25,1839.86,-,02-12-2025,12,87.61,1752.253333,1839.86,-,237,03-12-2025,12,87.61,1752.25,1839.86,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,CAP0000004,,Commercial Induction Cook Top,CT_02,BOH FOOD EQUIPMENT,-,CAPEX,PCS..,12000,-,12000,3,6480,36000,42480,-,02-12-2025,3,6480,36000,42480,-,237,03-12-2025,3,6480,36000,42480,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,CNC0000016,,Dinner Fork,CT_16,CUTLERY,-,CROCKERY & CUTLERY,PCS..,38.75,-,38.75,18,125.55,697.5,823.05,-,02-12-2025,18,125.55,697.5,823.05,-,237,03-12-2025,18,125.55,697.5,823.05,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,CNC0000015,,Dinner Spoon,CT_16,CUTLERY,-,CROCKERY & CUTLERY,PCS..,38.75,-,38.75,18,125.55,697.5,823.05,-,02-12-2025,18,125.55,697.5,823.05,-,237,03-12-2025,18,125.55,697.5,823.05,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,,,GM Kala Khatta Syrup 750ML,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(750ML,407.55,-,407.55,1,20.38,407.55,427.93,-,02-12-2025,1,20.38,407.55,427.93,-,237,03-12-2025,1,20.38,407.55,427.93,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,,,GM Masala Lemonade Syrup 1000ML,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(1LTR),465,-,465,1,23.25,465,488.25,-,02-12-2025,1,23.25,465,488.25,-,237,03-12-2025,1,23.25,465,488.25,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,,,GM Nimbu Masala Syrup 750ML,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(750ML,380,-,380,1,19,380,399,-,02-12-2025,1,19,380,399,-,237,03-12-2025,1,19,380,399,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,,,GM Orange Crush 1000ML,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(1LTR),245,-,245,1,12.25,245,257.25,-,02-12-2025,1,12.25,245,257.25,-,237,03-12-2025,1,12.25,245,257.25,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,,,GM Spicy Mango Syrup 750ML,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(750ML,251,-,251,1,12.55,251,263.55,-,02-12-2025,1,12.55,251,263.55,-,237,03-12-2025,1,12.55,251,263.55,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-12-2025,02-12-2025,IN53,Received,CAP0000517,,Soda Maker M/C Black With 500ml Pet Bottle,CT_05,BOH BEVERAGE EQUIPMENT,-,CAPEX,PCS..,2754.24,-,2754.24,1,495.76,2754.24,3250,-,02-12-2025,1,495.76,2754.24,3250,-,237,03-12-2025,1,495.76,2754.24,3250,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island NSP - New Delhi,Coffee Island Beyond GK II,-,01-12-2025,-,DD4,Received,RAW0000005,,Beans - Ethiopian Single Estate,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,GM,3.01,-,3.01,0,-,0,0,-,01-12-2025,500,75.33,1506.665,1582,-,4,01-12-2025,500,75.33,1506.67,1582,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island NSP - New Delhi,Coffee Island Beyond GK II,-,01-12-2025,-,DD4,Received,RET0000076,,CI Black Coffee Mug - Yellow Inside,CT_61,MUGS/CUPS,-,RETAIL,PCS,138.39,-,138.39,0,-,0,0,-,01-12-2025,3,74.73,415.17,489.9,-,4,01-12-2025,3,74.73,415.17,489.9,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island NSP - New Delhi,Coffee Island Beyond GK II,-,01-12-2025,-,DD4,Received,RET0000011,,Cork Diary,CT_60,LIFESTYLE ACCESSORIES,-,RETAIL,PCS..,190,-,190,0,-,0,0,-,01-12-2025,2,68.4,380,448.4,-,4,01-12-2025,2,68.4,380,448.4,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island NSP - New Delhi,Coffee Island Beyond GK II,-,01-12-2025,-,DD4,Received,RET0000006,,Instant Classic Coffee Jar - 100Gm,CT_59,INSTANT COFFEE - DRY,-,RETAIL,PCS,268.47,-,268.47,0,-,0,0,-,01-12-2025,4,193.3,1073.88,1267.18,-,4,01-12-2025,4,193.3,1073.88,1267.18,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island NSP - New Delhi,Coffee Island Beyond GK II,-,01-12-2025,-,DD4,Received,RAW0000050,,Syrup - Brown Butter,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,GM,0.62,-,0.62,0,-,0,0,-,01-12-2025,1000,30.77,615.3846154,646.15,-,4,01-12-2025,1000,30.77,615.38,646.15,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,02-12-2025,03-12-2025,IN54,Received,CNC0000035,70131000,CI Boba Beverage Glassware 360ML,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,60,-,60,12,129.6,720,849.6,-,02-12-2025,12,129.6,720,849.6,-,238,03-12-2025,12,129.6,720,849.6,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,02-12-2025,03-12-2025,IN54,Received,CAP0000516,,SS Handle Non Stick Pan - Black Diamond 26 Cm,CT_13,SMALLWARE,-,CAPEX,PCS,925,-,925,4,185,3700,3885,-,02-12-2025,4,185,3700,3885,-,238,03-12-2025,4,185,3700,3885,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,03-12-2025,05-12-2025,IN55,Received,RAW0000001,,Beans - Master Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,798.33,-,798.33,10,399.17,7983.3,8382.47,-,04-12-2025,10,399.17,7983.3,8382.47,-,239,05-12-2025,10,399.17,7983.3,8382.47,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,03-12-2025,05-12-2025,IN55,Received,RAW0000025,,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,10,392.5,7850,8242.5,-,04-12-2025,10,392.5,7850,8242.5,-,239,05-12-2025,10,392.5,7850,8242.5,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,03-12-2025,05-12-2025,IN55,Received,CNC0000025,,CI Spanish Bom Bom Glass - BR-4010,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,306.25,-,306.25,10,551.25,3062.5,3613.75,-,04-12-2025,10,551.25,3062.5,3613.75,-,239,05-12-2025,10,551.25,3062.5,3613.75,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,03-12-2025,05-12-2025,IN55,Received,PKG0000034,,Coffee Island Bag Sealing Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,3,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.05,-,1.05,1000,189,1050,1239,-,04-12-2025,1000,189,1050,1239,-,239,05-12-2025,1000,189,1050,1239,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,03-12-2025,05-12-2025,IN55,Received,PKG0000018,,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.23,-,2.23,300,120.15,667.5,787.65,-,04-12-2025,300,120.15,667.5011249,787.65,-,239,05-12-2025,300,120.15,667.5,787.65,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,03-12-2025,05-12-2025,IN55,Received,PKG0000012,,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.7,-,4.7,600,507.6,2820,3327.6,-,04-12-2025,600,507.6,2820,3327.6,-,239,05-12-2025,600,507.6,2820,3327.6,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,03-12-2025,05-12-2025,IN55,Received,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.65,-,4.65,200,167.4,930,1097.4,-,04-12-2025,200,167.4,930,1097.4,-,239,05-12-2025,200,167.4,930,1097.4,-,No,-,-,0,0,0,0,0,0,Received
