Deployment Name,Coffee Island - Tribeca Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,31-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,29-12-2025, 05:11:39 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
Coffee Island - Amanora Mall,Coffee Island - Tribeca Pune,-,07-10-2025,-,DD3,Received,RAW0000162,,Tiramisu Paris-Brest,CT_55,RM FOOD - VEG INGREDIENTS,-,RAW MATERIAL,PCS,132.36,-,132.36,0,-,0,0,-,07-10-2025,1,23.82,132.36,156.18,-,3,08-10-2025,1,23.82,132.36,156.18,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island - Amanora Mall,Coffee Island - Tribeca Pune,-,16-10-2025,-,DD5,Received,RAW0000025,,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,GM,0.79,-,0.79,0,-,0,0,-,16-10-2025,2000,282.6,1570,1852.6,Short stock,5,16-10-2025,2000,282.6,1570,1852.6,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island - Amanora Mall,Coffee Island - Tribeca Pune,-,21-10-2025,-,DD6,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,GM,0.77,-,0.77,0,-,0,0,-,21-10-2025,6000,230.5,4609.98,4840.48,-,6,21-10-2025,6000,230.5,4609.98,4840.48,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,UNI0000004,,Apron With Ci Logo,CT_80,UNIFORM - APRON,-,UNIFORM,PCS..,300,-,300,4,60,1200,1260,-,24-10-2025,4,60,1200,1260,-,185,03-11-2025,4,60,1200,1260,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,RAW0000001,,Beans - Master Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,798.33,-,798.33,5,199.58,3991.65,4191.23,-,24-10-2025,0,-,0,0,-,,03-11-2025,0,-,0,0,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,768.33,-,768.33,25,960.41,19208.25,20168.66,-,24-10-2025,25,960.41,19208.25,20168.66,-,185,03-11-2025,25,960.41,19208.25,20168.66,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,CNC0000035,70131000,CI Boba Beverage Glassware 360ML,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,60,-,60,12,129.6,720,849.6,-,24-10-2025,12,129.6,720,849.6,-,185,03-11-2025,12,129.6,720,849.6,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,3000,210.6,1170,1380.6,-,24-10-2025,3000,210.6,1170,1380.6,-,185,03-11-2025,3000,210.6,1170,1380.6,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,RET0000007,,Instant Classic Coffee Jar - 50Gm,CT_59,INSTANT COFFEE - DRY,-,RETAIL,PCS..,136.56,-,136.56,48,1179.88,6554.88,7734.76,-,24-10-2025,0,-,0,0,-,,03-11-2025,0,-,0,0,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,RAW0000145,,J1 Matcha Powder,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,PCS(20GM),126.61,-,126.61,15,94.96,1899.17,1994.13,-,24-10-2025,0,-,0,0,-,,03-11-2025,0,-,0,0,-,No,-,-,0,0,0,0,0,0,Received
