Deployment Name,Coffee Island Phoenix Market City - Mumbai
Start Date,01-10-2025
End Date,31-10-2025
Report Generation Date&Time,31/12/2025, 01:11:41 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,UNI0000036,,CI Female Cap,CT_81,UNIFORM - CAP/HEAD GEARS,-,UNIFORM,PCS.,250,-,250,4,50,1000,1050,-,11-10-2025,4,50,1000,1050,-,167,16-10-2025,4,50,1000,1050,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,CNC0000025,,CI Spanish Bom Bom Glass - BR-4010,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,306.25,-,306.25,12,661.5,3675,4336.5,-,11-10-2025,12,661.5,3675,4336.5,-,167,16-10-2025,12,661.5,3675,4336.5,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,CNC0000033,,CI Whisky Glass for 100 ML Cork Bottle,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,192.75,-,192.75,12,416.34,2313,2729.34,-,11-10-2025,12,416.34,2313,2729.34,-,167,16-10-2025,12,416.34,2313,2729.34,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000034,,Coffee Island Bag Sealing Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,03,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.05,-,1.05,1000,189,1050,1239,-,11-10-2025,1000,189,1050,1239,-,167,16-10-2025,1000,189,1050,1239,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000035,,Coffee Island Coin Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,03,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.27,-,1.27,540,123.44,685.8,809.24,-,11-10-2025,540,123.44,685.8,809.24,-,167,16-10-2025,540,123.44,685.8,809.24,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000037,,Coffee Island Milk Variant Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,03,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.75,-,0.75,540,72.9,405,477.9,-,11-10-2025,540,72.9,405,477.9,-,167,16-10-2025,540,72.9,405,477.9,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000036,,Coffee Island MRD Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,03,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.44,-,0.44,1050,83.16,462,545.16,-,11-10-2025,1050,83.16,462,545.16,-,167,16-10-2025,1050,83.16,462,545.16,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,RAW0000043,,Coffee Powder - Coffeeccino,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,790,-,790,5,711,3950,4661,-,11-10-2025,5,711,3950,4661,-,167,16-10-2025,5,711,3950,4661,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,CAP0000450,,Crisp Basket for RTE,CT_13,SMALLWARE,-,CAPEX,PCS,750,-,750,2,75,1500,1575,-,11-10-2025,2,75,1500,1575,-,167,16-10-2025,2,75,1500,1575,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,CNC0000006,,Cup And Saucer Set - 04Oz,CT_15,CROCKERY,-,CROCKERY & CUTLERY,PCS..,255,-,255,15,459,3825,4284,-,11-10-2025,15,459,3825,4284,-,167,16-10-2025,15,459,3825,4284,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,CNC0000008,,Cup And Saucer Set - 08Oz,CT_15,CROCKERY,-,CROCKERY & CUTLERY,PCS..,298,-,298,30,1072.8,8940,10012.8,-,11-10-2025,30,1072.8,8940,10012.8,-,167,16-10-2025,30,1072.8,8940,10012.8,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,CNC0000018,,Demitasse Spoon,CT_16,CUTLERY,-,CROCKERY & CUTLERY,PCS..,31.47,-,31.47,15,84.97,472.05,557.02,-,11-10-2025,15,84.97,472.04999999999995,557.02,-,167,16-10-2025,15,84.97,472.05,557.02,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,CNC0000016,,Dinner Fork,CT_16,CUTLERY,-,CROCKERY & CUTLERY,PCS..,38.75,-,38.75,30,209.25,1162.5,1371.75,-,11-10-2025,30,209.25,1162.5,1371.75,-,167,16-10-2025,30,209.25,1162.5,1371.75,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,CNC0000014,,Dinner Knife,CT_16,CUTLERY,-,CROCKERY & CUTLERY,PCS..,67.92,-,67.92,30,366.77,2037.6,2404.37,-,11-10-2025,30,366.77,2037.5999999999997,2404.37,-,167,16-10-2025,30,366.77,2037.6,2404.37,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,CNC0000007,,Dinner Plate,CT_15,CROCKERY,-,CROCKERY & CUTLERY,PCS..,278,-,278,24,800.64,6672,7472.64,-,11-10-2025,24,800.64,6672,7472.64,-,167,16-10-2025,24,800.64,6672,7472.64,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,CNC0000015,,Dinner Spoon,CT_16,CUTLERY,-,CROCKERY & CUTLERY,PCS..,38.75,-,38.75,30,209.25,1162.5,1371.75,-,11-10-2025,30,209.25,1162.5,1371.75,-,167,16-10-2025,30,209.25,1162.5,1371.75,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,CNC0000010,,Dip Bowl,CT_15,CROCKERY,-,CROCKERY & CUTLERY,PCS..,117,-,117,12,168.48,1404,1572.48,-,11-10-2025,12,168.48,1404,1572.48,-,167,16-10-2025,12,168.48,1404,1572.48,-,No,-,-,0,0.00,0,0,0,0,Received,
