Deployment Name,Coffee Island Beyond GK II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,31-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,29-12-2025, 05:18:37 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
Coffee Island AIPL,Coffee Island Beyond GK II,-,10-10-2025,-,DD11,Received,RET0000051,,Sipper - Biggest White With Steel Rim,CT_69,SIPPERS/BOTTLES,-,RETAIL,PCS,400,-,400,0,-,0,0,-,10-10-2025,1,48,400,448,-,12,10-10-2025,1,48,400,448,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,11-10-2025,11-10-2025,IN38,Received,UNI0000036,,CI Female Cap,CT_81,UNIFORM - CAP/HEAD GEARS,-,UNIFORM,PCS.,250,-,250,4,50,1000,1050,-,11-10-2025,4,50,1000,1050,-,166,13-10-2025,4,50,1000,1050,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,13-10-2025,15-10-2025,IN39,Received,RAW0000001,,Beans - Master Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,798.33,-,798.33,5,199.58,3991.65,4191.23,-,14-10-2025,0,-,0,0,-,,15-10-2025,0,-,0,0,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,13-10-2025,15-10-2025,IN39,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,768.33,-,768.33,20,768.33,15366.6,16134.93,-,14-10-2025,20,768.33,15366.6,16134.93,-,176,15-10-2025,20,768.33,15366.6,16134.93,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,13-10-2025,15-10-2025,IN39,Received,PKG0000016,,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,3.09,-,3.09,1000,556.2,3090,3646.2,-,14-10-2025,1000,556.2,3090.00375,3646.2,-,176,15-10-2025,1000,556.2,3090,3646.2,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,13-10-2025,15-10-2025,IN39,Received,PKG0000012,,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.7,-,4.7,500,423,2350,2773,-,14-10-2025,500,423,2350,2773,-,176,15-10-2025,500,423,2350,2773,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,13-10-2025,15-10-2025,IN39,Received,PKG0000002,,Disposable - Wooden Fork,CT_19,DISPOSABLE CUTLERY - WOODEN FORK,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,500,39,325,364,-,14-10-2025,500,39,325,364,-,176,15-10-2025,500,39,325,364,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,14-10-2025,15-10-2025,IN40,Received,PKG0000031,,Kitchen Roll 1 Kg,CT_30,DISPOSABLE PACKAGING - KITCHEN ROLL,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,115,-,115,12,248.4,1380,1628.4,-,14-10-2025,12,248.4,1380,1628.4,-,177,15-10-2025,12,248.4,1380,1628.4,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island AIPL,Coffee Island Beyond GK II,-,21-10-2025,-,DD16,Supplied,RAW0000077,,Chipotle Chicken Mozzarella Pide Base,CT_54,RM FOOD - NON VEG INGREDIENTS,-,RAW MATERIAL,PCS,68.42,-,68.42,0,-,0,0,-,21-10-2025,1,12.32,68.42,80.74,-,17,-,0,-,0,0,-,No,-,-,0,0,0,0,0,0,Supplied
Coffee Island AIPL,Coffee Island Beyond GK II,-,21-10-2025,-,DD16,Supplied,RET0000071,,Coconut Water,CT_66,RTD JUICES - BOTTLE/CAN,-,RETAIL,PCS,21.43,-,21.43,0,-,0,0,-,21-10-2025,10,25.72,214.3,240.02,-,17,-,0,-,0,0,-,No,-,-,0,0,0,0,0,0,Supplied
Coffee Island AIPL,Coffee Island Beyond GK II,-,21-10-2025,-,DD16,Supplied,PKG0000016,,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,3.25,-,3.25,0,-,0,0,-,21-10-2025,100,58.45,324.6985075,383.15,-,17,-,0,-,0,0,-,No,-,-,0,0,0,0,0,0,Supplied
Coffee Island AIPL,Coffee Island Beyond GK II,-,21-10-2025,-,DD16,Supplied,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.97,-,4.97,0,-,0,0,-,21-10-2025,100,89.46,497,586.46,-,17,-,0,-,0,0,-,No,-,-,0,0,0,0,0,0,Supplied
Coffee Island AIPL,Coffee Island Beyond GK II,-,21-10-2025,-,DD16,Supplied,RAW0000086,,Garlic Mushroom & Caramelized Onion Melt,CT_55,RM FOOD - VEG INGREDIENTS,-,RAW MATERIAL,PCS,98.46,-,98.46,0,-,0,0,-,21-10-2025,2,35.45,196.9172414,232.37,-,17,-,0,-,0,0,-,No,-,-,0,0,0,0,0,0,Supplied
