Deployment Name,Coffee Island HQ-27
Start Date,01-11-2025
End Date,30-11-2025
Report Generation Date&Time,31/12/2025, 01:06:11 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,

Coffee Island AIPL,Coffee Island HQ-27,-,04-11-2025,-,DD19,Received,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,0,-,0,0,-,04-11-2025,500,35.34,196.34170274170273,231.68,-,20,05-11-2025,500,35.34,196.34,231.68,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,04-11-2025,-,DD19,Received,RET0000009,,Pack Of 30 Sachets Flavoured Instant Coffee,CT_59,INSTANT COFFEE - DRY,-,RETAIL,PCS..,145.34,-,145.34,0,-,0,0,-,04-11-2025,1,26.16,145.34,171.5,-,20,05-11-2025,1,26.16,145.34,171.5,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,05-11-2025,-,DD20,Received,RAW0000151,,Basil & Oven Dried Tomato Pinwheel,CT_55,RM FOOD - VEG INGREDIENTS,-,RAW MATERIAL,PCS,41.45,-,41.45,0,-,0,0,-,05-11-2025,1,7.46,41.45,48.91,-,21,05-11-2025,1,7.46,41.45,48.91,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,05-11-2025,-,DD20,Received,RAW0000075,,Herb Chicken Open Puff Base,CT_54,RM FOOD - NON VEG INGREDIENTS,-,RAW MATERIAL,PCS,39.22,-,39.22,0,-,0,0,-,05-11-2025,2,14.12,78.44073732718894,92.56,-,21,05-11-2025,2,14.12,78.44,92.56,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,05-11-2025,07-11-2025,IN34,Received,RAW0000034,,Chocolate Powder - 0% Sugar,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,1039,-,1039,2,103.9,2078,2181.9,-,07-11-2025,0,-,0,0,-,,09-11-2025,0,-,0,0,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,05-11-2025,07-11-2025,IN34,Received,RAW0000025,,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,5,196.25,3925,4121.25,-,07-11-2025,5,196.25,3925,4121.25,-,200,09-11-2025,5,196.25,3925,4121.25,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,05-11-2025,07-11-2025,IN34,Received,PKG0000016,,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,3.09,-,3.09,300,166.86,927,1093.86,-,07-11-2025,300,166.86,927.0011249296919,1093.86,-,200,09-11-2025,300,166.86,927,1093.86,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,05-11-2025,07-11-2025,IN34,Received,PKG0000018,,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.3,-,2.3,400,165.6,920,1085.6,-,07-11-2025,0,-,0,0,-,,09-11-2025,0,-,0,0,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,05-11-2025,07-11-2025,IN34,Received,PKG0000012,,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.7,-,4.7,500,423,2350,2773,-,07-11-2025,500,423,2350,2773,-,200,09-11-2025,500,423,2350,2773,-,No,-,-,0,0.00,0,0,0,0,Received,
