Deployment Name,Coffee Island - Amanora Mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,31-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,29-12-2025, 05:08:28 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
Warehouse NCR,Coffee Island - Amanora Mall,-,05-10-2025,08-10-2025,IN11,Received,PKG0000007,,Yellow Carry Bag Medium - Ci,CT_21,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,8.61,-,8.61,1000,1549.8,8610,10159.8,-,06-10-2025,1000,1549.8,8610,10159.8,-,157,10-10-2025,1000,1549.8,8610,10159.8,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,11-10-2025,12-10-2025,IN12,Received,UNI0000036,,CI Female Cap,CT_81,UNIFORM - CAP/HEAD GEARS,-,UNIFORM,PCS.,250,-,250,2,25,500,525,-,13-10-2025,2,25,500,525,-,170,20-10-2025,2,25,500,525,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,11-10-2025,12-10-2025,IN12,Received,PKG0000016,,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,3.09,-,3.09,2000,1112.4,6180.007,7292.407,-,13-10-2025,700,389.34,2163.002625,2552.343,-,170,20-10-2025,700,389.34,2163.003,2552.343,WE RECEIVED 1300 DAMAGE DOME LID,No,-,-,0,0,0,4017.005,0,0,Suspicious Resolved By Supplier
Warehouse NCR,Coffee Island - Amanora Mall,-,11-10-2025,12-10-2025,IN12,Received,PKG0000021,,Disposable - Straw - 12Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.65,-,1.65,200,59.4,330,389.4,-,13-10-2025,200,59.4,330,389.4,-,170,20-10-2025,200,59.4,330,389.4,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,11-10-2025,12-10-2025,IN12,Received,UNI0000015,,Polo T-Shirt With Ci Logo - Large,CT_82,UNIFORM - SHIRT/T SHIRT,-,UNIFORM,PCS,340,-,340,3,51,1020,1071,-,13-10-2025,3,51,1020,1071,-,170,20-10-2025,3,51,1020,1071,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,11-10-2025,12-10-2025,IN12,Received,UNI0000007,,Polo T-Shirt With Ci Logo - Medium,CT_82,UNIFORM - SHIRT/T SHIRT,-,UNIFORM,PCS..,340,-,340,2,34,680,714,-,13-10-2025,2,34,680,714,-,170,20-10-2025,2,34,680,714,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,11-10-2025,12-10-2025,IN12,Received,UNI0000017,,Polo T-Shirt With Ci Logo - XXL,CT_82,UNIFORM - SHIRT/T SHIRT,-,UNIFORM,PCS,340,-,340,3,51,1020,1071,-,13-10-2025,3,51,1020,1071,-,170,20-10-2025,3,51,1020,1071,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,11-10-2025,12-10-2025,IN12,Received,UNI0000018,,Royal Blue Shirt F/S With Chinese Colour CI- Mens Large,CT_82,UNIFORM - SHIRT/T SHIRT,-,UNIFORM,PCS..,440,-,440,3,66,1320,1386,-,13-10-2025,3,66,1320,1386,-,170,20-10-2025,3,66,1320,1386,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,11-10-2025,12-10-2025,IN12,Received,UNI0000005,,Team Member Ci Cap - Blue,CT_81,UNIFORM - CAP/HEAD GEARS,-,UNIFORM,PCS..,200,-,200,4,40,800,840,-,13-10-2025,4,40,800,840,-,170,20-10-2025,4,40,800,840,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,13-10-2025,15-10-2025,IN13,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,768.33,-,768.33,20,768.33,15366.6,16134.93,-,14-10-2025,20,768.33,15366.6,16134.93,-,179,20-10-2025,20,768.33,15366.6,16134.93,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,13-10-2025,15-10-2025,IN13,Received,RAW0000025,,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,5,706.5,3925,4631.5,-,14-10-2025,0,-,0,0,-,,20-10-2025,0,-,0,0,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,13-10-2025,15-10-2025,IN13,Received,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,30,2.11,11.7,13.81,-,14-10-2025,0,-,0,0,-,,20-10-2025,0,-,0,0,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,13-10-2025,15-10-2025,IN13,Received,RAW0000145,,J1 Matcha Powder,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,PCS(20GM),126.611,-,126.611,10,63.31,1266.112,1329.422,-,14-10-2025,0,-,0,0,-,,20-10-2025,0,-,0,0,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,16-10-2025,20-10-2025,IN14,Received,CNC0000035,70131000,CI Boba Beverage Glassware 360ML,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,60,-,60,12,129.6,720,849.6,-,24-10-2025,12,129.6,720,849.6,-,184,30-10-2025,12,129.6,720,849.6,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,16-10-2025,20-10-2025,IN14,Received,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,3000,210.6,1170,1380.6,-,24-10-2025,3000,210.6,1170,1380.6,-,184,30-10-2025,3000,210.6,1170,1380.6,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,16-10-2025,20-10-2025,IN14,Received,PKG0000015,,Plastic Transparent Bowl,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,7.41,-,7.41,300,400.14,2223,2623.14,-,24-10-2025,300,400.14,2223,2623.14,-,184,30-10-2025,300,400.14,2223,2623.14,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island - Tribeca Pune,Coffee Island - Amanora Mall,-,28-10-2025,-,DD2,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,GM,0.768,-,0.768,0,-,0,0,-,28-10-2025,3000,115.25,2304.99,2420.24,-,2,29-10-2025,3000,115.25,2304.99,2420.24,-,No,-,-,0,0,0,0,0,0,Received
,,,,,,,,,,,,,,,,,,Grand Total,10501.07,79902.439,90403.509,,,,9119.76,72978.813,82098.573,,,,,9119.76,72978.813,82098.573,,,,,,0,,0,,0,
