Deployment Name,StoreKitchen Name,Item Code ,Item Name,Category Name ,Super Category Name ,Average Price ,Opening Date ,Opening Qty ,Unit ,Amt ,Purchase Qty ,Amt ,Indent Receive Qty ,Amt ,Indent Dispatch Qty ,Amt ,InternalIndent Receive Qty ,Amt ,InternalIndent Dispatch Qty ,Amt ,Stock In Qty ,Amt ,Consumption Qty ,Amt ,Yield Wastage ,Amt ,Stock Out Qty ,Amt ,Total (Stock Out + Consumption Qty) ,Amt ,Wastage Qty ,Amt ,Reuse Qty ,Amt ,Return Qty ,Amt ,Closing Date ,Closing Qty ,Amt ,Latest Physical Qty ,Amt ,PhysicalGain/Loss Qty ,Amt ,Ideal Closing Qty ,Amt,Physical Adjusted Closing Qty ,Amt
Coffee Island AIPL,Coffee Island AIPL Main Store,RAW0000055,Tea Bag - English Breakfast,RM BEVERAGES - TEA BAGS,RAW MATERIAL,7.35,01-04-2025,0,PCS,0,200,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1470,200,1470,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RAW0000054,Tea Bag - Indian Masala,RM BEVERAGES - TEA BAGS,RAW MATERIAL,7.88,01-04-2025,0,PCS,0,200,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1575,200,1575,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RAW0000053,Tea Bag - Chamomile And Lemon Grass,RM BEVERAGES - TEA BAGS,RAW MATERIAL,8.4,01-04-2025,0,PCS,0,200,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1680,200,1680,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,KIA0000024,ISI Nitro Chargers (16) 2.4g/Unit,COOKING ACCESSORIES,KITCHEN ACCESSORIES,867.3,01-04-2025,0,PCS,0,8,6938.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6938.4,8,6938.4,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,STC0000039,Book Maintenance Checklist,STATIONARY,STORE CONSUMABLES,112.1,01-04-2025,0,PCS..,0,1,112.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112.1,1,112.1,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,STC0000046,Appreciation Certificates,STATIONARY,STORE CONSUMABLES,17.7,01-04-2025,0,PCS..,0,12,212.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,212.4,12,212.4,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,STC0000047,Island Star Card,STATIONARY,STORE CONSUMABLES,5.9,01-04-2025,0,PCS..,0,50,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,295,50,295,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,STC0000048,A3 Aluminium Frame Fssai,STATIONARY,STORE CONSUMABLES,826,01-04-2025,0,PCS..,0,1,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,826,1,826,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,STC0000044,Poster A4 Food Job Aid Single Side Print A4 With Pouch Lamination,STATIONARY,STORE CONSUMABLES,35.4,01-04-2025,0,PCS..,0,34,1203.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1203.6,34,1203.6,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,STC0000045,Poster A4 Food Job Aid Both Side Print A4 With Pouch Lamination,STATIONARY,STORE CONSUMABLES,53.1,01-04-2025,0,PCS..,0,2,106.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,106.2,2,106.2,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,STC0000043,Poster A4 Beverage Job Aid Single Side Print A4 With Pouch Lamination,STATIONARY,STORE CONSUMABLES,35.4,01-04-2025,0,PCS..,0,69,2442.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2442.6,69,2442.6,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,STC0000056,Shelf-Life Chart,STATIONARY,STORE CONSUMABLES,18.88,01-04-2025,0,PCS..,0,1,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.88,1,18.88,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,STC0000041,Msds Book,STATIONARY,STORE CONSUMABLES,153.4,01-04-2025,0,PCS..,0,1,153.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,153.4,1,153.4,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,STC0000042,Book Integrated Pest Management Booklet,STATIONARY,STORE CONSUMABLES,59,01-04-2025,0,PCS..,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,1,59,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RAW0000051,Chip - Chocolate Chip - Morde,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,0.37,01-04-2025,0,GM,0,10000,3721.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,3721.72,10000,3721.72,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,STC0000040,Book Operational Checklist,STATIONARY,STORE CONSUMABLES,194.7,01-04-2025,0,PCS..,0,1,194.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,194.7,1,194.7,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
