Warehouse,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source 
Warehouse NCR,Central Store,Rajneesh Pandey,FAIRDEAL DISTRIBUTORS,19-09-2025,SE-57,I-25-26/1504,-,-,PO-62,18-09-2025,RAW0000148,Passion Fruit Syrup 1 Ltr,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,24,BTL(750ML/983GM),0,407.55,-,9781.2,0,18,1760.62,-,-,-,-,1760.62,0,11541.82,
Warehouse NCR,Central Store,Rajneesh Pandey,FAIRDEAL DISTRIBUTORS,19-09-2025,SE-57,I-25-26/1504,-,-,PO-62,18-09-2025,RAW0000146,Peach Garden Syrup 750ML,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,24,BTL(750ML/983GM),0,407.55,-,9781.2,0,18,1760.62,-,-,-,-,1760.62,0,11541.82,
Warehouse NCR,Central Store,Ashutosh Kumar,FIDES TEA IMPEX PRIVATE LIMITED,17-09-2025,SE-56,961,-,-,PO-59,17-09-2025,RAW0000145,J1 Matcha Powder,RM BEVERAGES - POWDERS,RAW MATERIAL,-,100,PCS(20GM),0,157.14,-,15714,0,5,785.7,-,-,-,-,785.7,0,16499.7,
Warehouse NCR,Central Store,Ashutosh Kumar,DEVNOW INTERNATIONAL,05-09-2025,SE-55,DI/2025-26/5030,-,-,PO-58,05-09-2025,CNC0000025,CI Spanish Bom Bom Glass - BR-4010,GLASSWARE,CROCKERY & CUTLERY,-,34,PCS,0,306.25,-,10412.5,0,18,1874.25,-,-,-,-,1874.25,0,12286.75,
Warehouse NCR,Central Store,Rajneesh Pandey,DEVNOW INTERNATIONAL,05-09-2025,SE-54,DI/2025-26/4965,-,-,PO-56,04-09-2025,CNC0000025,CI Spanish Bom Bom Glass - BR-4010,GLASSWARE,CROCKERY & CUTLERY,-,2,PCS,0,306.25,-,612.5,0,18,110.25,-,-,-,-,110.25,0,722.75,
Warehouse NCR,Central Store,Rajneesh Pandey,DEVNOW INTERNATIONAL,05-09-2025,SE-54,DI/2025-26/4965,-,-,PO-56,04-09-2025,CNC0000033,CI Whisky Glass for 100 ML Cork Bottle,GLASSWARE,CROCKERY & CUTLERY,-,72,PCS,0,192.75,-,13878,0,18,2498.04,-,-,-,-,2498.04,0,16376.04,
Warehouse NCR,Central Store,Rajneesh Pandey,DEVNOW INTERNATIONAL,05-09-2025,SE-54,DI/2025-26/4965,-,-,PO-56,04-09-2025,-,-,-,-,-,-,-,0,0,Fright Charges,434.72,0,-,-,-,-,-,-,78.25,0,512.97,
Warehouse NCR,Central Store,Ashutosh Kumar,Praveen Wicker Lamp & Basket,02-09-2025,SE-53,Inv - 122,-,-,PO-55,01-09-2025,CAP0000450,Crisp Basket for RTE,SMALLWARE,CAPEX,-,12,PCS,0,750,-,9000,0,12,1080,-,-,-,-,1080,0,10080,
Warehouse NCR,Central Store,Ashutosh Kumar,Trufrost And Butler Private Limited,30-08-2025,SE-52,11250879,-,-,PO-53,29-08-2025,CAP0000254,Commercial Microwave Owen MWO25,BOH FOOD EQUIPMENT,CAPEX,-,1,PCS..,0,24200,-,24200,0,18,4356,-,-,-,-,4356,0,28556,
Warehouse NCR,Central Store,Ashutosh Kumar,Trufrost And Butler Private Limited,30-08-2025,SE-52,11250879,-,-,PO-53,29-08-2025,-,-,-,-,-,-,-,0,0,Fright Charges,500,0,-,-,-,-,-,-,90,0,590,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,28-08-2025,SE-51,INVGST135202526,-,-,PO-51,28-08-2025,PKG0000009,Disposable - Cup Holder,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,DISPOSABLE TAKE AWAY PACKAGING,-,16500,PCS,0,1.8,-,29700,0,18,5346,-,-,-,-,5346,0,35046,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,28-08-2025,SE-51,INVGST135202526,-,-,PO-51,28-08-2025,-,-,-,-,-,-,-,0,0,Fright Charges,2500,0,-,-,-,-,-,-,450,0,2950,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,27-08-2025,SE-50,VXNG/25-26/HR003,-,-,-,26-08-2025,CAP0000007,Trufrost Induction Cook Top Cih 3.5,BOH FOOD EQUIPMENT,CAPEX,-,1,PCS..,0,12850,-,12850,0,18,2313,-,-,-,-,2313,0,15163,
Warehouse NCR,Central Store,Ashutosh Kumar,Vita Nova Gourmet Private Limited,27-08-2025,SE-50,VXNG/25-26/HR003,-,-,-,26-08-2025,CAP0000004,Commercial Induction Cook Top,BOH FOOD EQUIPMENT,CAPEX,-,1,PCS..,0,12000,-,12000,0,18,2160,-,-,-,-,2160,0,14160,
Warehouse NCR,Central Store,Ashutosh Kumar,RAMDAS GREENPLAS PRIVATE LIMITED,25-08-2025,SE-49,RGPL/25-26/145,-,-,PO-50,19-08-2025,PKG0000020,Disposable - Straw - 08Mm,DISPOSABLE PACKAGING - BEVERAGES - STRAW,DISPOSABLE TAKE AWAY PACKAGING,-,28300,PCS,0,0.65,-,18395,0,18,3311.1,-,-,-,-,3311.1,0,21706.1,
