Deployment Name,Warehouse Mumbai
Start Date,01-01-2026
End Date,31-01-2026
Report Generation Date&Time,17/02/2026, 04:58:16 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,

Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,01-01-2026,02-01-2026,IN26,Received,RET0000043,,Chocolate Almond - 40 Gms,CT_68,RTE - SNACKS,-,RETAIL,PCS..,50.34,-,50.34,5,45.306,251.7,297.01,-,02-01-2026,5,45.31,251.7,297.01,-,25,04-01-2026,5,45.31,251.7,297.01,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,01-01-2026,02-01-2026,IN26,Received,RET0000044,,Chocolate Cashew - 40 Gms,CT_68,RTE - SNACKS,-,RETAIL,PCS..,50.34,-,50.34,10,90.612,503.4,594.01,-,02-01-2026,10,90.61,503.4,594.01,-,25,04-01-2026,10,90.61,503.4,594.01,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,01-01-2026,02-01-2026,IN26,Received,RAW0000025,21069050,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,15,588.75,11775,12363.75,1pkt -500gm,02-01-2026,15,588.75,11775,12363.75,-,25,04-01-2026,15,588.75,11775,12363.75,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,01-01-2026,02-01-2026,IN26,Received,CNC0000033,,CI Whisky Glass for 100 ML Cork Bottle,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,146.02,-,146.02,6,43.806,876.13,919.93,-,02-01-2026,6,43.81,876.1266666666667,919.94,-,25,04-01-2026,6,43.81,876.13,919.93,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,01-01-2026,02-01-2026,IN26,Received,RET0000024,,Cold Coffee Can - Irish,CT_64,RTD COLD COFFEE - BOTTLE/CAN,-,RETAIL,PCS,55,-,55,24,158.4,1320,1478.4,-,02-01-2026,24,158.4,1320,1478.4,-,25,04-01-2026,24,158.4,1320,1478.4,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,01-01-2026,02-01-2026,IN26,Received,RET0000023,,Cold Coffee Can - Vietnamese,CT_64,RTD COLD COFFEE - BOTTLE/CAN,-,RETAIL,PCS,55.29,-,55.29,12,79.611,663.43,743.04,-,02-01-2026,12,79.61,663.4285714285714,743.04,-,25,04-01-2026,12,79.61,663.43,743.04,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,01-01-2026,02-01-2026,IN26,Received,CNC0000008,,Cup And Saucer Set - 08Oz,CT_15,CROCKERY,-,CROCKERY & CUTLERY,PCS..,298,-,298,24,858.24,7152,8010.24,-,02-01-2026,24,858.24,7152,8010.24,-,25,04-01-2026,24,858.24,7152,8010.24,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,01-01-2026,02-01-2026,IN26,Received,CNC0000010,,Dip Bowl,CT_15,CROCKERY,-,CROCKERY & CUTLERY,PCS..,117,-,117,12,168.48,1404,1572.48,-,02-01-2026,12,168.48,1404,1572.48,-,25,04-01-2026,12,168.48,1404,1572.48,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,01-01-2026,02-01-2026,IN26,Received,PKG0000023,44190010,Disposable - Stirrer,CT_27,DISPOSABLE PACKAGING - BEVERAGES - WOODEN STIRRER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,0.11,-,0.11,2000,11,220,231,-,02-01-2026,2000,11,219.99999999999997,231,-,25,04-01-2026,2000,11,220,231,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,01-01-2026,02-01-2026,IN26,Received,PKG0000002,82159900,Disposable - Wooden Fork,CT_19,DISPOSABLE CUTLERY - WOODEN FORK,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,500,39,325,364,1 Pkt-100 pcs,02-01-2026,500,39,325,364,-,25,04-01-2026,500,39,325,364,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,01-01-2026,02-01-2026,IN26,Received,PKG0000004,82159900,Disposable - Wooden Spoon,CT_20,DISPOSABLE CUTLERY - WOODEN SPOON,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,500,16.25,325,341.25,1 Pkt-100 pcs,02-01-2026,500,16.25,325,341.25,-,25,04-01-2026,500,16.25,325,341.25,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,01-01-2026,02-01-2026,IN26,Received,CNC0000017,,Tea Spoon,CT_16,CUTLERY,-,CROCKERY & CUTLERY,PCS..,25,-,25,24,108,600,708,-,02-01-2026,24,108,600,708,-,25,04-01-2026,24,108,600,708,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,01-01-2026,02-01-2026,IN26,Received,RET0000042,,The Ultimate Sweet Crunchy Nut Mix - 70 Gms,CT_68,RTE - SNACKS,-,RETAIL,PCS..,58.39,-,58.39,5,35.034,291.95,326.98,-,02-01-2026,5,35.03,291.95,326.98,-,25,04-01-2026,5,35.03,291.95,326.98,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune - Main Store,01-01-2026,02-01-2026,IN22,Received,RAW0000025,21069050,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,10,392.5,7850,8242.5,-,02-01-2026,10,392.5,7850,8242.5,-,24,04-01-2026,10,392.5,7850,8242.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune - Main Store,01-01-2026,02-01-2026,IN22,Received,RET0000023,,Cold Coffee Can - Vietnamese,CT_64,RTD COLD COFFEE - BOTTLE/CAN,-,RETAIL,PCS,55.29,-,55.29,12,79.61,663.43,743.04,-,02-01-2026,12,79.61,663.4285714285714,743.04,-,24,04-01-2026,12,79.61,663.43,743.04,-,No,0,0.00,0,0,0,0,Received,
