Deployment Name,Warehouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,23-12-2025, 05:31:54 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warehouse NCR,Gimme Mo! CP,-,03-05-2025,-,DD1,Received,RET0000024,,Cold Coffee Can - Irish,CT_64,RTD COLD COFFEE - BOTTLE/CAN,-,RETAIL,CAN,61,-,61,0,-,0,0,-,03-05-2025,0,-,0,0,-,8,05-05-2025,0,-,0,0,Test,No,0,0,0,2928,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,03-05-2025,-,DD1,Received,RET0000023,,Cold Coffee Can - Vietnamese,CT_64,RTD COLD COFFEE - BOTTLE/CAN,-,RETAIL,CAN,47,-,47,0,-,0,0,-,03-05-2025,0,-,0,0,-,8,05-05-2025,0,-,0,0,Test,No,0,0,0,2256,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,03-05-2025,-,DD1,Received,,,Degreaser,CT_71,CLEANING CHEMICALS - LIQUID,-,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,PCS,873.2,-,873.2,0,-,0,0,-,03-05-2025,0,-,0,0,-,8,05-05-2025,0,-,0,0,Test,No,0,0,0,873.2,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,03-05-2025,-,DD1,Received,PKG0000009,,Disposable - Cup Holder,CT_22,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.66,-,2.66,0,-,0,0,-,03-05-2025,0,-,0,0,-,8,05-05-2025,0,-,0,0,Test,No,0,0,0,266,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,03-05-2025,-,DD1,Received,PKG0000022,,Disposable - Straw - 10Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.71,-,0.71,0,-,0,0,-,03-05-2025,0,-,0,0,-,8,05-05-2025,0,-,0,0,Test,No,0,0,0,213,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,03-05-2025,-,DD1,Received,PKG0000002,,Disposable - Wooden Fork,CT_19,DISPOSABLE CUTLERY - WOODEN FORK,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.73,-,0.73,0,-,0,0,-,03-05-2025,0,-,0,0,-,8,05-05-2025,0,-,0,0,Test,No,0,0,0,146,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,03-05-2025,-,DD1,Received,,,Ecolab Quik Care N70 E,CT_72,CLEANING CHEMICALS - POWDERS,-,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,PCS,141.6,-,141.6,0,-,0,0,-,03-05-2025,0,-,0,0,-,8,05-05-2025,0,-,0,0,Test,No,0,0,0,141.6,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,03-05-2025,-,DD1,Received,,,GM 1000 Ml Bowl,CT_29,DISPOSABLE PACKAGING - FOOD - FOOD BOX,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,8.85,-,8.85,0,-,0,0,-,03-05-2025,0,-,0,0,-,8,05-05-2025,0,-,0,0,Test,No,0,0,0,1770,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,03-05-2025,-,DD1,Received,,,GM 1000 Ml bowl Lid,CT_29,DISPOSABLE PACKAGING - FOOD - FOOD BOX,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2,-,2,0,-,0,0,-,03-05-2025,0,-,0,0,-,8,05-05-2025,0,-,0,0,Test,No,0,0,0,150,0,0,Received
