Deployment Name,Warehouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-07-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,31-07-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,23-12-2025, 05:33:41 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warehouse NCR,Gimme Mo! CP,-,01-07-2025,02-07-2025,IN20,Received,,,Degreaser,CT_71,CLEANING CHEMICALS - LIQUID,-,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,PCS,740,-,740,1,133.2,740,873.2,-,01-07-2025,1,133.2,740,873.2,-,56,03-07-2025,1,133.2,740,873.2,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,01-07-2025,02-07-2025,IN20,Received,,,Ecolab Quik Care N70 E,CT_72,CLEANING CHEMICALS - POWDERS,-,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,PCS,120,-,120,1,21.6,120,141.6,-,01-07-2025,1,21.6,120,141.6,-,56,03-07-2025,1,21.6,120,141.6,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,01-07-2025,02-07-2025,IN20,Received,,,GM Brown Paper Napkin with GM Logo,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PKT(100PC),39,-,39,20,140.4,780,920.4,-,01-07-2025,20,140.4,780,920.4,-,56,03-07-2025,20,140.4,780,920.4,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,01-07-2025,02-07-2025,IN20,Received,,,GM Kala Khatta Syrup 750ML,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(750ML,407.55,-,407.55,1,73.36,407.55,480.91,-,01-07-2025,1,73.36,407.55,480.91,-,56,03-07-2025,1,73.36,407.55,480.91,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,01-07-2025,02-07-2025,IN20,Received,,,GM Momo Box Tray With Silver Foiling & Dip Tray 230GSM,CT_29,DISPOSABLE PACKAGING - FOOD - FOOD BOX,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,10.75,-,10.75,300,387,3225,3612,-,01-07-2025,300,387,3225.000254,3612,-,56,03-07-2025,300,387,3225,3612,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,01-07-2025,02-07-2025,IN20,Received,,,GM Nimbu Masala Syrup 750ML,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(750ML,380,-,380,1,68.4,380,448.4,-,01-07-2025,1,68.4,380,448.4,-,56,03-07-2025,1,68.4,380,448.4,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,01-07-2025,02-07-2025,IN20,Received,,,GM Plastic Glass 350ml With Pink Lid,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,7.3,-,7.3,200,262.8,1460,1722.8,-,01-07-2025,200,262.8,1460,1722.8,-,56,03-07-2025,200,262.8,1460,1722.8,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,01-07-2025,02-07-2025,IN20,Received,,,GM Printed Paper Carry Bag - Large 230GSM,CT_21,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,14.5,-,14.5,200,522,2900,3422,-,01-07-2025,200,522,2900,3422,-,56,03-07-2025,200,522,2900,3422,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Gimme Mo! CP,-,01-07-2025,02-07-2025,IN20,Received,,,GM Printed Paper Carry Bag - Small W/O Dori & Eyelet,CT_21,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,6.16,-,6.16,100,110.88,616,726.88,-,01-07-2025,100,110.88,616,726.88,-,56,03-07-2025,100,110.88,616,726.88,-,No,0,0,0,0,0,0,Received
