Deployment Name,Warehouse NCR
Start Date,16-02-2026
End Date,10-03-2026
Report Generation Date&Time,11/03/2026, 05:13:28 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,
Warehouse NCR,Coffee Island NSP - New Delhi,Coffee Island NSP - Main Store,16-02-2026,17-02-2026,IN26,Received,RAW0000025,21069050,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,784.8,-,784.8,10,392.4,7848.04,8240.44,-,16-02-2026,10,392.4,7848.0375,8240.44,-,332,20-02-2026,10,392.4,7848.04,8240.44,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,Coffee Island NSP - Main Store,16-02-2026,17-02-2026,IN26,Received,PKG0000034,,Coffee Island Bag Sealing Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,03,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.25,-,1.25,500,112.5,625,737.5,-,16-02-2026,504,113.4,630,743.4,-,332,20-02-2026,504,113.4,630,743.4,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,Coffee Island NSP - Main Store,16-02-2026,17-02-2026,IN26,Received,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.65,-,4.65,300,251.1,1395,1646.1,-,16-02-2026,300,251.1,1395,1646.1,-,332,20-02-2026,300,251.1,1395,1646.1,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,Coffee Island NSP - Main Store,16-02-2026,17-02-2026,IN26,Received,PKG0000006,,Yellow Carry Bag Small - Ci,CT_21,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,6.9,-,6.9,300,372.6,2070,2442.6,-,16-02-2026,300,372.6,2070,2442.6,-,332,20-02-2026,300,372.6,2070,2442.6,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Main Store,16-02-2026,17-02-2026,IN40,Received,UNI0000036,,Blue Cap (Female),CT_81,UNIFORM - CAP/HEAD GEARS,-,UNIFORM,PCS.,250,-,250,4,50,1000,1050,-,17-02-2026,4,50,1000,1050,-,335,21-02-2026,4,50,1000,1050,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,16-02-2026,17-02-2026,IN43,Received,RAW0000005,,Beans - Ethiopian Single Estate,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,3013.33,-,3013.33,1.5,226,4520,4746,-,17-02-2026,1.5,226,4519.995,4746,-,333,18-02-2026,1.5,226,4520,4746,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,16-02-2026,17-02-2026,IN43,Received,RAW0000003,,Beans - Kenya Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,1093.33,-,1093.33,2,109.33,2186.66,2295.99,-,17-02-2026,2,109.33,2186.66,2295.99,-,333,18-02-2026,2,109.33,2186.66,2295.99,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,16-02-2026,17-02-2026,IN43,Received,RAW0000025,21069050,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,784.8,-,784.8,10,392.4,7848.04,8240.44,-,17-02-2026,10,392.4,7848.0375,8240.44,-,333,18-02-2026,10,392.4,7848.04,8240.44,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,16-02-2026,17-02-2026,IN43,Received,PKG0000034,,Coffee Island Bag Sealing Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,03,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.25,-,1.25,1008,226.8,1260,1486.8,-,17-02-2026,1008,226.8,1260,1486.8,-,333,18-02-2026,1008,226.8,1260,1486.8,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,16-02-2026,17-02-2026,IN43,Received,PKG0000012,48236900,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.88,-,2.88,600,311.04,1728,2039.04,-,17-02-2026,600,311.04,1728,2039.04,-,333,18-02-2026,600,311.04,1728,2039.04,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,16-02-2026,17-02-2026,IN43,Received,PKG0000020,39269099,Disposable - Straw - 08Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.63,-,0.63,500,56.7,315,371.7,-,17-02-2026,500,56.7,315,371.7,-,333,18-02-2026,500,56.7,315,371.7,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,16-02-2026,17-02-2026,IN43,Received,RAW0000170,,Strawberry Syrup 750 Ml,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(750ML/983GM),407.55,-,407.55,1,20.38,407.55,427.93,-,17-02-2026,1,20.38,407.55,427.93,-,333,18-02-2026,1,20.38,407.55,427.93,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond R City,Coffee Island R City Main Store,19-02-2026,21-02-2026,IN6,Received,PKG0000016,39239020,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,3.09,-,3.09,2000,1112.4,6180,7292.4,-,19-02-2026,2000,1112.4,6180,7292.4,-,336,20-02-2026,2000,1112.4,6180,7292.4,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,26-02-2026,27-02-2026,IN44,Received,PKG0000011,,Disposable - Sealing Foil,CT_24,DISPOSABLE PACKAGING - BEVERAGES - CUP SEALING FOIL,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,1.1,-,1.1,300,59.4,330,389.4,-,26-02-2026,300,59.4,330,389.4,-,337,27-02-2026,300,59.4,330,389.4,-,No,0,0.00,0,0,0,0,Received,
