Deployment Name,Warehouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,30-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,23-12-2025, 05:35:04 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warehouse NCR,Coffee Island - Tribeca Pune,-,01-11-2025,03-11-2025,IN15,Received,RAW0000025,,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,10,392.5,7850,8242.5,-,03-11-2025,10,392.5,7850,8242.5,-,192,06-11-2025,10,392.5,7850,8242.5,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,01-11-2025,03-11-2025,IN15,Received,RAW0000145,,J1 Matcha Powder,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,PCS(20GM),126.07,-,126.07,15,94.55,1891.04,1985.59,-,03-11-2025,15,94.55,1891.036696,1985.59,-,192,06-11-2025,15,94.55,1891.04,1985.59,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,01-11-2025,03-11-2025,IN15,Received,UNI0000016,,Polo T-Shirt With Ci Logo - XL,CT_82,UNIFORM - SHIRT/T SHIRT,-,UNIFORM,PCS,340,-,340,2,34,680,714,-,03-11-2025,2,34,680,714,-,192,06-11-2025,2,34,680,714,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,01-11-2025,03-11-2025,IN15,Received,UNI0000017,,Polo T-Shirt With Ci Logo - XXL,CT_82,UNIFORM - SHIRT/T SHIRT,-,UNIFORM,PCS,340,-,340,1,17,340,357,-,03-11-2025,0,-,0,0,-,,06-11-2025,0,-,0,0,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,01-11-2025,03-11-2025,IN15,Received,CNC0000034,,Saucer for Spanish Bom Bom Cup,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,60.6,-,60.6,6,65.45,363.6,429.05,-,03-11-2025,6,65.45,363.6,429.05,-,192,06-11-2025,6,65.45,363.6,429.05,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,01-11-2025,03-11-2025,IN15,Received,RAW0000050,,Syrup - Brown Butter,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(700ML/910GM),560,-,560,2,56,1120,1176,-,03-11-2025,2,56,1120,1176,-,192,06-11-2025,2,56,1120,1176,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,01-11-2025,03-11-2025,IN15,Received,PKG0000033,,Tray Mat CI DJS,CT_32,DISPOSABLE PACKAGING - TRAY MATS,-,DISPOSABLE TAKE AWAY PACKAGING,SHT,1.35,-,1.35,2000,135,2700,2835,-,03-11-2025,2000,135,2700,2835,-,192,06-11-2025,2000,135,2700,2835,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,02-11-2025,08-11-2025,IN6,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,768.33,-,768.33,20,768.33,15366.6,16134.93,-,03-11-2025,20,768.33,15366.6,16134.93,-,191,09-11-2025,20,768.33,15366.6,16134.93,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,02-11-2025,08-11-2025,IN6,Received,RAW0000025,,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,10,392.5,7850,8242.5,-,03-11-2025,10,392.5,7850,8242.5,-,191,09-11-2025,10,392.5,7850,8242.5,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,02-11-2025,08-11-2025,IN6,Received,PKG0000036,,Coffee Island MRD Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,3,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.44,-,0.44,3000,237.6,1320,1557.6,-,03-11-2025,1230,97.42,541.2,638.62,-,191,09-11-2025,1230,97.42,541.2,638.62,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,02-11-2025,08-11-2025,IN6,Received,RAW0000043,,Coffee Powder - Coffeeccino,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,790,-,790,5,197.5,3950,4147.5,-,03-11-2025,0,-,0,0,-,,09-11-2025,0,-,0,0,-,No,0,0,0,0,0,0,Received
