Deployment Name,Warehouse NCR
Start Date,01-02-2026
End Date,15-02-2026
Report Generation Date&Time,17/02/2026, 04:59:42 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,02-02-2026,03-02-2026,IN40,Suspicious,RAW0000146,,Peach Garden Syrup 750ML,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(750ML/983GM),407.55,-,407.55,1,20.38,407.55,427.93,-,02-02-2026,1,20.38,407.55,427.93,-,314,03-02-2026,1,20.38,407.55,427.93,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,Coffee Island NSP - Main Store,02-02-2026,04-02-2026,IN23,Received,RAW0000004,,Beans - Ethiopian Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,1063.33,-,1063.33,1,53.17,1063.33,1116.5,-,02-02-2026,1,53.17,1063.33,1116.5,-,313,05-02-2026,1,53.17,1063.33,1116.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,Coffee Island NSP - Main Store,02-02-2026,04-02-2026,IN23,Received,RAW0000003,,Beans - Kenya Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,1093.33,-,1093.33,0.5,27.33,546.67,574,ony 0.5kg send.,02-02-2026,0.5,27.33,546.665,574,-,313,05-02-2026,0.5,27.33,546.67,574,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,Coffee Island NSP - Main Store,02-02-2026,04-02-2026,IN23,Received,RAW0000025,21069050,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,5,196.25,3925,4121.25,-,02-02-2026,5,196.25,3925,4121.25,-,313,05-02-2026,5,196.25,3925,4121.25,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,Coffee Island NSP - Main Store,02-02-2026,04-02-2026,IN23,Received,PKG0000009,48236900,Disposable - Cup Holder,CT_22,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.7,-,1.7,600,183.6,1020,1203.6,-,02-02-2026,600,183.6,1020,1203.6,-,313,05-02-2026,600,183.6,1020,1203.6,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,Coffee Island NSP - Main Store,02-02-2026,04-02-2026,IN23,Received,PKG0000012,48236900,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.88,-,2.88,400,207.36,1152,1359.36,-,02-02-2026,400,207.36,1152,1359.36,-,313,05-02-2026,400,207.36,1152,1359.36,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,Coffee Island NSP - Main Store,02-02-2026,04-02-2026,IN23,Received,PKG0000020,39269099,Disposable - Straw - 08Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,600,70.2,390,460.2,-,02-02-2026,600,70.2,390,460.2,-,313,05-02-2026,600,70.2,390,460.2,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,Coffee Island NSP - Main Store,02-02-2026,04-02-2026,IN23,Received,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,2000,140.4,780,920.4,-,02-02-2026,2000,140.4,780,920.4,-,313,05-02-2026,2000,140.4,780,920.4,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,03-02-2026,04-02-2026,IN41,Received,PKG0000034,,Coffee Island Bag Sealing Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,03,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.25,-,1.25,336,75.6,420,495.6,-,03-02-2026,336,75.6,420,495.6,-,316,03-02-2026,336,75.6,420,495.6,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,04-02-2026,06-02-2026,IN73,Received,RAW0000005,,Beans - Ethiopian Single Estate,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,3013.33,-,3013.33,1,150.67,3013.33,3164,-,06-02-2026,1,150.67,3013.33,3164,-,318,06-02-2026,1,150.67,3013.33,3164,-,No,0,0.00,0,0,0,0,Received,
