Deployment Name,Warehouse NCR
Start Date,01-01-2026
End Date,31-01-2026
Report Generation Date&Time,17/02/2026, 04:57:32 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,

Warehouse NCR,Coffee Island HQ-27,Coffee Island HQ-27 Main Store,02-01-2026,06-01-2026,IN46,Received,CNC0000035,70131000,CI Boba Beverage Glassware 360ML,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,56,-,56,18,181.44,1008,1189.44,-,06-01-2026,18,181.44,1008,1189.44,-,275,07-01-2026,18,181.44,1008,1189.44,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,Coffee Island HQ-27 Main Store,02-01-2026,06-01-2026,IN46,Received,CNC0000033,,CI Whisky Glass for 100 ML Cork Bottle,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,165.24,-,165.24,6,49.57,991.43,1041,-,06-01-2026,6,49.57,991.4314285714287,1041,-,275,07-01-2026,6,49.57,991.43,1041,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,Coffee Island HQ-27 Main Store,02-01-2026,06-01-2026,IN46,Received,CNC0000010,,Dip Bowl,CT_15,CROCKERY,-,CROCKERY & CUTLERY,PCS..,117,-,117,15,210.6,1755,1965.6,-,06-01-2026,15,210.6,1755,1965.6,-,275,07-01-2026,15,210.6,1755,1965.6,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,Coffee Island HQ-27 Main Store,02-01-2026,06-01-2026,IN46,Received,PKG0000023,44190010,Disposable - Stirrer,CT_27,DISPOSABLE PACKAGING - BEVERAGES - WOODEN STIRRER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,0.11,-,0.11,1000,5.5,110,115.5,-,06-01-2026,1000,5.5,109.99999999999999,115.5,-,275,07-01-2026,1000,5.5,110,115.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,Coffee Island HQ-27 Main Store,02-01-2026,06-01-2026,IN46,Received,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,1500,105.3,585,690.3,-,06-01-2026,0,-,0,0,-,,07-01-2026,0,-,0,0,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,Coffee Island HQ-27 Main Store,02-01-2026,06-01-2026,IN46,Received,PKG0000015,,Plastic Transparent Bowl,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,7.41,-,7.41,500,666.9,3705,4371.9,-,06-01-2026,500,666.9,3705.0000000000005,4371.9,-,275,07-01-2026,500,666.9,3705,4371.9,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,05-01-2026,08-01-2026,IN34,Received,RAW0000004,,Beans - Ethiopian Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,1063.33,-,1063.33,2,106.33,2126.66,2232.99,-,06-01-2026,1,53.17,1063.33,1116.5,-,274,07-01-2026,1,53.17,1063.33,1116.5,1 KG Short Received,No,0,0.00,0,1063.33,0,0,Suspicious Resolved By Supplier,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,05-01-2026,08-01-2026,IN34,Received,SAN0000022,,Biodegradable Garbage Bag Blue (Big),CT_73,CLEANING CONSUMABLES - GARBAGE BAGS/GLUE PADS,-,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,PCS..,110,-,110,10,198,1100,1298,10 Kgs,06-01-2026,10,198,1100,1298,-,274,07-01-2026,10,198,1100,1298,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,05-01-2026,08-01-2026,IN34,Received,SAN0000024,,Biodegradable Garbage Bag Green (Big),CT_73,CLEANING CONSUMABLES - GARBAGE BAGS/GLUE PADS,-,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,PCS..,110,-,110,10,198,1100,1298,10 Kgs,06-01-2026,0,-,0,0,-,,07-01-2026,0,-,0,0,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,05-01-2026,08-01-2026,IN34,Received,RAW0000025,21069050,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,10,392.5,7850,8242.5,-,06-01-2026,10,392.5,7850,8242.5,-,274,07-01-2026,10,392.5,7850,8242.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,05-01-2026,08-01-2026,IN34,Received,PKG0000034,,Coffee Island Bag Sealing Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,03,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.05,-,1.05,500,94.5,525,619.5,-,06-01-2026,500,94.5,525,619.5,-,274,07-01-2026,500,94.5,525,619.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,05-01-2026,08-01-2026,IN34,Received,PKG0000036,,Coffee Island MRD Sticker,-,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,03,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.44,-,0.44,500,39.6,220,259.6,-,06-01-2026,0,-,0,0,-,,07-01-2026,0,-,0,0,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,05-01-2026,08-01-2026,IN34,Received,PKG0000012,48236900,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.88,-,2.88,625,324,1800,2124,-,06-01-2026,625,324,1800,2124,-,274,07-01-2026,625,324,1800,2124,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island AIPL,Coffee Island AIPL Main Store,05-01-2026,08-01-2026,IN34,Received,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.65,-,4.65,500,418.5,2325,2743.5,-,06-01-2026,500,418.5,2325,2743.5,-,274,07-01-2026,500,418.5,2325,2743.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,06-01-2026,07-01-2026,IN65,Received,RAW0000001,,Beans - Master Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,795.62,-,795.62,10,397.81,7956.17,8353.98,-,09-01-2026,10,397.81,7956.172340425532,8353.98,-,282,11-01-2026,10,397.81,7956.17,8353.98,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,06-01-2026,07-01-2026,IN65,Received,RAW0000002,09011111,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,812.4,-,812.4,25,1015.5,20310,21325.5,-,09-01-2026,25,1015.5,20310,21325.5,-,282,11-01-2026,25,1015.5,20310,21325.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,06-01-2026,07-01-2026,IN65,Received,RAW0000025,21069050,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,10,392.5,7850,8242.5,-,09-01-2026,10,392.5,7850,8242.5,-,282,11-01-2026,10,392.5,7850,8242.5,-,No,0,0.00,0,0,0,0,Received,
