Customer,Date,Rating,Comments,Outlet Name
Madhur Maheshwari,21-Jan-2026,5,Good coffee,Coffee Island Beyond GK II
Nitin Nehra,04-Feb-2026,5,"Udit was very nice and professional.
The experience was great.",Coffee Island Beyond GK II
Hungry_Young_Man,08-Feb-2026,3,"Located right opposite the Churchgate subway, this lovely cafe looked very inviting  indeed. Walking in it felt quite fancy compared to any Starbucks or Blue Tokai. The ambience and decor is also nice, but maybe the tables are a bit too close to each other, which causes you to overhear conversations even if you don't want to. 
There is hardly any interaction with the staff whatsoever cause you order through their QR code and they'll bring it to your table when it's ready. Once you are done eating you just call for the bill and it's done. Let's get on with the food, which was the main source of disappointment.
Starting with the SPAGHETTI AGLIO OLIO, the most bland pasta I've ever had! I was sad that the portion size looked quite small, not at all value for money, but one bite of it and I was glad I won't have to eat a lot of this tasteless mess, which is even worse! Maybe this cafe caters to more NRI public and thus they might be holding on to the spice, but boy there was none of it! I am glad that me and my partner both were hungry, that's the only reason we finished the pasta. Guys, you need to rework on this!
Next came the ORANGE SPARK MOCKTAIL. It was a decent beverage yes, and it certainly had more masala than the spaghetti! But those huge cubes (or more like cylinders) of ice were a spoil sport. But still a decent drink nevertheless.
We had hoped this would fill us up and so ordered the dessert first-NUTELLA FLUFFY PANCAKE. a stack of 4-5 small to average sized pancakes drizzled with an average amount of Nutella and a size portion of whipped cream. Yes, it was good. Yes, I might eat it again. No, I wouldn't go to this place just to eat this.
Realising that we are still hungry, we went over budget and ordered a very expensive sounding sandwich. Oh the HAM &amp; CHEESE BRIOCHE was goood! It had a lovely proportion of meat and cheese, with a side of nachos and salad. Yup, the sandwich was expensive but worth it! Though the nachos were tasteless, with no masala, no spices, just crunch! 
Honestly the experience was not that good, but the sandwich kind of made up for it. Spaghetti was seriously not worth it. I just realised, the name of the place is Coffee Island and we didn't have their coffee. How ironic!
Happy Burping!!!",Coffee Island Eros Churchgate - Mumbai
Namrita Verma,06-Feb-2026,5,Udit made us a very nice coffees. Overall we loved the experience,Coffee Island Beyond GK II
Kalpit Khaire,13-Feb-2026,5,ms.anusha great service,Coffee Island Eros Churchgate - Mumbai
Nupur,16-Jan-2026,5,There are many options for coffee and the taste of their special cold brew is amazing. Staff people are very friendly and welcoming. The place has got a really good vibe.,Coffee Island HQ-27
Chirag Malhotra,19-Jan-2026,4,The food was decent. The service by Karan was very nice though.,Coffee Island - Amanora Mall
Sangeeta Guha,11-Feb-2026,1,pathetic coffee today....n not even sugar sachet added ....cold latte usually comes blended....this was!! never ordering latte again...will stick my usual coffee island usuals,Coffee Island - Amanora Mall
Dhriti Jain,15-Jan-2026,5,Great service by udit ji,Coffee Island Beyond GK II
Guncha Bhatia,31-Jan-2026,5,"The Italian Caprese sandwich was yummy. the house nachis were fresh, hot and super light n crispy. 
Karan was courteous and prompt with service",Coffee Island - Amanora Mall
Sneh Gupta,11-Jan-2026,5,Mocha Espresseone is Delicious,Coffee Island HQ-27
Pratham Jaisur,31-Jan-2026,5,They said korean spicy fries- are spicy! Its literally says SPICY!!!! but turns out it us hella NAMKEEN AND SWEET? And they say korea is sweet- what logic is this? PS - we waited for 40 mins- 👎,Coffee Island Eros Churchgate - Mumbai
Pratham Jaisur,31-Jan-2026,1,They said korean spicy fries- are spicy! Its literally says SPICY!!!! but turns out it us hella NAMKEEN AND SWEET? And they say korea is sweet- what logic is this? Not recommended PS - we waited for 40 mins- 👎,Coffee Island Eros Churchgate - Mumbai
Ujwala Thokak,16-Jan-2026,5,good staff and hospitable service,"Coffee Island, NIBM Road"
Ujwala Thokak,16-Jan-2026,5,good staff and hospitable service,"Coffee Island, NIBM Road"
Payal Gupta,28-Dec-2025,5,Subhash was awesome,Coffee Island HQ-27
Shivansh Shekhar,14-Jan-2026,5,Amazing packaging. Loved that the coffee and the milk were sent separately. Thank you!,Coffee Island AIPL
User,07-Feb-2026,5,I have tried their java chip killar and the taste was absolutely mind-blowing tbh I've never have this much comfront in any other cafe. staff also very polite and welcoming. must visit place❣️,Coffee Island Phoenix Market City - Mumbai
Shilpa Jain,07-Feb-2026,5,"Excellent service and wonderful coffee, food and all beverage options great",Coffee Island Beyond GK II
Ashish Agarwal,07-Feb-2026,5,"Food, ambience and service all very good",Coffee Island - Amanora Mall
Anuj Popli,10-Jan-2026,5,We as a family visit coffee island regularly. The coffee is truly exceptional as compared to the other chains. Udit is of great service,Coffee Island Beyond GK II
Pooja Mendiratta,12-Jan-2026,5,udit kumar good job,Coffee Island Beyond GK II
Arti  Thakur,24-Jan-2026,5,great but cold coffee could be less sweet,Coffee Island NSP - New Delhi
Anushya Rathod,04-Feb-2026,5,amazing experience in a coffee island their coffee Was Good and their service staff anushya was really good to suggestive Coffee..😊 I love it..,Coffee Island Eros Churchgate - Mumbai
Faizan,05-Feb-2026,5,"Perfect place for coffee,  and the staff is very friendly","Coffee Island, NIBM Road"
Prabhjot Kaur,17-Jan-2026,5,"Very Good Latte and Food Options 
Good Experience by Himanshu, Durgesh",Coffee Island AIPL
Prem Sagar,14-Jan-2026,5,"The product quality is consistently outstanding, exceeding my expectations every time.",Coffee Island Eros Churchgate - Mumbai
Suraj Maske,06-Feb-2026,5,The coffee is very rich and smoothand nice 👍🏻,Coffee Island - Amanora Mall
.,23-Jan-2026,5,"The food was great and amazing beverages 
you must try ..",Coffee Island AIPL
Naim Shaikh,15-Jan-2026,5,It was amzing expirance with coffe and staffs behaviour is wow i like that 💖💐,"Coffee Island, NIBM Road"
Debduti Biswas,25-Jan-2026,2,Too sweet,Coffee Island Phoenix Market City - Mumbai
Swateja,28-Dec-2025,5,"Good ambience 
Really good service by shek",Coffee Island - Amanora Mall
Devesh Jethwa,09-Jan-2026,5,"Amazing place, we enjoyed a lot we ordered their food combo and its totally worth for price staff is also well mannered totally satisfied thankyou for amazing service..",Coffee Island Phoenix Market City - Mumbai
Zeus Nazareth,19-Jan-2026,5,sheetal assisted me in food and beverage if you go here do ask for sheetal as your barista,Coffee Island Phoenix Market City - Mumbai
Varun  Kohli,24-Jan-2026,5,Amazing Vietnamese shakerato brewed by the well behaved staff member &quot;Hariom&quot;... Truly enjoyed my cold brew...,Coffee Island NSP - New Delhi
Ritvik Shetty,18-Jan-2026,5,sham was a delightful server,Coffee Island Eros Churchgate - Mumbai
Shriyash Tiwari,27-Dec-2025,5,Worth every penny the every dish is curated with love n elegance,Coffee Island Phoenix Market City - Mumbai
Kartik,28-Dec-2025,5,Subhash is good,Coffee Island HQ-27
Mukul Mehta,24-Jan-2026,5,Nice coffee,Coffee Island HQ-27
Suresh Malik,17-Jan-2026,5,Nice food,Coffee Island HQ-27
Mr. King,16-Jan-2026,4,"Tasty&hellip; service staff is good, just got the bill very late",Coffee Island HQ-27
Ha Ri S,12-Jan-2026,5,"The cappuccino was excellent. It had a perfect balance of coffee and milk, with a rich flavor and smooth, creamy froth. Truly enjoyable and well prepared.",Coffee Island Eros Churchgate - Mumbai
User,28-Dec-2025,5,"I had the best experience with Coffee Island, The staff Zoya was very kind and helpful in suggesting I had a great time and will surely recommend my friends and family.",Coffee Island Phoenix Market City - Mumbai
Mangesh Mestry,05-Feb-2026,5,"great place to sit and work, staff is very friendly special thanks to Samarth for his outstanding service.
and they have good food options.",Coffee Island - Amanora Mall
Ketan Sahney,31-Jan-2026,5,Excellent food. Served well by Udit,Coffee Island Beyond GK II
Sonali Rai,12-Feb-2026,1,"It was Hot Complan, and not Hot Chocolate. Please rename it in your menu so that customers don't get confused.",Coffee Island Beyond GK II
Rohit,16-Jan-2026,5,Very nice ambience. Subhash was my barista. Good attitude,Coffee Island HQ-27
Manswi Rajbhoj,09-Jan-2026,5,Coffee too good,Coffee Island Eros Churchgate - Mumbai
B. P  Singh,28-Dec-2025,5,food quality was good,Coffee Island NSP - New Delhi
User,15-Jan-2026,5,very primium place for coffee and dinner I just like it,"Coffee Island, NIBM Road"
Abhishek Sharma,11-Jan-2026,5,"visited the cafe today, the food and drinks are of good quality,  must visit place",Coffee Island NSP - New Delhi
Piyush Kumar,11-Jan-2026,5,Udit,Coffee Island Beyond GK II
Salman Shaikh,08-Feb-2026,5,best coffee,Coffee Island - Amanora Mall
Unnat,27-Dec-2025,5,Very good experience. Staff is very nice,Coffee Island HQ-27
Divij Chopra,25-Jan-2026,2,Sugar wasn't mixed properly in the coffee,Coffee Island AIPL
User,29-Dec-2025,5,Very nice place and lovely staff and outstanding coffee and crossiant sandwich,Coffee Island Phoenix Market City - Mumbai
User,29-Dec-2025,5,Very nice place and lovely staff and outstanding coffee and crossiant sandwich,Coffee Island Phoenix Market City - Mumbai
Gary,20-Jan-2026,1,"Such a well known name from EU and such horrible experience from one of the staff members...people / customers don't eat / dine out just for food &amp; ambiance but the whole experience and change of scene from their normal, some of us step out of comfort of our home to try new places, not to experience rudeness and lack of basic atticates which one would expect within a hospitality industry. Cust service is absolute Zero. Even though Manager apologised the staff UMAR continued to be rude. Wonder if they will sustain only on luxury food and pricing or do they need to add more service and basics to justify their rudeness oops service I mean!",Coffee Island Beyond GK II
User_10482370,13-Feb-2026,5,Best breakfast in town at a great price. Tried the cappuccino with brown butter flavour which enhanced the overall experience. Yasmin was brilliant at the counter,Coffee Island Beyond GK II
User_10482370,13-Feb-2026,5,Best breakfast in town at a great price. Tried the cappuccino with brown butter flavour which enhanced the overall experience. Yasmin was brilliant at the counter,Coffee Island Beyond GK II
Amitabh Negi,12-Jan-2026,5,The best instant coffee in the country,Coffee Island Phoenix Market City - Mumbai
Juned,20-Jan-2026,5,I came at eros island &amp;get woooooow service,Coffee Island Eros Churchgate - Mumbai
Aparna Lulla,07-Feb-2026,5,Loved my coffee order,"Coffee Island, NIBM Road"
