Customer,Date,Rating,Comments,Outlet Name
John K,06-Feb-2026,5,needed a strong coffee and we love it,Coffee Island Phoenix Market City - Mumbai
User,26-Dec-2025,5,"The beverage here was amazing. was hoping for. The staff were friendly .My coffee order was incorrect at first, but she quickly and kindly exchanged it for the right one with a smile. The corrected coffee was delicious. Thanks to sheetal!",Coffee Island Phoenix Market City - Mumbai
Nimesh,15-Jan-2026,1,Liers in service,"Coffee Island, NIBM Road"
Anwesha,03-Feb-2026,1,"What the hell you guys think you are doing while packaging?&iquest; 
You sent us half empty glass of coffee and hot chocolate, I mean if you are giving it through buyy one get one door ,will you be cutting the quantity and ofcourse the quality?
Hot chocolate feels like water added with mere chocolate powder neither hot nor sweet .
Cold coffee feels like hell ,not suitable for drinking instead suitable to be spilled on the floor .
I want my refund else won't be ever ordering from you guys and will escalate this issue further.",Coffee Island Beyond GK II
Naresh Kagupati,18-Jan-2026,5,"Very nice food items and tasty. Staff is really polite, must speak about Shyam who has been very responsive and quick in rectifying the issue.",Coffee Island Eros Churchgate - Mumbai
Rohit,14-Jan-2026,5,"Nice ambience, good coffee. Will visit again.",Coffee Island HQ-27
Pavani Bhatnagar,15-Feb-2026,5,Yuvraj served us the best coffee options and the coffee was refreshing tasty.,Coffee Island - Amanora Mall
133578,31-Jan-2026,1,there was cockroach and the water had no clue of the food available,Coffee Island Eros Churchgate - Mumbai
Himanshu Gupta,16-Jan-2026,5,Shivani and Surbhi was great along with Yasmin they helped me allot,Coffee Island Beyond GK II
Tanya Jain,20-Jan-2026,5,Great service,Coffee Island HQ-27
Oshin Sangole,12-Jan-2026,2,The hot chocolate is like horlicks it's not even chocolatey and hummus is full of oil floating and pita is rubbery and chewey,Coffee Island Beyond GK II
Samarth,10-Jan-2026,5,Really the ambience of this place is sufercalifragilisticexpidious .,Coffee Island - Amanora Mall
Shoaib,15-Jan-2026,5,"I had a wonderful experience visiting today. I loved the in-store environment, it has such a cozy and inviting atmosphere that&rsquo;s perfect for relaxing or getting some work done. I'll definitely be back!&quot;",Coffee Island NSP - New Delhi
Shoaib,15-Jan-2026,5,"I had a wonderful experience visiting today. I loved the in-store environment, it has such a cozy and inviting atmosphere that&rsquo;s perfect for relaxing or getting some work done. I'll definitely be back!&quot;",Coffee Island NSP - New Delhi
Shubham,25-Jan-2026,5,"The Food was good and  ambiance 
Friendly Staff",Coffee Island - Amanora Mall
Labeena,13-Jan-2026,1,Ordered Iced latte very below average tasted like water with coffee flavour. No food options were available,"Coffee Island, NIBM Road"
Labeena,13-Jan-2026,1,Ordered Iced latte very below average tasted like water with coffee flavour. No food options were available,"Coffee Island, NIBM Road"
Mayank,26-Dec-2025,5,Subhash was very helpful,Coffee Island HQ-27
User,28-Dec-2025,4,Ordered spiced hot chocolate (orange) which was too good!,Coffee Island Phoenix Market City - Mumbai
Ritesh,16-Jan-2026,1,received half cup of coffee today...,Coffee Island Beyond GK II
ARJUN NUTAKKI,14-Feb-2026,5,long island ice coffee awesome,Coffee Island - Amanora Mall
