All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2026-01-09,16,"DELIVERY",310.00,0.00,310.00,20.00,16.50,346.50,1,
"Coffee Island Beyond GK II",2026-01-09,16,"DINE IN",3343.98,0.00,3343.98,167.20,291.14,3802.32,2,
"Coffee Island Beyond GK II",2026-01-09,17,"DINE IN",2845.00,167.50,2677.50,133.88,140.59,2951.97,5,
"Coffee Island Beyond GK II",2026-01-09,17,"DELIVERY",495.00,0.00,495.00,20.00,25.75,540.75,1,
"Coffee Island Beyond GK II",2026-01-09,18,"DINE IN",2330.00,86.00,2244.00,112.20,117.82,2474.02,3,
"Coffee Island Beyond GK II",2026-01-09,19,"DINE IN",1135.00,225.00,910.00,45.50,47.79,1003.29,2,
"Coffee Island Beyond GK II",2026-01-09,20,"DINE IN",920.00,418.00,502.00,25.10,26.35,553.45,2,
"Coffee Island Beyond GK II",2026-01-09,20,"TAKEAWAY",290.00,0.00,290.00,0.00,14.50,304.50,1,
"Coffee Island Beyond GK II",2026-01-09,20,"DELIVERY",310.00,80.00,230.00,20.00,12.50,262.50,1,
"Coffee Island Beyond GK II",2026-01-09,21,"DINE IN",2510.00,312.50,2197.50,109.88,115.37,2422.75,2,
"Coffee Island Beyond GK II",2026-01-09,22,"DINE IN",6195.00,190.50,6004.50,300.23,315.25,6619.98,3,
"Coffee Island Beyond GK II",2026-01-09,22,"TAKEAWAY",210.00,0.00,210.00,0.00,10.50,220.50,1,
"Coffee Island Beyond GK II",2026-01-09,23,"DINE IN",5115.00,209.50,4905.50,245.28,257.54,5408.32,6,
"Coffee Island Beyond GK II",2026-01-09,23,"TAKEAWAY",310.00,0.00,310.00,0.00,15.50,325.50,1,
"Coffee Island Beyond GK II",2026-01-10,0,"DINE IN",1995.00,61.50,1933.50,96.68,101.51,2131.69,2,
"Coffee Island Beyond GK II",2026-01-10,1,"DELIVERY",980.00,230.00,750.00,40.00,39.50,829.50,2,
"Coffee Island Beyond GK II",2026-01-10,1,"DINE IN",1650.00,55.00,1595.00,79.75,83.74,1758.49,1,
"Coffee Island Beyond GK II",2026-01-10,2,"DINE IN",945.24,0.00,945.24,47.26,49.62,1042.12,1,
"Coffee Island Beyond GK II",2026-01-10,3,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2026-01-10,4,"DELIVERY",310.00,81.25,228.75,20.00,12.44,261.19,1,
"Coffee Island Beyond GK II",2026-01-10,6,"DELIVERY",250.00,80.00,170.00,20.00,9.50,199.50,1,
"Coffee Island Beyond GK II",2026-01-10,7,"DINE IN",790.00,0.00,790.00,39.50,41.48,870.98,2,
"Coffee Island Beyond GK II",2026-01-10,7,"DELIVERY",250.00,125.00,125.00,20.00,7.25,152.25,1,
"Coffee Island Beyond GK II",2026-01-10,7,"TAKEAWAY",240.00,0.00,240.00,0.00,12.00,252.00,1,
"Coffee Island Beyond GK II",2026-01-10,8,"DINE IN",2968.00,477.20,2490.80,124.54,184.66,2800.00,2,
"Coffee Island Beyond GK II",2026-01-10,9,"DELIVERY",885.00,292.50,592.50,20.00,30.63,643.13,1,
"Coffee Island Beyond GK II",2026-01-10,9,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2026-01-10,9,"TAKEAWAY",280.00,0.00,280.00,0.00,14.00,294.00,1,
"Coffee Island Beyond GK II",2026-01-10,10,"DELIVERY",620.00,310.00,310.00,20.00,16.51,346.51,1,
"Coffee Island Beyond GK II",2026-01-10,10,"DINE IN",595.00,0.00,595.00,29.75,31.24,655.99,2,
"Coffee Island Beyond GK II",2026-01-10,11,"DELIVERY",250.00,125.00,125.00,20.00,7.25,152.25,1,
"Coffee Island Beyond GK II",2026-01-10,11,"TAKEAWAY",265.00,0.00,265.00,0.00,13.25,278.25,1,
"Coffee Island Beyond GK II",2026-01-10,11,"DINE IN",1700.24,0.00,1700.24,85.01,89.26,1874.51,3,
"Coffee Island Beyond GK II",2026-01-10,12,"DINE IN",1590.00,60.00,1530.00,80.50,80.54,1691.04,5,
"Coffee Island Beyond GK II",2026-01-10,13,"DINE IN",3365.24,210.00,3155.24,157.76,165.65,3478.65,2,
"Coffee Island Beyond GK II",2026-01-10,13,"DELIVERY",690.00,125.00,565.00,20.00,29.26,614.26,1,
"Coffee Island Beyond GK II",2026-01-10,14,"DINE IN",5185.24,136.52,5048.72,252.44,265.06,5566.22,6,
"Coffee Island Beyond GK II",2026-01-10,14,"DELIVERY",789.00,0.00,789.00,20.00,40.45,849.45,1,
"Coffee Island Beyond GK II",2026-01-10,14,"TAKEAWAY",210.00,0.00,210.00,0.00,10.50,220.50,1,
"Coffee Island Beyond GK II",2026-01-10,15,"DINE IN",815.24,0.00,815.24,60.00,43.77,919.01,3,
"Coffee Island Beyond GK II",2026-01-10,15,"TAKEAWAY",390.00,0.00,390.00,0.00,19.50,409.50,1,
"Coffee Island Beyond GK II",2026-01-10,16,"DINE IN",6565.00,503.50,6061.50,243.73,315.28,6620.51,5,
"Coffee Island Beyond GK II",2026-01-10,17,"DINE IN",5880.00,0.00,5880.00,294.00,308.71,6482.71,6,
"Coffee Island Beyond GK II",2026-01-10,17,"DELIVERY",2540.00,669.00,1871.00,60.00,96.55,2027.55,3,
"Coffee Island Beyond GK II",2026-01-10,17,"TAKEAWAY",970.00,0.00,970.00,0.00,48.50,1018.50,2,
"Coffee Island Beyond GK II",2026-01-10,18,"DINE IN",3280.00,319.00,2961.00,136.90,154.90,3252.80,3,
"Coffee Island Beyond GK II",2026-01-10,18,"DELIVERY",360.00,72.00,288.00,20.00,15.40,323.40,1,
"Coffee Island Beyond GK II",2026-01-10,18,"TAKEAWAY",230.00,0.00,230.00,0.00,11.50,241.50,1,
"Coffee Island Beyond GK II",2026-01-10,19,"DINE IN",3510.00,0.00,3510.00,175.50,184.29,3869.79,6,
"Coffee Island Beyond GK II",2026-01-10,19,"TAKEAWAY",240.00,0.00,240.00,0.00,12.00,252.00,1,
"Coffee Island Beyond GK II",2026-01-10,20,"TAKEAWAY",290.00,0.00,290.00,0.00,14.50,304.50,1,
"Coffee Island Beyond GK II",2026-01-10,20,"DINE IN",560.00,0.00,560.00,28.00,29.40,617.40,2,
"Coffee Island Beyond GK II",2026-01-10,21,"TAKEAWAY",1135.00,0.00,1135.00,0.00,56.75,1191.75,2,
