All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2025-10-12,16,"DELIVERY",350.00,75.00,275.00,30.00,15.25,320.25,1,
"Coffee Island Beyond GK II",2025-10-12,16,"DINE IN",230.00,0.00,230.00,0.00,11.50,241.50,2,
"Coffee Island Beyond GK II",2025-10-12,17,"DINE IN",2030.00,0.00,2030.00,0.00,101.50,2131.50,5,
"Coffee Island Beyond GK II",2025-10-12,18,"DINE IN",2925.00,0.00,2925.00,0.00,146.25,3071.25,4,
"Coffee Island Beyond GK II",2025-10-12,19,"DINE IN",2351.61,460.00,1891.61,0.00,94.58,1986.19,4,
"Coffee Island Beyond GK II",2025-10-12,19,"TAKEAWAY",290.00,0.00,290.00,0.00,14.50,304.50,1,
"Coffee Island Beyond GK II",2025-10-12,20,"DINE IN",1045.00,0.00,1045.00,0.00,52.25,1097.25,2,
"Coffee Island Beyond GK II",2025-10-12,20,"TAKEAWAY",4558.10,0.00,4558.10,0.00,227.91,4786.01,1,
"Coffee Island Beyond GK II",2025-10-12,21,"DINE IN",460.00,0.00,460.00,0.00,23.00,483.00,1,
"Coffee Island Beyond GK II",2025-10-12,22,"DINE IN",2745.00,0.00,2745.00,0.00,137.25,2882.25,4,
"Coffee Island Beyond GK II",2025-10-12,22,"TAKEAWAY",156.25,0.00,156.25,0.00,7.81,164.06,1,
"Coffee Island Beyond GK II",2025-10-12,23,"TAKEAWAY",690.00,290.00,400.00,0.00,20.00,420.00,2,
"Coffee Island Beyond GK II",2025-10-13,0,"TAKEAWAY",830.00,0.00,830.00,0.00,41.50,871.50,2,
"Coffee Island Beyond GK II",2025-10-13,8,"DINE IN",818.00,0.00,818.00,0.00,40.90,858.90,3,
"Coffee Island Beyond GK II",2025-10-13,11,"DINE IN",545.00,0.00,545.00,0.00,27.25,572.25,1,
"Coffee Island Beyond GK II",2025-10-13,12,"DINE IN",230.00,48.00,182.00,0.00,9.10,191.10,2,
"Coffee Island Beyond GK II",2025-10-13,13,"DINE IN",500.00,290.00,210.00,0.00,10.50,220.50,2,
"Coffee Island Beyond GK II",2025-10-13,13,"DELIVERY",460.00,40.00,420.00,30.00,22.50,472.50,1,
"Coffee Island Beyond GK II",2025-10-13,14,"DINE IN",290.00,42.00,248.00,0.00,12.40,260.40,1,
"Coffee Island Beyond GK II",2025-10-13,15,"TAKEAWAY",290.00,0.00,290.00,0.00,14.50,304.50,1,
"Coffee Island Beyond GK II",2025-10-13,16,"DINE IN",2980.00,0.00,2980.00,0.00,149.00,3129.00,6,
"Coffee Island Beyond GK II",2025-10-13,16,"DELIVERY",880.00,255.00,625.00,60.00,34.25,719.25,2,
"Coffee Island Beyond GK II",2025-10-13,17,"DINE IN",2265.00,200.00,2065.00,0.00,103.25,2168.25,3,
"Coffee Island Beyond GK II",2025-10-13,18,"DINE IN",2902.00,737.50,2164.50,0.00,120.20,2284.70,5,
"Coffee Island Beyond GK II",2025-10-13,19,"DINE IN",1730.00,0.00,1730.00,0.00,86.50,1816.50,3,
"Coffee Island Beyond GK II",2025-10-13,19,"TAKEAWAY",720.00,0.00,720.00,0.00,36.00,756.00,1,
"Coffee Island Beyond GK II",2025-10-13,20,"DINE IN",1650.00,0.00,1650.00,0.00,82.50,1732.50,4,
"Coffee Island Beyond GK II",2025-10-13,20,"DELIVERY",390.00,80.00,310.00,30.00,17.00,357.00,1,
"Coffee Island Beyond GK II",2025-10-13,21,"DINE IN",1710.00,0.00,1710.00,0.00,85.50,1795.50,4,
"Coffee Island Beyond GK II",2025-10-13,22,"DINE IN",1430.00,37.00,1393.00,0.00,69.65,1462.65,2,
"Coffee Island Beyond GK II",2025-10-13,22,"TAKEAWAY",830.00,65.00,765.00,0.00,38.25,803.25,2,
"Coffee Island Beyond GK II",2025-10-13,23,"DINE IN",3980.00,855.00,3125.00,0.00,156.34,3281.34,3,
"Coffee Island Beyond GK II",2025-10-14,0,"DINE IN",1260.00,0.00,1260.00,0.00,63.00,1323.00,2,
"Coffee Island Beyond GK II",2025-10-14,7,"TAKEAWAY",210.00,0.00,210.00,0.00,10.50,220.50,1,
"Coffee Island Beyond GK II",2025-10-14,7,"DINE IN",720.00,0.00,720.00,0.00,36.00,756.00,1,
"Coffee Island Beyond GK II",2025-10-14,7,"DELIVERY",250.00,75.00,175.00,30.00,10.25,215.25,1,
"Coffee Island Beyond GK II",2025-10-14,8,"DINE IN",1285.00,78.00,1207.00,0.00,60.35,1267.35,6,
"Coffee Island Beyond GK II",2025-10-14,9,"TAKEAWAY",0.00,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-10-14,9,"DELIVERY",930.00,510.00,420.00,30.00,22.50,472.50,1,
"Coffee Island Beyond GK II",2025-10-14,10,"DINE IN",4389.00,0.00,4389.00,0.00,219.45,4608.45,4,
"Coffee Island Beyond GK II",2025-10-14,10,"DELIVERY",179.00,71.60,107.40,30.00,6.87,144.27,1,
"Coffee Island Beyond GK II",2025-10-14,11,"DINE IN",1900.00,0.00,1900.00,0.00,95.00,1995.00,6,
"Coffee Island Beyond GK II",2025-10-14,12,"DINE IN",845.00,229.00,616.00,0.00,30.80,646.80,3,
"Coffee Island Beyond GK II",2025-10-14,13,"DINE IN",2190.00,0.00,2190.00,0.00,109.50,2299.50,5,
"Coffee Island Beyond GK II",2025-10-14,14,"DINE IN",2010.00,0.00,2010.00,0.00,100.50,2110.50,2,
"Coffee Island Beyond GK II",2025-10-14,14,"TAKEAWAY",2935.00,0.00,2935.00,0.00,146.75,3081.75,6,
"Coffee Island Beyond GK II",2025-10-14,15,"DINE IN",1034.75,0.00,1034.75,0.00,51.74,1086.49,4,
"Coffee Island Beyond GK II",2025-10-14,16,"TAKEAWAY",520.00,0.00,520.00,0.00,26.00,546.00,1,
"Coffee Island Beyond GK II",2025-10-14,16,"DINE IN",2055.00,0.00,2055.00,0.00,102.75,2157.75,5,
"Coffee Island Beyond GK II",2025-10-14,16,"DELIVERY",310.00,50.00,260.00,30.00,14.50,304.50,1,
"Coffee Island Beyond GK II",2025-10-14,17,"DINE IN",3050.00,543.00,2507.00,0.00,125.35,2632.35,5,
"Coffee Island Beyond GK II",2025-10-14,17,"TAKEAWAY",290.00,0.00,290.00,0.00,14.50,304.50,1,
"Coffee Island Beyond GK II",2025-10-14,18,"DELIVERY",655.00,150.00,505.00,60.00,28.25,593.25,2,
"Coffee Island Beyond GK II",2025-10-14,18,"DINE IN",2815.00,294.00,2521.00,0.00,126.05,2647.05,4,
