All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2025-11-07,10,"DELIVERY",300.00,121.00,179.00,30.00,10.45,219.45,1,
"Coffee Island Beyond GK II",2025-11-07,10,"TAKEAWAY",240.00,0.00,240.00,0.00,12.00,252.00,1,
"Coffee Island Beyond GK II",2025-11-07,11,"DELIVERY",640.00,224.00,416.00,30.00,22.30,468.30,1,
"Coffee Island Beyond GK II",2025-11-07,11,"TAKEAWAY",495.00,230.00,265.00,0.00,13.25,278.25,2,
"Coffee Island Beyond GK II",2025-11-07,12,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-11-07,14,"DINE IN",1835.00,84.00,1751.00,0.00,87.55,1838.55,2,
"Coffee Island Beyond GK II",2025-11-07,14,"TAKEAWAY",520.00,0.00,520.00,0.00,26.00,546.00,2,
"Coffee Island Beyond GK II",2025-11-07,14,"DELIVERY",680.00,157.50,522.50,30.00,27.62,580.12,1,
"Coffee Island Beyond GK II",2025-11-07,15,"DINE IN",2503.00,0.00,2503.00,0.00,125.15,2628.15,3,
"Coffee Island Beyond GK II",2025-11-07,15,"DELIVERY",250.00,125.00,125.00,20.00,7.25,152.25,1,
"Coffee Island Beyond GK II",2025-11-07,16,"DINE IN",2099.00,0.00,2099.00,0.00,104.95,2203.95,6,
"Coffee Island Beyond GK II",2025-11-07,16,"TAKEAWAY",449.00,42.00,407.00,0.00,0.00,407.00,1,
"Coffee Island Beyond GK II",2025-11-07,17,"DINE IN",3743.00,49.00,3694.00,0.00,184.70,3878.70,6,
"Coffee Island Beyond GK II",2025-11-07,17,"TAKEAWAY",1600.00,0.00,1600.00,0.00,80.00,1680.00,3,
"Coffee Island Beyond GK II",2025-11-07,18,"DINE IN",580.00,25.00,555.00,0.00,27.76,582.76,1,
"Coffee Island Beyond GK II",2025-11-07,19,"DINE IN",2489.00,538.00,1951.00,0.00,97.56,2048.56,3,
"Coffee Island Beyond GK II",2025-11-07,20,"DINE IN",4008.00,414.75,3593.25,0.00,179.68,3772.93,3,
"Coffee Island Beyond GK II",2025-11-07,20,"TAKEAWAY",1297.47,0.00,1297.47,0.00,64.87,1362.34,3,
"Coffee Island Beyond GK II",2025-11-07,22,"DINE IN",3780.00,2270.00,1510.00,0.00,75.50,1585.50,3,
"Coffee Island Beyond GK II",2025-11-07,23,"DINE IN",1995.00,42.50,1952.50,0.00,97.63,2050.13,3,
"Coffee Island Beyond GK II",2025-11-08,0,"DELIVERY",530.00,125.00,405.00,20.00,21.25,446.25,1,
"Coffee Island Beyond GK II",2025-11-08,0,"DINE IN",850.00,0.00,850.00,0.00,42.50,892.50,2,
"Coffee Island Beyond GK II",2025-11-08,1,"TAKEAWAY",425.00,0.00,425.00,0.00,21.25,446.25,1,
"Coffee Island Beyond GK II",2025-11-08,2,"DELIVERY",320.00,90.00,230.00,20.00,12.50,262.50,1,
"Coffee Island Beyond GK II",2025-11-08,3,"DINE IN",1129.00,0.00,1129.00,0.00,56.45,1185.45,2,
"Coffee Island Beyond GK II",2025-11-08,3,"DELIVERY",680.00,157.49,522.51,30.00,27.62,580.13,1,
"Coffee Island Beyond GK II",2025-11-08,6,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-11-08,7,"DINE IN",1280.00,0.00,1280.00,0.00,64.00,1344.00,1,
"Coffee Island Beyond GK II",2025-11-08,8,"DINE IN",1136.00,0.00,1136.00,0.00,56.80,1192.80,4,
"Coffee Island Beyond GK II",2025-11-08,8,"TAKEAWAY",250.00,0.00,250.00,0.00,12.50,262.50,1,
"Coffee Island Beyond GK II",2025-11-08,9,"DELIVERY",950.00,200.00,750.00,20.00,38.50,808.50,1,
"Coffee Island Beyond GK II",2025-11-08,9,"DINE IN",298.00,0.00,298.00,0.00,14.90,312.90,2,
"Coffee Island Beyond GK II",2025-11-08,11,"DINE IN",788.00,67.00,721.00,0.00,36.05,757.05,4,
"Coffee Island Beyond GK II",2025-11-08,11,"DELIVERY",280.00,100.00,180.00,30.00,10.50,220.50,1,
"Coffee Island Beyond GK II",2025-11-08,12,"DINE IN",3446.00,24.00,3422.00,0.00,171.10,3593.10,7,
"Coffee Island Beyond GK II",2025-11-08,12,"TAKEAWAY",310.00,0.00,310.00,0.00,15.50,325.50,1,
"Coffee Island Beyond GK II",2025-11-08,13,"DELIVERY",1830.00,417.47,1412.53,90.00,75.12,1577.65,3,
"Coffee Island Beyond GK II",2025-11-08,13,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II",2025-11-08,14,"DINE IN",190.00,0.00,190.00,0.00,9.50,199.50,1,
"Coffee Island Beyond GK II",2025-11-08,14,"TAKEAWAY",1283.00,111.00,1172.00,0.00,58.60,1230.60,4,
