All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2025-09-01,0,"DINE IN",1820.00,0.00,1820.00,0.00,91.00,1911.00,2,
"Coffee Island Beyond GK II",2025-09-01,0,"TAKEAWAY",520.00,0.00,520.00,0.00,26.00,546.00,2,
"Coffee Island Beyond GK II",2025-09-01,1,"DELIVERY",1910.00,511.98,1398.02,90.00,74.42,1562.44,4,
"Coffee Island Beyond GK II",2025-09-01,1,"DINE IN",790.00,156.00,634.00,0.00,31.70,665.70,2,
"Coffee Island Beyond GK II",2025-09-01,2,"DINE IN",185.00,0.00,185.00,0.00,9.25,194.25,1,
"Coffee Island Beyond GK II",2025-09-01,3,"TAKEAWAY",250.00,0.00,250.00,0.00,12.50,262.50,1,
"Coffee Island Beyond GK II",2025-09-01,3,"DINE IN",670.00,0.00,670.00,0.00,33.50,703.50,4,
"Coffee Island Beyond GK II",2025-09-01,3,"DELIVERY",1160.00,100.00,1060.00,60.00,56.00,1176.00,2,
"Coffee Island Beyond GK II",2025-09-01,7,"DINE IN",530.00,0.00,530.00,0.00,26.50,556.50,1,
"Coffee Island Beyond GK II",2025-09-01,8,"DINE IN",480.00,0.00,480.00,0.00,24.00,504.00,2,
"Coffee Island Beyond GK II",2025-09-01,9,"DINE IN",310.00,0.00,310.00,0.00,15.50,325.50,1,
"Coffee Island Beyond GK II",2025-09-01,10,"DINE IN",814.07,0.00,814.07,0.00,59.43,873.50,1,
"Coffee Island Beyond GK II",2025-09-01,10,"TAKEAWAY",230.00,0.00,230.00,0.00,11.50,241.50,1,
"Coffee Island Beyond GK II",2025-09-01,11,"DELIVERY",810.00,310.00,500.00,30.00,26.50,556.50,1,
"Coffee Island Beyond GK II",2025-09-01,12,"DINE IN",310.00,0.00,310.00,0.00,15.50,325.50,1,
"Coffee Island Beyond GK II",2025-09-01,13,"DELIVERY",270.00,54.00,216.00,30.00,12.30,258.30,1,
"Coffee Island Beyond GK II",2025-09-01,13,"DINE IN",230.00,0.00,230.00,0.00,11.50,241.50,1,
"Coffee Island Beyond GK II",2025-09-01,14,"DINE IN",310.00,0.00,310.00,0.00,15.50,325.50,5,
"Coffee Island Beyond GK II",2025-09-01,14,"DELIVERY",420.00,40.00,380.00,30.00,20.50,430.50,1,
"Coffee Island Beyond GK II",2025-09-01,15,"DINE IN",2300.00,0.00,2300.00,0.00,115.00,2415.00,4,
"Coffee Island Beyond GK II",2025-09-01,15,"DELIVERY",431.61,0.00,431.61,30.00,30.89,492.50,1,
"Coffee Island Beyond GK II",2025-09-01,16,"DINE IN",3801.61,0.00,3801.61,0.00,197.89,3999.50,5,
"Coffee Island Beyond GK II",2025-09-01,17,"DELIVERY",540.00,270.00,270.00,30.00,15.00,315.00,1,
"Coffee Island Beyond GK II",2025-09-01,17,"DINE IN",6269.46,0.00,6269.46,0.00,330.55,6600.01,6,
"Coffee Island Beyond GK II",2025-09-01,18,"DINE IN",1040.00,0.00,1040.00,0.00,52.00,1092.00,5,
"Coffee Island Beyond GK II",2025-09-01,19,"DINE IN",1140.00,0.00,1140.00,0.00,57.00,1197.00,3,
"Coffee Island Beyond GK II",2025-09-01,20,"DINE IN",3560.82,0.00,3560.82,0.00,212.20,3773.02,5,
"Coffee Island Beyond GK II",2025-09-01,21,"DINE IN",579.07,0.00,579.07,0.00,47.68,626.75,1,
"Coffee Island Beyond GK II",2025-09-01,22,"TAKEAWAY",750.00,0.00,750.00,0.00,37.50,787.50,1,
