Generated On: 2026-02-04 10:27:27 am
*All the values shown here are in INR,

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
Coffee Island Beyond GK II,2026-02-03,0,DELIVERY,290.00,80.00,210.00,20.00,11.50,241.50,1,
Coffee Island Beyond GK II,2026-02-03,0,DINE IN,240.00,0.00,240.00,12.00,12.60,264.60,1,
Coffee Island Beyond GK II,2026-02-03,1,DELIVERY,720.00,360.00,360.00,20.00,19.00,399.00,1,
Coffee Island Beyond GK II,2026-02-03,1,TAKEAWAY,875.24,0.00,875.24,0.00,56.14,931.38,1,
Coffee Island Beyond GK II,2026-02-03,1,DINE IN,1800.00,0.00,1800.00,90.00,94.50,1984.50,2,
Coffee Island Beyond GK II,2026-02-03,2,DINE IN,1160.00,0.00,1160.00,58.00,60.90,1278.90,1,
Coffee Island Beyond GK II,2026-02-03,4,DINE IN,560.00,0.00,560.00,28.00,29.40,617.40,1,
Coffee Island Beyond GK II,2026-02-03,4,DELIVERY,310.00,80.00,230.00,20.00,12.50,262.50,1,
Coffee Island Beyond GK II,2026-02-03,5,DINE IN,710.00,0.00,710.00,35.50,37.28,782.78,2,
Coffee Island Beyond GK II,2026-02-03,7,DINE IN,240.00,0.00,240.00,12.00,12.60,264.60,1,
Coffee Island Beyond GK II,2026-02-03,7,DELIVERY,250.00,0.00,250.00,20.00,13.50,283.50,1,
Coffee Island Beyond GK II,2026-02-03,8,DELIVERY,315.00,157.50,157.50,20.00,8.88,186.38,1,
Coffee Island Beyond GK II,2026-02-03,8,DINE IN,1038.00,0.00,1038.00,51.90,54.50,1144.40,1,
Coffee Island Beyond GK II,2026-02-03,9,DINE IN,475.00,52.50,422.50,21.13,22.18,465.81,2,
Coffee Island Beyond GK II,2026-02-03,9,DELIVERY,495.00,125.00,370.00,20.00,19.50,409.50,1,
Coffee Island Beyond GK II,2026-02-03,10,DINE IN,2828.00,0.00,2828.00,141.40,148.47,3117.87,3,
Coffee Island Beyond GK II,2026-02-03,10,DELIVERY,1190.00,540.00,650.00,40.00,34.50,724.50,2,
Coffee Island Beyond GK II,2026-02-03,11,DELIVERY,1320.00,640.00,680.00,40.00,36.00,756.00,2,
Coffee Island Beyond GK II,2026-02-03,11,TAKEAWAY,530.00,0.00,530.00,0.00,26.50,556.50,2,
Coffee Island Beyond GK II,2026-02-03,11,DINE IN,440.00,0.00,440.00,22.00,23.10,485.10,1,
Coffee Island Beyond GK II,2026-02-03,12,DINE IN,1800.00,0.00,1800.00,90.00,94.50,1984.50,2,
Coffee Island Beyond GK II,2026-02-03,12,TAKEAWAY,290.00,5.00,285.00,0.00,14.25,299.25,1,
Coffee Island Beyond GK II,2026-02-03,13,DINE IN,2170.00,590.00,1580.00,79.00,82.97,1741.97,4,
Coffee Island Beyond GK II,2026-02-03,14,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,3,
Coffee Island Beyond GK II,2026-02-03,14,DELIVERY,2280.00,1130.00,1150.00,80.00,61.50,1291.50,4,
Coffee Island Beyond GK II,2026-02-03,14,TAKEAWAY,570.00,0.00,570.00,0.00,28.50,598.50,1,
Coffee Island Beyond GK II,2026-02-03,15,DELIVERY,1568.57,660.00,908.57,60.00,48.42,1016.99,3,
Coffee Island Beyond GK II,2026-02-03,15,DINE IN,2860.00,0.00,2860.00,120.50,149.04,3129.54,4,
Coffee Island Beyond GK II,2026-02-03,16,DELIVERY,1540.00,636.49,903.51,40.00,47.17,990.68,2,
Coffee Island Beyond GK II,2026-02-03,16,DINE IN,3465.24,492.52,2972.72,138.14,155.55,3266.41,4,
Coffee Island Beyond GK II,2026-02-03,16,TAKEAWAY,575.00,0.00,575.00,0.00,28.75,603.75,1,
Coffee Island Beyond GK II,2026-02-03,17,DINE IN,1070.00,0.00,1070.00,53.50,56.18,1179.68,1,
Coffee Island Beyond GK II,2026-02-03,17,TAKEAWAY,1300.84,110.00,1190.84,0.00,59.54,1250.38,2,
Coffee Island Beyond GK II,2026-02-03,18,DINE IN,3200.00,454.00,2746.00,138.75,144.24,3028.99,4,
