Generated On: 2026-02-06 10:37:34 am
*All the values shown here are in INR,

Outlet Name,Cluster,Format,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,9,TAKEAWAY,290.00,29.00,261.00,0.00,13.05,274.05,1,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,9,DELIVERY,385.00,80.00,305.00,20.00,16.25,341.25,1,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,9,DINE IN,230.00,23.00,207.00,0.00,10.35,217.35,1,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,10,DINE IN,1645.42,210.00,1435.42,0.00,71.77,1507.19,2,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,10,DELIVERY,1485.00,487.50,997.50,60.00,52.88,1110.38,3,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,10,TAKEAWAY,280.00,145.00,135.00,0.00,6.75,141.75,1,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,11,DELIVERY,1850.00,519.99,1330.01,60.00,69.50,1459.51,3,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,11,DINE IN,2000.00,58.00,1942.00,0.00,97.10,2039.10,3,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,12,DINE IN,1810.00,0.00,1810.00,0.00,90.50,1900.50,4,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,12,TAKEAWAY,280.00,0.00,280.00,0.00,14.00,294.00,1,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,12,DELIVERY,280.00,140.00,140.00,20.00,8.00,168.00,1,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,13,DELIVERY,1540.00,675.00,865.00,80.00,47.25,992.25,4,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,14,TAKEAWAY,1450.00,271.00,1179.00,0.00,58.95,1237.95,4,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,14,DELIVERY,1645.00,715.00,930.00,80.00,50.50,1060.50,4,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,14,DINE IN,990.00,0.00,990.00,0.00,49.50,1039.50,1,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,15,DINE IN,2460.00,154.00,2306.00,0.00,115.30,2421.30,4,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,15,DELIVERY,1875.00,839.50,1035.50,60.00,54.78,1150.28,3,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,16,DINE IN,3930.00,401.00,3529.00,0.00,176.46,3705.46,7,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,16,DELIVERY,1168.57,329.99,838.58,60.00,44.93,943.51,3,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,17,DINE IN,2800.00,220.00,2580.00,0.00,129.00,2709.00,5,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,17,DELIVERY,1934.00,877.50,1056.50,80.00,56.83,1193.33,4,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,17,TAKEAWAY,540.00,81.00,459.00,0.00,22.96,481.96,1,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,18,DELIVERY,550.00,275.00,275.00,40.00,15.75,330.75,2,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,18,TAKEAWAY,790.00,0.00,790.00,0.00,39.50,829.50,2,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,18,DINE IN,1140.00,0.00,1140.00,0.00,57.00,1197.00,2,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,19,TAKEAWAY,210.00,21.00,189.00,0.00,9.45,198.45,1,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,20,DELIVERY,350.00,175.00,175.00,20.00,9.75,204.75,1,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,20,DINE IN,2303.56,351.86,1951.70,0.00,122.29,2073.99,5,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,20,TAKEAWAY,380.00,0.00,380.00,0.00,19.00,399.00,1,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,21,DELIVERY,1969.00,960.00,1009.00,80.00,54.45,1143.45,4,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,21,DINE IN,3820.00,2220.00,1600.00,0.00,80.00,1680.00,3,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,22,DELIVERY,930.00,511.50,418.50,20.00,21.93,460.43,1,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,22,DINE IN,1030.00,0.00,1030.00,0.00,51.50,1081.50,2,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,23,DELIVERY,310.00,155.00,155.00,20.00,8.75,183.75,1,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,23,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,3,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,8,DELIVERY,320.00,160.00,160.00,20.00,9.00,189.00,1,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,9,TAKEAWAY,420.00,0.00,420.00,0.00,21.00,441.00,1,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,9,DELIVERY,320.00,160.00,160.00,20.00,9.00,189.00,1,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,10,DELIVERY,4279.00,1870.00,2409.00,100.00,125.46,2634.46,5,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,11,DINE IN,1620.00,0.00,1620.00,0.00,81.00,1701.00,2,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,11,DELIVERY,2530.00,1045.00,1485.00,80.00,78.26,1643.26,4,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,11,TAKEAWAY,305.00,0.00,305.00,0.00,15.25,320.25,1,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,12,DELIVERY,1320.00,660.00,660.00,60.00,36.00,756.00,3,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,12,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,13,DINE IN,2465.00,445.00,2020.00,0.00,101.01,2121.01,6,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,13,DELIVERY,250.00,125.00,125.00,20.00,7.25,152.25,1,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,14,DINE IN,1850.00,84.00,1766.00,0.00,88.30,1854.30,2,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,14,DELIVERY,509.00,230.00,279.00,20.00,14.95,313.95,1,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,15,DELIVERY,620.00,140.00,480.00,40.00,26.00,546.00,2,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,15,TAKEAWAY,1595.00,0.00,1595.00,0.00,79.75,1674.75,3,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,15,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,16,DINE IN,1470.00,303.00,1167.00,0.00,58.35,1225.35,2,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,16,DELIVERY,1055.71,501.86,553.85,60.00,29.70,643.55,3,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,17,DELIVERY,480.00,240.00,240.00,40.00,14.00,294.00,2,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,17,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,2,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,17,TAKEAWAY,580.00,0.00,580.00,0.00,29.00,609.00,1,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,18,DELIVERY,310.00,155.00,155.00,20.00,8.75,183.75,1,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,19,DELIVERY,320.00,160.00,160.00,20.00,9.00,189.00,1,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,19,TAKEAWAY,730.00,82.00,648.00,0.00,32.40,680.40,1,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,20,DINE IN,820.00,0.00,820.00,0.00,41.00,861.00,1,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,21,TAKEAWAY,720.00,0.00,720.00,0.00,36.00,756.00,1,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,21,DELIVERY,350.00,80.00,270.00,20.00,14.50,304.50,1,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,22,DELIVERY,620.00,310.00,310.00,40.00,17.50,367.50,2,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,10,DINE IN,280.00,0.00,280.00,0.00,14.00,294.00,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,11,DINE IN,1480.00,63.00,1417.00,0.00,70.85,1487.85,2,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,12,DINE IN,1860.00,75.00,1785.00,0.00,89.25,1874.25,4,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,12,DELIVERY,570.00,285.00,285.00,20.00,15.25,320.25,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,12,TAKEAWAY,580.00,0.00,580.00,0.00,29.00,609.00,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,13,DINE IN,1265.00,0.00,1265.00,0.00,63.25,1328.25,5,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,14,TAKEAWAY,290.00,4.00,286.00,0.00,14.30,300.30,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,14,DINE IN,670.00,96.00,574.00,0.00,28.70,602.70,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,15,DINE IN,2130.00,0.00,2130.00,0.00,106.50,2236.50,3,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,15,DELIVERY,550.00,197.00,353.00,40.00,19.65,412.65,2,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,16,DINE IN,580.00,87.00,493.00,0.00,24.65,517.65,5,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,17,TAKEAWAY,800.00,0.00,800.00,0.00,40.00,840.00,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,17,DINE IN,1650.00,0.00,1650.00,0.00,82.50,1732.50,4,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,17,DELIVERY,680.00,150.00,530.00,20.00,27.50,577.50,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,18,DELIVERY,960.00,480.00,480.00,40.00,26.00,546.00,2,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,18,DINE IN,1560.00,0.00,1560.00,0.00,78.00,1638.00,2,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,19,DINE IN,470.00,0.00,470.00,0.00,23.50,493.50,5,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,20,DINE IN,1540.00,0.00,1540.00,0.00,77.00,1617.00,4,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,20,TAKEAWAY,810.00,0.00,810.00,0.00,40.50,850.50,2,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,21,DINE IN,1660.00,0.00,1660.00,0.00,83.00,1743.00,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,22,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,23,TAKEAWAY,290.00,0.00,290.00,0.00,14.50,304.50,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,9,DINE IN,500.00,100.00,400.00,0.00,20.00,420.00,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,10,DINE IN,740.00,0.00,740.00,0.00,37.00,777.00,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,11,DINE IN,475.00,0.00,475.00,0.00,23.75,498.75,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,12,DINE IN,1469.00,256.70,1212.30,0.00,60.62,1272.92,3,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,13,DINE IN,870.00,0.00,870.00,0.00,43.50,913.50,2,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,14,DINE IN,1474.25,0.00,1474.25,0.00,73.71,1547.96,2,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,14,DELIVERY,280.00,140.00,140.00,20.00,8.00,168.00,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,15,DINE IN,398.00,9.00,389.00,0.00,19.45,408.45,3,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,15,DELIVERY,250.00,125.00,125.00,20.00,7.25,152.25,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,16,DINE IN,2810.90,405.57,2405.33,0.00,120.29,2525.62,5,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,17,DINE IN,899.00,37.00,862.00,0.00,43.10,905.10,2,
