Generated On: 2026-02-05 01:50:00 pm
*All the values shown here are in INR,

Outlet Name,Cluster,Format,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-04,15,TAKEAWAY,290.00,0.00,290.00,0.00,14.50,304.50,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-04,16,DINE IN,2870.00,0.00,2870.00,0.00,143.50,3013.50,5,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-04,17,DINE IN,4215.00,200.00,4015.00,0.00,200.75,4215.75,6,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-04,17,DELIVERY,280.00,140.00,140.00,20.00,8.00,168.00,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-04,18,DELIVERY,395.00,197.50,197.50,20.00,10.88,228.38,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-04,18,DINE IN,8570.00,0.00,8570.00,0.00,428.50,8998.50,9,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-04,18,TAKEAWAY,257.14,0.00,257.14,0.00,12.86,270.00,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-04,19,DINE IN,890.00,0.00,890.00,0.00,44.50,934.50,4,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-04,19,TAKEAWAY,250.00,0.00,250.00,0.00,12.50,262.50,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-04,20,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-04,22,DELIVERY,700.00,247.00,453.00,20.00,23.65,496.65,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-04,22,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-04,23,TAKEAWAY,270.00,31.00,239.00,0.00,11.95,250.95,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,9,DELIVERY,1050.00,430.00,620.00,40.00,33.00,693.00,2,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,10,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,10,DELIVERY,1905.00,952.50,952.50,60.00,50.63,1063.13,3,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,11,DINE IN,730.00,44.00,686.00,0.00,34.30,720.30,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,12,DINE IN,1090.00,0.00,1090.00,0.00,54.50,1144.50,3,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,13,DINE IN,199.00,0.00,199.00,0.00,9.95,208.95,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,14,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,15,DELIVERY,500.00,250.00,250.00,20.00,13.50,283.50,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,15,DINE IN,730.00,0.00,730.00,0.00,36.50,766.50,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,16,DINE IN,2147.00,80.00,2067.00,0.00,103.35,2170.35,7,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,16,DELIVERY,2323.90,685.67,1638.23,40.00,83.92,1762.15,2,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,17,DELIVERY,2065.00,945.75,1119.25,40.00,57.96,1217.21,2,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,17,DINE IN,210.00,31.00,179.00,0.00,8.95,187.95,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,18,DINE IN,597.00,0.00,597.00,0.00,29.85,626.85,2,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,19,DINE IN,1016.95,77.50,939.45,0.00,46.98,986.43,4,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,19,TAKEAWAY,570.00,0.00,570.00,0.00,28.50,598.50,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,19,DELIVERY,320.00,160.00,160.00,20.00,9.00,189.00,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,20,DINE IN,981.90,78.38,903.52,0.00,45.18,948.70,2,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,21,DINE IN,620.00,50.00,570.00,0.00,28.50,598.50,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-04,22,DINE IN,270.00,0.00,270.00,0.00,13.50,283.50,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,0,DELIVERY,310.00,155.00,155.00,0.00,7.75,162.75,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,0,TAKEAWAY,540.00,0.00,540.00,0.00,27.00,567.00,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,0,DINE IN,280.00,0.00,280.00,0.00,14.00,294.00,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,1,DINE IN,2960.00,0.00,2960.00,0.00,148.00,3108.00,9,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,2,DINE IN,410.00,0.00,410.00,0.00,20.50,430.50,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,2,TAKEAWAY,410.00,0.00,410.00,0.00,20.50,430.50,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,3,DINE IN,700.00,0.00,700.00,0.00,35.00,735.00,2,
