Generated On: 2026-02-03 10:51:26 am
*All the values shown here are in INR,

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
Coffee Island NSP - New Delhi,2026-02-02,17,DINE IN,583.71,0.00,583.71,0.00,29.19,612.90,2,
Coffee Island NSP - New Delhi,2026-02-02,18,DINE IN,1215.00,0.00,1215.00,0.00,60.75,1275.75,2,
Coffee Island NSP - New Delhi,2026-02-02,18,DELIVERY,820.00,410.00,410.00,40.00,21.50,471.50,2,
Coffee Island NSP - New Delhi,2026-02-02,19,DINE IN,2320.00,200.00,2120.00,0.00,106.00,2226.00,2,
Coffee Island NSP - New Delhi,2026-02-02,19,DELIVERY,1120.00,125.00,995.00,20.00,49.75,1064.75,1,
Coffee Island NSP - New Delhi,2026-02-02,20,DINE IN,480.00,0.00,480.00,0.00,24.00,504.00,2,
Coffee Island NSP - New Delhi,2026-02-02,21,DINE IN,630.00,0.00,630.00,0.00,31.50,661.50,1,
Coffee Island NSP - New Delhi,2026-02-02,21,TAKEAWAY,428.10,94.50,333.60,0.00,16.68,350.28,1,
Coffee Island NSP - New Delhi,2026-02-02,21,DELIVERY,895.00,330.00,565.00,40.00,29.25,634.25,2,
Coffee Island NSP - New Delhi,2026-02-02,23,DELIVERY,355.00,177.50,177.50,20.00,8.88,206.38,1,

