All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Delivery Charge,Platform Fee Charge,Restaurant Packaging Charges,Packaging Charge,Smile Amount Charge,Charges,Net Sale,GST @5%,GST @18%,GST @12%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island HQ-27",2025-06-07,"POS",119.00,48,0,15625.64,158.42,0,0,0,0,0,0,0,0.00,15467.22,752.58,0,49.81,0,802.39,16269.61,2.39,16272.00,
"-","-","North","Coffee Island HQ-27",2025-06-07,"Mobile App",9.00,3,0,2223.00,385.50,0,15.00,0,0,0,0,5.00,20.00,1837.50,94.60,0,0,0,94.60,1952.10,-0.10,1952.00,
"-","-","North","Coffee Island HQ-27",2025-06-07,"Zomato",38.00,10,0,5270.17,707.00,0,0,0,0,200.00,0,0,200.00,4563.17,0,117.03,0,205.64,322.67,5085.84,1.16,5087.00,
"-","-","North","Coffee Island HQ-27",2025-06-07,"Swiggy",7.00,4,0,1120.00,316.00,0,0,0,0,0,0,0,0.00,804.00,0,0,0,40.20,40.20,844.20,-0.20,844.00,
"-","-","North","Coffee Island HQ-27",2025-06-07,"Swiggy-Bolt Urgent",1.00,1,0,290.00,50.00,0,0,0,0,0,0,0,0.00,240.00,0,0,0,12.00,12.00,252.00,0.00,252.00,
"-","-","North","Coffee Island HQ-27",2025-06-08,"POS",65.00,22,0,10610.95,387.39,0,0,0,0,0,0,0,0.00,10223.56,438.86,242.32,12.05,0,693.23,10916.79,1.21,10918.00,
"-","-","North","Coffee Island HQ-27",2025-06-08,"Swiggy",15.00,7,0,3300.00,877.99,0,0,0,0,0,0,0,0.00,2422.01,0,0,0,121.10,121.10,2543.11,-0.11,2543.00,
"-","-","North","Coffee Island HQ-27",2025-06-08,"Zomato",24.00,9,0,3430.00,426.00,0,0,0,0,180.00,0,0,180.00,3004.00,0,0,0,159.19,159.19,3343.19,0.81,3344.00,
"-","-","North","Coffee Island HQ-27",2025-06-08,"Swiggy-Bolt Urgent",2.00,1,0,250.00,25.00,0,0,0,0,0,0,0,0.00,225.00,0,0,0,11.25,11.25,236.25,-0.25,236.00,
"-","-","North","Coffee Island HQ-27",2025-06-09,"Zomato",38.00,11,0,5084.00,1325.00,0,0,0,0,220.00,0,0,220.00,3759.00,0,0,0,191.78,191.78,4170.78,-0.78,4170.00,
"-","-","North","Coffee Island HQ-27",2025-06-09,"Swiggy",11.00,4,0,1380.00,415.00,0,0,0,0,0,0,0,0.00,965.00,0,0,0,48.25,48.25,1013.25,0.75,1014.00,
"-","-","North","Coffee Island HQ-27",2025-06-09,"Mobile App",10.00,6,0,1761.00,257.00,0,30.00,0,0,0,0,0,30.00,1504.00,75.00,0,13.44,0,88.44,1622.44,0.56,1623.00,
"-","-","North","Coffee Island HQ-27",2025-06-09,"Swiggy-Bolt Urgent",4.00,1,0,270.00,161.00,0,0,0,0,0,0,0,0.00,109.00,0,0,0,5.45,5.45,114.45,-0.45,114.00,
