  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Charges,Net Sale,GST @5%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","South","MSFT Hyd",2025-06-03,"POS",346.00,184,0,32810.11,0.00,0.00,32810.11,1640.49,1640.49,34450.60,0.00,34450.60,
"-","-","South","MSFT Hyd",2025-06-04,"POS",458.00,233,0,44496.19,0.00,0.00,44496.19,2224.81,2224.81,46721.00,-0.00,46721.00,
"-","-","South","MSFT Hyd",2025-06-05,"POS",445.00,213,0,40060.36,0.00,0.00,40060.36,2003.04,2003.04,42063.40,0.00,42063.40,
"-","-","South","MSFT Hyd",2025-06-09,"POS",335.00,173,0,30673.44,0.00,0.00,30673.44,1533.66,1533.66,32207.10,0.00,32207.10,
"-","-","South","MSFT Hyd",2025-06-10,"POS",313.00,150,0,25491.90,0.00,0.00,25491.90,1274.60,1274.60,26766.50,0.00,26766.50,
"-","-","South","MSFT Hyd",2025-06-11,"POS",307.00,152,0,26841.68,0.00,0.00,26841.68,1342.07,1342.07,28183.75,0.00,28183.75,
"-","-","South","MSFT Hyd",2025-06-12,"POS",421.00,205,0,38882.82,0.00,0.00,38882.82,1944.13,1944.13,40826.95,0.00,40826.95,
"-","-","South","MSFT Hyd",2025-06-13,"POS",501.00,244,0,44861.28,0.00,0.00,44861.28,2243.07,2243.07,47104.35,0.00,47104.35,
"-","-","South","MSFT Hyd",2025-06-16,"POS",345.00,160,0,30086.68,0.00,0.00,30086.68,1504.32,1504.32,31591.00,0.00,31591.00,
"-","-","South","MSFT Hyd",2025-06-17,"POS",428.00,209,0,37717.52,0.00,0.00,37717.52,1885.88,1885.88,39603.40,0.00,39603.40,
"-","-","South","MSFT Hyd",2025-06-18,"POS",426.00,220,0,39703.50,0.00,0.00,39703.50,1985.20,1985.20,41688.70,-0.00,41688.70,
"-","-","South","MSFT Hyd",2025-06-19,"POS",407.00,208,0,38611.88,0.00,0.00,38611.88,1930.62,1930.62,40542.50,-0.00,40542.50,
"-","-","South","MSFT Hyd",2025-06-20,"POS",539.00,274,0,50861.00,0.00,0.00,50861.00,2543.05,2543.05,53404.05,-0.00,53404.05,
"-","-","South","MSFT Hyd",2025-06-23,"POS",319.00,132,0,26095.00,0.00,0.00,26095.00,1304.75,1304.75,27399.75,0.00,27399.75,
"-","-","South","MSFT Hyd",2025-06-24,"POS",472.00,243,0,43652.14,0.00,0.00,43652.14,2182.61,2182.61,45834.75,-0.00,45834.75,
"-","-","South","MSFT Hyd",2025-06-25,"POS",355.00,195,0,37725.14,0.00,0.00,37725.14,1886.26,1886.26,39611.40,0.00,39611.40,
"-","-","South","MSFT Hyd",2025-06-26,"POS",413.00,222,0,40221.00,0.00,0.00,40221.00,2011.05,2011.05,42232.05,-0.00,42232.05,
"-","-","South","MSFT Hyd",2025-06-27,"POS",472.00,238,0,46305.00,0.00,0.00,46305.00,2315.25,2315.25,48620.25,0.00,48620.25,
"-","-","South","MSFT Hyd",2025-06-30,"POS",358.00,162,0,31021.00,0.00,0.00,31021.00,1551.05,1551.05,32572.05,0.00,32572.05,

