All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Restaurant Packaging Charges,Packaging Charge [CART - SWIGGY],Restaurant Charge,Staff Welfare charge at 5%,Staff Welfare,Delivery Charge,Platform Fee Charge,Smile Amount Charge,Charges,Net Sale,ECom_GST@5%,GST @5%,GST @18%,GST @40%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island HQ-27",2025-12-15,"Mobile App",31.00,25,0,6660.00,3092.00,0,0,120.00,0,0,0,0,0,120.00,3568.00,0,200.01,0,0,200.01,3888.01,0.99,3889.00,
"-","-","North","Coffee Island HQ-27",2025-12-15,"Swiggy",16.00,9,0,4598.47,2187.54,0,180.00,0,0,0,0,0,0,180.00,2410.93,129.55,0,0,0,129.55,2720.48,1.52,2722.00,
"-","-","North","Coffee Island HQ-27",2025-12-15,"Zomato",16.00,11,0,4506.95,1947.00,220.00,0,0,0,0,0,0,0,220.00,2559.95,139.01,0,0,0,139.01,2918.96,0.04,2919.00,
"-","-","North","Coffee Island HQ-27",2025-12-15,"Swiggy-Bolt Urgent",3.00,2,0,810.00,405.00,0,40.00,0,0,0,0,0,0,40.00,405.00,22.25,0,0,0,22.25,467.25,0.75,468.00,
"-","-","North","Coffee Island HQ-27",2025-12-16,"Zomato",23.00,10,0,6450.23,2592.00,200.00,0,0,0,0,0,0,0,200.00,3858.23,202.91,0,0,0,202.91,4261.14,1.86,4263.00,
"-","-","North","Coffee Island HQ-27",2025-12-16,"Mobile App",12.00,10,0,2840.00,1327.00,0,0,50.00,0,0,0,0,0,50.00,1513.00,0,84.65,0,0,84.65,1647.65,1.35,1649.00,
"-","-","North","Coffee Island HQ-27",2025-12-16,"Swiggy-Bolt Urgent",4.00,2,0,1070.00,535.00,0,40.00,0,0,0,0,0,0,40.00,535.00,28.75,0,0,0,28.75,603.75,0.25,604.00,
"-","-","North","Coffee Island HQ-27",2025-12-16,"Swiggy",16.00,11,0,4790.00,2195.00,0,220.00,0,0,0,0,0,0,220.00,2595.00,140.75,0,0,0,140.75,2955.75,0.25,2956.00,
"-","-","North","Coffee Island HQ-27",2025-12-16,"POS",107.00,50,0,24038.63,2202.67,0,0,0,0,0,0,0,0,0.00,21835.96,0,1091.83,0,0,1091.83,22927.79,6.21,22934.00,
"-","-","North","Coffee Island HQ-27",2025-12-17,"Swiggy",22.00,15,0,6686.90,3045.58,0,300.00,0,0,0,0,0,0,300.00,3641.32,197.07,0,0,0,197.07,4138.39,0.61,4139.00,
"-","-","North","Coffee Island HQ-27",2025-12-17,"Mobile App",11.00,8,0,2349.00,761.00,0,0,40.00,0,0,0,0,0,40.00,1588.00,0,86.60,0,0,86.60,1714.60,-0.60,1714.00,
"-","-","North","Coffee Island HQ-27",2025-12-17,"POS",102.00,46,0,24434.30,2788.05,0,0,0,0,0,0,0,0,0.00,21646.25,0,1052.78,106.56,0,1159.34,22805.59,5.41,22811.00,
"-","-","North","Coffee Island HQ-27",2025-12-17,"Swiggy-Bolt Urgent",2.00,2,0,575.00,250.00,0,40.00,0,0,0,0,0,0,40.00,325.00,18.25,0,0,0,18.25,383.25,-0.25,383.00,
"-","-","North","Coffee Island HQ-27",2025-12-17,"Zomato",18.00,14,0,5690.00,2359.00,280.00,0,0,0,0,0,0,0,280.00,3331.00,180.56,0,0,0,180.56,3791.56,0.44,3792.00,
"-","-","North","Coffee Island HQ-27",2025-12-18,"Mobile App",7.00,5,0,1339.00,34.00,0,0,25.00,0,0,0,0,0,25.00,1305.00,0,69.75,0,0,69.75,1399.75,-0.75,1399.00,
"-","-","North","Coffee Island HQ-27",2025-12-18,"Swiggy-Bolt Urgent",5.00,3,0,1440.00,671.00,0,60.00,0,0,0,0,0,0,60.00,769.00,41.45,0,0,0,41.45,870.45,0.55,871.00,
"-","-","North","Coffee Island HQ-27",2025-12-18,"POS",101.00,52,0,22710.15,1468.59,0,0,0,0,0,0,0,0,0.00,21241.56,0,1062.08,0,0,1062.08,22303.64,5.36,22309.00,
"-","-","North","Coffee Island HQ-27",2025-12-18,"Swiggy",23.00,13,0,7175.00,3063.49,0,260.00,0,0,0,0,0,0,260.00,4111.51,218.59,0,0,0,218.59,4590.10,0.90,4591.00,
"-","-","North","Coffee Island HQ-27",2025-12-18,"Zomato",21.00,12,0,6170.00,2660.00,240.00,0,0,0,0,0,0,0,240.00,3510.00,187.50,0,0,0,187.50,3937.50,2.50,3940.00,
"-","-","North","Coffee Island HQ-27",2025-12-19,"Swiggy",20.00,12,0,5812.00,2208.49,0,240.00,0,0,0,0,0,0,240.00,3603.51,189.40,0,9.99,0,199.39,4042.90,2.10,4045.00,
"-","-","North","Coffee Island HQ-27",2025-12-19,"Zomato",40.00,25,0,11750.85,5264.50,500.00,0,0,0,0,0,0,0,500.00,6486.35,349.33,0,0,0,349.33,7335.68,2.32,7338.00,
"-","-","North","Coffee Island HQ-27",2025-12-19,"Swiggy-Bolt Urgent",4.00,3,0,1155.00,535.00,0,60.00,0,0,0,0,0,0,60.00,620.00,34.00,0,0,0,34.00,714.00,0.00,714.00,
"-","-","North","Coffee Island HQ-27",2025-12-19,"POS",105.00,46,0,22776.14,872.00,0,0,0,0,0,0,0,0,0.00,21904.14,0,1095.21,0,0,1095.21,22999.35,4.65,23004.00,
"-","-","North","Coffee Island HQ-27",2025-12-19,"Mobile App",6.00,5,0,1387.00,100.00,0,0,25.00,0,0,0,0,0,25.00,1287.00,0,68.85,0,0,68.85,1380.85,-0.85,1380.00,
