  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Charges,Net Sale,GST @5%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","South","MSFT Hyd",2025-07-01,"POS",379.00,207,0,36612.00,0.00,0.00,36612.00,1830.60,1830.60,38442.60,0.00,38442.60,
"-","-","South","MSFT Hyd",2025-07-02,"POS",354.00,181,0,32753.74,0.00,0.00,32753.74,1637.66,1637.66,34391.40,0.00,34391.40,
"-","-","South","MSFT Hyd",2025-07-03,"POS",419.00,207,0,36995.41,0.00,0.00,36995.41,1849.76,1849.76,38845.17,0.00,38845.17,
"-","-","South","MSFT Hyd",2025-07-04,"POS",571.00,274,0,51587.88,0.00,0.00,51587.88,2579.40,2579.40,54167.28,0.00,54167.28,
"-","-","South","MSFT Hyd",2025-07-07,"POS",363.00,179,0,32381.27,0.00,0.00,32381.27,1619.05,1619.05,34000.32,0.00,34000.32,
"-","-","South","MSFT Hyd",2025-07-08,"POS",543.00,261,0,45357.12,0.00,0.00,45357.12,2267.82,2267.82,47624.94,0.00,47624.94,
"-","-","South","MSFT Hyd",2025-07-09,"POS",445.00,204,0,38085.04,0.00,0.00,38085.04,1904.30,1904.30,39989.34,0.00,39989.34,
"-","-","South","MSFT Hyd",2025-07-10,"POS",497.00,232,0,43915.76,0.00,0.00,43915.76,2195.86,2195.86,46111.62,0.00,46111.62,
"-","-","South","MSFT Hyd",2025-07-11,"POS",680.00,326,0,59823.76,0.00,0.00,59823.76,2991.20,2991.20,62814.96,0.00,62814.96,
"-","-","South","MSFT Hyd",2025-07-14,"POS",477.00,231,0,40008.98,0.00,0.00,40008.98,2000.46,2000.46,42009.44,0.00,42009.44,
"-","-","South","MSFT Hyd",2025-07-15,"POS",482.00,239,0,43054.91,0.00,0.00,43054.91,2152.75,2152.75,45207.66,0.00,45207.66,
"-","-","South","MSFT Hyd",2025-07-16,"POS",456.00,220,0,38764.43,0.00,0.00,38764.43,1938.25,1938.25,40702.68,0.00,40702.68,
"-","-","South","MSFT Hyd",2025-07-17,"POS",480.00,223,0,41892.06,0.00,0.00,41892.06,2094.62,2094.62,43986.68,0.00,43986.68,
"-","-","South","MSFT Hyd",2025-07-18,"POS",712.00,314,0,61147.84,0.00,0.00,61147.84,3057.43,3057.43,64205.27,0.00,64205.27,
"-","-","South","MSFT Hyd",2025-07-21,"POS",392.00,191,0,32921.30,0.00,0.00,32921.30,1646.08,1646.08,34567.38,0.00,34567.38,
"-","-","South","MSFT Hyd",2025-07-22,"POS",418.00,201,0,33633.14,0.00,0.00,33633.14,1681.73,1681.73,35314.87,-15.87,35299.00,
"-","-","South","MSFT Hyd",2025-07-23,"POS",514.00,246,0,43182.53,0.00,0.00,43182.53,2159.23,2159.23,45341.76,-17.76,45324.00,
"-","-","South","MSFT Hyd",2025-07-24,"POS",443.00,223,0,38178.84,0.00,0.00,38178.84,1909.00,1909.00,40087.84,-16.84,40071.00,
"-","-","South","MSFT Hyd",2025-07-25,"POS",556.00,283,0,50162.96,0.00,0.00,50162.96,2508.29,2508.29,52671.25,-19.25,52652.00,
"-","-","South","MSFT Hyd",2025-07-28,"POS",362.00,184,0,31382.69,0.00,0.00,31382.69,1569.27,1569.27,32951.96,-12.96,32939.00,
"-","-","South","MSFT Hyd",2025-07-29,"POS",431.00,210,0,34960.67,0.00,0.00,34960.67,1748.14,1748.14,36708.81,-14.81,36694.00,
"-","-","South","MSFT Hyd",2025-07-30,"POS",455.00,214,0,38276.08,0.00,0.00,38276.08,1913.90,1913.90,40189.98,-14.98,40175.00,
"-","-","South","MSFT Hyd",2025-07-31,"POS",466.00,227,0,37519.84,0.00,0.00,37519.84,1875.98,1875.98,39395.82,-16.82,39379.00,

