  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Charges,Net Sale,GST @5%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","South","MSFT Hyd",2025-09-01,"POS",328.00,152,0,25766.56,0.00,0.00,25766.56,1288.39,1288.39,27054.95,-8.95,27046.00,
"-","-","South","MSFT Hyd",2025-09-02,"POS",319.00,146,0,25021.38,0.00,0.00,25021.38,1251.15,1251.15,26272.53,-9.53,26263.00,
"-","-","South","MSFT Hyd",2025-09-03,"POS",324.00,162,0,28549.07,0.00,0.00,28549.07,1427.51,1427.51,29976.58,-10.58,29966.00,
"-","-","South","MSFT Hyd",2025-09-04,"POS",421.00,190,0,37010.30,0.00,0.00,37010.30,1840.13,1840.13,38850.43,-12.43,38838.00,
"-","-","South","MSFT Hyd",2025-09-05,"POS",472.00,231,0,41522.99,0.00,0.00,41522.99,2065.76,2065.76,43588.75,-9.75,43579.00,
"-","-","South","MSFT Hyd",2025-09-08,"POS",301.00,148,0,25450.00,0.00,0.00,25450.00,1272.62,1272.62,26722.62,-9.62,26713.00,
"-","-","South","MSFT Hyd",2025-09-09,"POS",437.00,205,0,35342.95,0.00,0.00,35342.95,1756.78,1756.78,37099.73,-10.73,37089.00,
"-","-","South","MSFT Hyd",2025-09-10,"POS",425.00,204,0,34032.92,0.00,0.00,34032.92,1701.77,1701.77,35734.69,-13.69,35721.00,
"-","-","South","MSFT Hyd",2025-09-11,"POS",399.00,189,0,32133.32,0.00,0.00,32133.32,1606.84,1606.84,33740.16,-13.16,33727.00,
"-","-","South","MSFT Hyd",2025-09-12,"POS",513.00,236,0,42400.00,0.00,0.00,42400.00,2120.11,2120.11,44520.11,-10.11,44510.00,
"-","-","South","MSFT Hyd",2025-09-15,"POS",408.00,187,0,32735.27,0.00,0.00,32735.27,1636.91,1636.91,34372.18,-8.18,34364.00,
"-","-","South","MSFT Hyd",2025-09-16,"POS",389.00,192,0,32591.12,0.00,0.00,32591.12,1629.63,1629.63,34220.75,-15.75,34205.00,
"-","-","South","MSFT Hyd",2025-09-17,"POS",479.00,223,0,38776.13,0.00,0.00,38776.13,1938.99,1938.99,40715.12,-15.12,40700.00,
"-","-","South","MSFT Hyd",2025-09-18,"POS",445.00,212,0,37172.19,0.00,0.00,37172.19,1848.21,1848.21,39020.40,-15.40,39005.00,
"-","-","South","MSFT Hyd",2025-09-19,"POS",464.00,216,0,38724.58,0.00,0.00,38724.58,1936.44,1936.44,40661.02,-12.02,40649.00,
"-","-","South","MSFT Hyd",2025-09-22,"POS",256.00,118,0,20241.55,0.00,0.00,20241.55,1012.19,1012.19,21253.74,-3.74,21250.00,
"-","-","South","MSFT Hyd",2025-09-23,"POS",362.00,173,0,30036.29,0.00,0.00,30036.29,1501.86,1501.86,31538.15,-9.15,31529.00,
"-","-","South","MSFT Hyd",2025-09-24,"POS",392.00,185,0,32530.01,0.00,0.00,32530.01,1626.62,1626.62,34156.63,-9.63,34147.00,
"-","-","South","MSFT Hyd",2025-09-25,"POS",384.00,172,0,30177.38,0.00,0.00,30177.38,1498.57,1498.57,31675.95,-7.95,31668.00,
"-","-","South","MSFT Hyd",2025-09-26,"POS",402.00,187,0,32661.04,0.00,0.00,32661.04,1633.20,1633.20,34294.24,-10.24,34284.00,
"-","-","South","MSFT Hyd",2025-09-29,"POS",269.00,127,0,21513.48,0.00,0.00,21513.48,1065.29,1065.29,22578.77,-1.77,22577.00,
"-","-","South","MSFT Hyd",2025-09-30,"POS",270.00,133,0,22369.77,0.00,0.00,22369.77,1108.06,1108.06,23477.83,-5.83,23472.00,

