Generated On: 2026-02-05 01:48:49 pm
Outlet Name,Cluster,Format,Date,Tab Type,Source,Quantity,Bills,Gross Sale,Discount,Net Sale,Charges,Tax,Total,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,table,POS,1,1,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,Hydrerabad,Corporate,2026-02-04,takeout,POS,172,166,30309.06,0.00,30309.06,0.00,1515.44,31824.50,
Grand Total,,,,,,173,167,30309.06,0.00,30309.06,0.00,1515.44,31824.50,

