Super Category ,Category Name,Item Name ,Has Expiry,Tax Rate,Purchase UOM,Base UOM,Conversion Factor
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING CONSUMABLES - TOILET PAPER/TISSUE PAPER/URINAL BALLS/URINAL PADS,Taski Fresh & Urinal Screen,no,18,PCS,PCS,1
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,Taski Fringe Mop 450 Gm (Mop Duster),no,18,PCS,PCS,1
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,Taski Handle For Round Mop Blue,no,18,PCS,PCS,1
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,Taski Kentucky Mop Holder - 1,no,18,PCS,PCS,1
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,Taski Mop Wringer & Bucket Yellow 24 L,no,18,PCS,PCS,1
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,Taski Pbt Brush,no,18,PCS,PCS,1
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,Taski Pbt Brush Handle,no,18,PCS,PCS,1
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING CHEMICALS - LIQUID,Taski R6,no,18,PCS,PCS,1
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,Taski Std Dry Mop 40 1Pc,no,18,PCS,PCS,1
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,Taski Window Squeezee 25 Cm,no,18,PCS,PCS,1
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,Taski Window Washer & Squeezee 25 Cm (Combo),no,18,PCS,PCS,1
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,Taski Window Washer 25 Cm,no,18,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Tata Salt 1 Kg,yes,,PKT(1KG),GM,1000
RAW MATERIAL,RM BEVERAGES - TEA BAGS,Tea Bag - Butterfly Pea,no,5,BOX(100PC),PCS,100
RAW MATERIAL,RM BEVERAGES - TEA BAGS,Tea Bag - Chamomile And Lemon Grass,no,5,BOX(100PC),PCS,100
RAW MATERIAL,RM BEVERAGES - TEA BAGS,Tea Bag - English Breakfast,no,5,BOX(100PC),PCS,100
RAW MATERIAL,RM BEVERAGES - TEA BAGS,Tea Bag - Indian Masala,no,5,BOX(100PC),PCS,100
CROCKERY & CUTLERY,CUTLERY,Tea Spoon,no,18,UNITS(6PCS),PCS,6
CROCKERY & CUTLERY,CUTLERY,Tea Spoon 2 Mm - 6 Pc Set,no,18,BOX(6PC),PCS,6
UNIFORM,UNIFORM - CAP/HEAD GEARS,Team Member Ci Cap - Blue,no,5,PCS,PCS,1
KITCHEN ACCESSORIES,FOOD DISPLAY ACCESSORIES,Tent Card Ss 2.5*4,no,18,PCS,PCS,1
KITCHEN ACCESSORIES,FOOD DISPLAY ACCESSORIES,Tent Card Ss Black Base 5*7,no,18,PCS,PCS,1
RETAIL,RTE - SNACKS,The Ultimate Sweet Crunchy Nut Mix - 70 Gms,yes,12,PCS,PCS,1
RETAIL,RTE - SNACKS,The Ultimate Trail Mix - 70 Gms,yes,12,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,The Walnut Date Teacake (CIB),no,5,PCS,PCS,1
CAPEX,SMALLWARE,Thermometer,no,18,PCS,PCS,1
CAPEX,SMALLWARE,Thermometer Clip,no,18,PCS,PCS,1
CAPEX,SMALLWARE,Tin Cutter,no,18,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Tiramisu Cream (CIB),no,5,PKT(500GM),GM,500
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Tiramisu Paris-Brest,no,18,PCS,PCS,1
CAPEX,BOH BEVERAGE EQUIPMENT,Toddy Cold Brew System With Lid THM4,no,18,PCS,PCS,1
,COOKING ACCESSORIES,Toddy filter paper bags THMPF20,no,5,PKT(100PCS),PCS,100
KITCHEN ACCESSORIES,COOKING ACCESSORIES,Toddy filter paper bags THMPF20,no,5,PKT(20PC),PCS,20
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Togarashi Seasoning,no,18,PKT(500GM),GM,500
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING CONSUMABLES - TOILET PAPER/TISSUE PAPER/URINAL BALLS/URINAL PADS,Toilet Roll (Washroom),no,18,PCS,PCS,1
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,Toilet Roll Dispenser (Washroom) (Ss),no,,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Tomato Chopped (CIB),no,5,#N/A,#N/A,
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Tomato Jullinnne (CIB),no,5,#N/A,#N/A,
RAW MATERIAL,RM FOOD - CONDIMENTS,Tomato Ketchup,no,5,PKT(2KG),GM,2000
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Tomato Large,no,,PKT(2KG),GM,2000
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Tomato Salsa,no,18,PKT(100GM),GM,1000
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Tomato Salsa (CIB),no,5,KG,GM,1000
CAPEX,SMALLWARE,Tong,no,18,PCS,PCS,1
CAPEX,SMALLWARE,Tooth-pick holder SS,no,5,PCS,PCS,1
CAPEX,BOH DEAD FABRICATION EQUIPMENT,Top Sheet False Cover,no,18,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Tortilla (CIB),no,,PKT(12PC),PCS,12
RETAIL,LIFESTYLE ACCESSORIES,Tote Bag,no,5,PKT(5PC),PCS,5
CAPEX,OTHER ELECTRONIC & ELECTRICAL ITEMS,Track Channel 1 Mtr Black,no,18,PCS,PCS,1
CAPEX,OTHER ELECTRONIC & ELECTRICAL ITEMS,Track Channel 2 Mtr Black,no,18,PCS,PCS,1
CAPEX,OTHER ELECTRONIC & ELECTRICAL ITEMS,Track Spot 20W 3000K Black,no,18,PCS,PCS,1
CAPEX,OTHER ELECTRONIC & ELECTRICAL ITEMS,Transmitter + Charger,no,18,PCS,PCS,1
DISPOSABLE TAKE AWAY PACKAGING,DISPOSABLE PACKAGING - TRAY MATS,Tray Mat CI DJS,no,5,BATCH(1000SHT),SHT,1000
KITCHEN ACCESSORIES,COOKING ACCESSORIES,Trigger Spray,no,18,PCS,PCS,1
