Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","590","NA","Quick Bites","Donut & Éclair","Chocolate Eclair",6.00,6.00,180.000,1080.00,0.00,1080.00,54.00,1134.00,6,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","587","NA","Quick Bites","Filled Buns","Korean Chicken Bun",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","124","NA","Hot Beverages","Hot Chocolate","Hazelnut Hot Chocolate",5.00,5.00,170.000,850.00,0.00,850.00,42.50,892.50,5,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","603","NA","Quick Bites","Puff & Toastie","Chipotle Vegetable Puff",1.00,1.00,100.000,100.00,0.00,100.00,5.00,105.00,1,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","604","NA","Quick Bites","Bread","Basil & Oven Dried Tomato Pinwheel",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,2,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","45","NA","Cold Beverages","Island Special-Cold","Mocha Espressione Cold",3.00,3.00,190.000,570.00,0.00,570.00,28.50,598.50,3,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","52","NA","Cold Beverages","Milk Shake","Double Chocolate Indulgent Milkshake",2.00,2.00,170.000,340.00,0.00,340.00,17.00,357.00,2,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","579","NA","Desserts","Gelato","Belgian Chocolate Sundae",2.00,2.00,180.000,360.00,0.00,360.00,18.00,378.00,2,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","599","NA","Quick Bites","Bread","Garlic & Cheese Pull Apart",2.00,2.00,200.000,400.00,0.00,400.00,20.00,420.00,2,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","97","NA","Hot Beverages","Hot Brews","Hot Latte Signature",3.00,3.00,207.620,622.86,0.00,622.86,31.14,654.00,3,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","157","NA","ADDON","Choice of Crema","Rich Crema @0",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,1,
"MSFT Hyd","2026-02-19","POS","TAKEAWAY","64","NA","Cold Beverages","Proffees (Protein + Coffee)","Classic Proffee (Protein + Coffee)",3.00,3.00,200.000,600.00,0.00,600.00,30.00,630.00,3,
