Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","63","BEVERAGES","Cold Beverages","Proffees (Protein + Coffee)","Cookie & Cream Proffee (Protein + Coffee)",1.00,1.00,220.000,220.00,0.00,220.00,11.00,231.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","235","BEVERAGES","ADDON","Choice of Beans","Volcano Blend - (Default)",104.00,104.00,0.000,0.00,0.00,0.00,0.00,0.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","137","BEVERAGES","ADDON","Choice of Beans","Volcano Blend@0",1.00,1.00,0.000,0.00,0.00,0.00,0.00,0.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","35","BEVERAGES","Cold Beverages","Iced Chocolate","Classic Strawberry Iced Chocolate-Lrg",1.00,1.00,190.000,190.00,0.00,190.00,9.50,199.50,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","110","BEVERAGES","Hot Beverages","Hot Brews","Machiato (Single)",2.00,2.00,140.000,280.00,0.00,280.00,14.00,294.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","3","BEVERAGES","Cold Beverages","Cold Brews","Iced Latte Signature-Lrg",8.00,8.00,150.000,1200.00,0.00,1200.00,60.00,1260.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","49","BEVERAGES","Cold Beverages","Island Special-Cold","Freddo Cappuccino-Med",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","97","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature-reg",8.00,8.00,160.000,1280.00,0.00,1280.00,64.00,1344.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","340","BEVERAGES","ADDON","Choice of Milk","Regular - Milk -170g Default",12.00,12.00,0.000,0.00,0.00,0.00,0.00,0.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","53","BEVERAGES","Cold Beverages","Milk Shake","Double Chocolate Indulgent Milkshake-Lrg",1.00,1.00,210.000,210.00,0.00,210.00,10.50,220.50,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","86","BEVERAGES","Hot Beverages","Alternative Brews","Island Pour Over",2.00,2.00,210.000,420.00,0.00,420.00,21.00,441.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","112","BEVERAGES","Hot Beverages","Hot Brews","Mocha Cappuccino-reg",6.00,6.00,180.000,1080.00,0.00,1080.00,54.00,1134.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","119","BEVERAGES","Hot Beverages","Hot Chocolate","Classic Strawberry Hot Chocolate-reg",3.00,3.00,170.000,510.00,0.00,510.00,25.50,535.50,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","178","FOOD","Main Course","Pizza","Roasted Tomato Basil Bocconcini Pide",1.00,1.00,253.000,253.00,0.00,253.00,12.65,265.65,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","344","BEVERAGES","ADDON","Choice of Milk","Regular - Milk -220g Default",15.00,15.00,0.000,0.00,0.00,0.00,0.00,0.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","342","BEVERAGES","ADDON","Choice of Milk","Regular - Milk -200g Default",11.00,11.00,0.000,0.00,0.00,0.00,0.00,0.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","96","BEVERAGES","Hot Beverages","Hot Brews","Hot Latte Signature-Med",3.00,3.00,180.000,540.00,0.00,540.00,27.00,567.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","130","BEVERAGES","Hot Beverages","Hot Tea","Indian Masala Tea",1.00,1.00,170.000,170.00,0.00,170.00,8.50,178.50,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","146","BEVERAGES","ADDON","Choice of Beans","Ethiopia Single Estate 20g@Default",2.00,2.00,0.000,0.00,0.00,0.00,0.00,0.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","50","BEVERAGES","Cold Beverages","Island Special-Cold","Iced Vietneamese Shakerato",8.00,8.00,220.000,1760.00,0.00,1760.00,88.00,1848.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","214","FOOD","Quick Bites","Croissant Cookie & Muffin","Oats & Honey Delight Muffin",1.00,1.00,200.000,200.00,0.00,200.00,10.00,210.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","134","BEVERAGES","Hot Beverages","Island Special-Hot","Mocha Espressione Hot-Med",1.00,1.00,210.000,210.00,0.00,210.00,10.50,220.50,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","71","BEVERAGES","Cold Beverages","Refresh","Iced Classic Lemon Tea-Lrg",1.00,1.00,150.000,150.00,0.00,150.00,7.50,157.50,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","121","BEVERAGES","Hot Beverages","Hot Chocolate","Guilt-Free Hot Chocolate-Med",8.00,8.00,190.000,1520.00,0.00,1520.00,76.00,1596.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","105","BEVERAGES","Hot Beverages","Hot Brews","Cappuccino-Med",5.00,5.00,180.000,900.00,0.00,900.00,45.00,945.00,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","200","FOOD","Desserts","Gelato","Mango Sorbet Singal Scoop",5.00,5.00,99.000,495.00,0.00,495.00,24.75,519.75,0,
"MSFT Hyd","2025-06-05","POS","TAKEAWAY","166","BEVERAGES","ADDON","Choice of Syrup","Hazelnut Syrup @50",2.00,2.00,25.000,50.00,0.00,50.00,2.50,52.50,0,
