Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island GK II","10002","2025-07-17","2025-07-16","T1-4333","5","Swiggy","DELIVERY","Hot Beverages","Island Special-Hot","134","Mocha Espressione Hot-Med","2025-07-17","12:26:38 AM","2025-07-17","03:23:25 AM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ruth","1","270","270","-","Bill Void","-",
"Coffee Island GK II","10002","2025-07-19","2025-07-19","T1-4589","74","POS","DINE IN","Main Course","Hand Made Sandwiches","-","Roasted Tomato & Bocconcini Croissant","2025-07-19","06:49:21 PM","2025-07-20","12:13:04 AM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ansh","1","349.99965","350","CUSTOMER COMPLAINT","Item Delete","-",
"Coffee Island GK II","10002","2025-07-20","2025-07-20","T1-4712","95","POS","DINE IN","Snacks","Trail Mix","-","Chocolate Almond","2025-07-20","07:35:20 PM","2025-07-20","07:51:02 PM","vitaxnova_cigk2_balkishan","vitaxnova_cigk2_balkishan","1","114.41","114.41","close to expiry","Item Delete","-",
"Coffee Island GK II","10002","2025-07-26","2025-07-26","T1-5206","31","POS","DELIVERY","Hot Beverages","Hot Brews","99","Americano-reg","2025-07-26","09:48:05 AM","2025-07-26","01:25:07 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ruth","2","210","420","WRONG","Bill Void","-",
"Coffee Island GK II","10002","2025-07-26","2025-07-26","T1-5206","31","POS","DELIVERY","ADDON","Choice of Beans","234","Master Blend - (Default)","2025-07-26","09:48:05 AM","2025-07-26","01:25:07 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ruth","2","0","0","WRONG","Bill Void","-",
"Coffee Island GK II","10002","2025-07-26","2025-07-26","T1-5206","31","POS","DELIVERY","Quick Bites","Croissant Cookie & Muffin","212","French Butter Croissant","2025-07-26","09:48:05 AM","2025-07-26","01:25:07 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ruth","1","189.9996","190","WRONG","Bill Void","-",
"Coffee Island GK II","10002","2025-07-26","2025-07-26","T1-5289","116","Swiggy","DELIVERY","Cold Beverages","Iced Chocolate","33","Guilt-Free Iced Chocolate-Med","2025-07-26","11:27:19 PM","2025-07-26","11:51:33 PM","vitaxnova_cigk2_balkishan","vitaxnova_cigk2_balkishan","1","270","270","-","Bill Void","-",
"Coffee Island GK II","10002","2025-07-26","2025-07-26","T1-5289","116","Swiggy","DELIVERY","ADDON","Choice of Milk","150","Almond Milk @50","2025-07-26","11:27:19 PM","2025-07-26","11:51:33 PM","vitaxnova_cigk2_balkishan","vitaxnova_cigk2_balkishan","1","52.5","52.5","-","Bill Void","-",
"Coffee Island GK II","10002","2025-07-29","2025-07-29","T1-5537","40","POS","DELIVERY","Snacks","Trail Mix","280","Coffee Almond Shots","2025-07-29","05:30:26 PM","2025-07-29","05:33:02 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_yasmin","1","100.85","100.85","voic","Bill Void","-",
"Coffee Island HQ-27","10001","2025-07-06","2025-07-06","T1-4056","19","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-07-06","05:17:23 PM","2025-07-06","05:35:49 PM","vitaxnova_igm_aashiq","vitaxnova_igm_aashiq","1","38.1","38.1","Testing puch for correction of KOT come out from Printer","Bill Void","Cash",
"Coffee Island HQ-27","10001","2025-07-06","2025-07-06","T1-4056","19","POS","DINE IN","Desserts","Desserts","188","Cinnamon & Jaggery Tea Cake","2025-07-06","05:17:23 PM","2025-07-06","05:35:49 PM","vitaxnova_igm_aashiq","vitaxnova_igm_aashiq","1","219.048","219.05","Testing puch for correction of KOT come out from Printer","Bill Void","Cash",
"Coffee Island HQ-27","10001","2025-07-06","2025-07-06","T1-4056","19","POS","DINE IN","Cold Beverages","Cold Brews","2","Iced Latte Signature-Med","2025-07-06","05:17:23 PM","2025-07-06","05:35:49 PM","vitaxnova_igm_aashiq","vitaxnova_igm_aashiq","1","257.143","257.14","Testing puch for correction of KOT come out from Printer","Bill Void","Cash",
