Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island - Tribeca Pune","10005","2025-10-11","2025-10-11","T1-1877","69","POS","DINE IN","Desserts","Gelato","-","Dark Chocolate Single Scoop","2025-10-11","09:10:33 PM","2025-10-11","09:41:43 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","195","195","guest want to cancell hence cancel","Item Delete","-",
"Coffee Island - Tribeca Pune","10005","2025-10-12","2025-10-12","T1-1889","1","POS","DINE IN","Breakfast Specials (Make your own)","Breakfast Specials (Make your own)","-","Breakfast Specials 2.0","2025-10-12","09:19:53 AM","2025-10-12","09:41:27 AM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","149","149","guest want to change he want puff hence cancel this","Item Delete","-",
"Coffee Island - Tribeca Pune","10005","2025-10-12","2025-10-12","T1-1900","12","POS","DINE IN","Quick Bites","Puff & Toastie","-","Korean Garlic Mushroom Puff","2025-10-12","12:38:45 PM","2025-10-12","01:31:09 PM","vitaxnova_citp_atharva","vitaxnova_citp_atharva","1","190","190","guest want to change","Item Delete","-",
"Coffee Island - Tribeca Pune","10005","2025-10-12","2025-10-12","T1-1953","65","POS","DINE IN","Main Course","Pizza","-","Chipotle Chicken Mozzarella Pide","2025-10-12","06:38:16 PM","2025-10-12","07:07:30 PM","vitaxnova_citp_atharva","vitaxnova_citp_atharva","1","370","370","cancel","Item Delete","-",
"Coffee Island - Tribeca Pune","10005","2025-10-18","2025-10-18","T1-2233","10","Zomato","DELIVERY","Cold Beverages","Cold Brews","11","Islander Cold Coffee-Med","2025-10-18","01:06:13 PM","2025-10-18","01:07:11 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","320","320","-","Bill Void","-",
"Coffee Island - Tribeca Pune","10005","2025-10-18","2025-10-18","T1-2233","10","Zomato","DELIVERY","ADDON","Choice of Beans","235","Volcano Blend (Default)","2025-10-18","01:06:13 PM","2025-10-18","01:07:11 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","0","0","-","Bill Void","-",
"Coffee Island - Tribeca Pune","10005","2025-10-18","2025-10-18","T1-2237","14","POS","DELIVERY","Hot Beverages","Island Special-Hot","135","Mocha Espressione Hot-reg","2025-10-18","02:04:03 PM","2025-10-18","11:06:39 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","290","290","DOUBLE PUNCHED  (T1-2238)","Bill Void","-",
"Coffee Island - Tribeca Pune","10005","2025-10-18","2025-10-18","T1-2237","14","POS","DELIVERY","ADDON","Choice of Beans","235","Volcano Blend (Default)","2025-10-18","02:04:03 PM","2025-10-18","11:06:39 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","0","0","DOUBLE PUNCHED  (T1-2238)","Bill Void","-",
"Coffee Island - Tribeca Pune","10005","2025-10-18","2025-10-18","T1-2237","14","POS","DELIVERY","ADDON","Choice of Milk","337","Regular - Milk -140g Default","2025-10-18","02:04:03 PM","2025-10-18","11:06:39 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","0","0","DOUBLE PUNCHED  (T1-2238)","Bill Void","-",
"Coffee Island - Tribeca Pune","10005","2025-10-18","2025-10-18","T1-2237","14","POS","DELIVERY","Hot Beverages","Hot Brews","106","Cappuccino-reg","2025-10-18","02:04:03 PM","2025-10-18","11:06:39 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","250","250","DOUBLE PUNCHED  (T1-2238)","Bill Void","-",
