Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island GK II","10002","2025-08-18","2025-08-18","T1-7114","37","POS","DINE IN","ADDON","Choice of Beans","234","Master Blend - (Default)","2025-08-18","06:12:33 PM","2025-08-18","06:18:03 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_yasmin","1","0","0","TWICE PUNCHED","Bill Void","Other",
"Coffee Island GK II","10002","2025-08-19","2025-08-19","T1-7186","33","POS","DINE IN","Main Course","Pasta","-","Classic Creamy Mac & Cheese","2025-08-19","05:14:15 PM","2025-08-19","05:41:11 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ansh","1","370.00005","370","ITEM OUT OF STOCK","Item Delete","-",
"Coffee Island GK II","10002","2025-08-22","2025-08-22","T1-7371","15","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-08-22","11:18:23 AM","2025-08-22","11:19:36 AM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ruth","1","38.1","38.1","TEST BILL","Bill Void","Cash",
"Coffee Island GK II","10002","2025-08-23","2025-08-23","T1-7535","95","POS","DINE IN","Snacks","Trail Mix","-","Chocolate Almond","2025-08-23","11:44:15 PM","2025-08-23","11:51:12 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ansh","1","114.41","114.41","costumer change rte","Item Delete","-",
"Coffee Island GK II","10002","2025-08-28","2025-08-28","T1-7906","60","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-08-28","07:24:40 PM","2025-08-28","07:30:21 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ansh","1","38.1","38.1","test","Bill Void","Cash",
"Coffee Island GK II","10002","2025-08-28","2025-08-28","T1-7907","61","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-08-28","07:26:34 PM","2025-08-28","07:29:39 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ansh","1","38.1","38.1","test","Bill Void","Cash",
"Coffee Island GK II","10002","2025-08-28","2025-08-28","T1-7908","62","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-08-28","07:27:16 PM","2025-08-28","07:28:41 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ansh","1","38.1","38.1","test","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-05","2025-08-05","T1-6013","36","POS","DINE IN","Main Course","Pasta","181","Rich Meatball Spaghetti","2025-08-05","03:34:54 PM","2025-08-05","06:51:10 PM","vitaxnova_igm_aashiq","vitaxnova_ic_farhan","1","371.429","371.43","coustomer did not like the food","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-05","2025-08-05","T1-6018","41","POS","DINE IN","Main Course","Pasta","180","Peperoncino Spaghetti Aglio Olio","2025-08-05","04:17:05 PM","2025-08-05","06:50:00 PM","vitaxnova_igm_aashiq","vitaxnova_ic_farhan","1","371.429","371.43","coustome did not  like the food","Bill Void","Cash",
"Coffee Island HQ-27","10001","2025-08-08","2025-08-08","T1-6283","64","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-08-08","07:49:20 PM","2025-08-08","08:23:16 PM","vitaxnova_igm_aashiq","vitaxnova_cihq_sourav","1","38.1","38.1","test order","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-08","2025-08-08","T1-6284","65","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-08-08","07:54:00 PM","2025-08-08","08:22:48 PM","vitaxnova_igm_aashiq","vitaxnova_cihq_sourav","1","38.1","38.1","tesst order","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-12","2025-08-12","T1-6502","52","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-08-12","06:26:23 PM","2025-08-12","07:51:53 PM","vitaxnova_igm_aashiq","vitaxnova_igm_aashiq","1","38.1","38.1","Till Testing","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-12","2025-08-12","T1-6503","53","POS","TAKEAWAY","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-08-12","06:40:12 PM","2025-08-12","07:52:25 PM","vitaxnova_igm_aashiq","vitaxnova_igm_aashiq","1","38.1","38.1","Till Testing","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-12","2025-08-12","T1-6505","55","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-08-12","06:50:55 PM","2025-08-12","07:52:48 PM","vitaxnova_igm_aashiq","vitaxnova_igm_aashiq","1","38.1","38.1","Till Testing","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-13","2025-08-13","T1-6573","55","POS","DINE IN","Cold Beverages","Cold Brews","-","Islander Cold Coffee-Lrg","2025-08-13","05:57:26 PM","2025-08-13","06:19:59 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","257.143","257.14","Order Change","Item Delete","-",
"Coffee Island HQ-27","10001","2025-08-13","2025-08-13","T1-6573","55","POS","DINE IN","ADDON","Choice of Beans","-","Volcano Blend - (Default)","2025-08-13","05:57:26 PM","2025-08-13","06:19:59 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","0","0","-","Item Delete","-",
"Coffee Island HQ-27","10001","2025-08-14","2025-08-13","T1-6589","71","POS","DELIVERY","Hot Beverages","Alternative Brews","86","Island Pour Over","2025-08-13","09:47:38 PM","2025-08-14","12:57:33 AM","vitaxnova_cihq_sourav","vitaxnova_ic_payel","1","309.9999","310","Mistakle punched","Bill Void","-",
"Coffee Island HQ-27","10001","2025-08-14","2025-08-13","T1-6589","71","POS","DELIVERY","ADDON","Choice of Beans","405","Kenya Single Estate 20g @0","2025-08-13","09:47:38 PM","2025-08-14","12:57:33 AM","vitaxnova_cihq_sourav","vitaxnova_ic_payel","1","0","0","Mistakle punched","Bill Void","-",
"Coffee Island HQ-27","10001","2025-08-14","2025-08-13","T1-6589","71","POS","DELIVERY","Cold Beverages","Island Special-Cold","366","Java Chip Killer-Large","2025-08-13","09:47:38 PM","2025-08-14","12:57:33 AM","vitaxnova_cihq_sourav","vitaxnova_ic_payel","1","349.99965","350","Mistakle punched","Bill Void","-",
"Coffee Island HQ-27","10001","2025-08-14","2025-08-13","T1-6589","71","POS","DELIVERY","Desserts","Desserts","187","Nolen Gur Banofee Jar","2025-08-13","09:47:38 PM","2025-08-14","12:57:33 AM","vitaxnova_cihq_sourav","vitaxnova_ic_payel","1","309.9999","310","Mistakle punched","Bill Void","-",
"Coffee Island HQ-27","10001","2025-08-14","2025-08-14","T1-6609","14","POS","DINE IN","Main Course","Hand Made Sandwiches","-","Roasted Turkey Tomato & Cheese Croissant","2025-08-14","12:33:18 PM","2025-08-14","12:43:47 PM","vitaxnova_cihq_sourav","vitaxnova_cihq_sourav","1","371.429","371.43","Isntead of this given veg crossaint","Item Delete","-",
"Coffee Island HQ-27","10001","2025-08-14","2025-08-14","T1-6630","35","Swiggy","DELIVERY","Quick Bites","Croissant Cookie & Muffin","212","French Butter Croissant","2025-08-14","04:13:52 PM","2025-08-14","05:29:19 PM","vitaxnova_igm_aashiq","vitaxnova_cihq_sourav","1","190","190","-","Bill Void","-",
