Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"MSFT Hyd","10007","2025-08-01","2025-08-01","T1-1347","230","POS","TAKEAWAY","Cold Beverages","Granita","17","Slushed Pineapple Mango Sunshine Granita-Med","2025-08-01","05:29:01 PM","2025-08-01","05:30:29 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","161.9048","161.9","WRONG PUNCHING","Bill Void","Cash",
"MSFT Hyd","10007","2025-08-04","2025-08-04","T1-1538","161","POS","TAKEAWAY","Cold Beverages","Iced Chocolate","36","Classic Strawberry Iced Chocolate-Med","2025-08-04","05:53:39 PM","2025-08-04","05:55:25 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","161.9048","161.9","WRONG PUNCH","Bill Void","Cash",
"MSFT Hyd","10007","2025-08-04","2025-08-04","T1-1538","161","POS","TAKEAWAY","ADDON","Choice of Milk","333","Regular - Milk -100g Default","2025-08-04","05:53:39 PM","2025-08-04","05:55:25 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","WRONG PUNCH","Bill Void","Cash",
"MSFT Hyd","10007","2025-08-05","2025-08-05","T1-1648","106","POS","TAKEAWAY","Cold Beverages","Island Special-Cold","48","Freddo Cappuccino-Lrg","2025-08-05","03:26:27 PM","2025-08-05","03:31:15 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","180.9524","180.95","WRONG PUNCH","Bill Void","Cash",
"MSFT Hyd","10007","2025-08-05","2025-08-05","T1-1648","106","POS","TAKEAWAY","ADDON","Choice of Boba","154","Coffee Popping Boba - 50","2025-08-05","03:26:27 PM","2025-08-05","03:31:15 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","50","50","WRONG PUNCH","Bill Void","Cash",
"MSFT Hyd","10007","2025-08-05","2025-08-05","T1-1648","106","POS","TAKEAWAY","ADDON","Choice of Beans","235","Volcano Blend - (Default)","2025-08-05","03:26:27 PM","2025-08-05","03:31:15 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","WRONG PUNCH","Bill Void","Cash",
"MSFT Hyd","10007","2025-08-05","2025-08-05","T1-1670","128","POS","TAKEAWAY","Cold Beverages","Iced Chocolate","33","Guilt-Free Iced Chocolate-Med","2025-08-05","03:54:47 PM","2025-08-05","03:58:15 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","161.9048","161.9","WRONG PUNCH","Bill Void","Cash",
"MSFT Hyd","10007","2025-08-05","2025-08-05","T1-1670","128","POS","TAKEAWAY","ADDON","Choice of Milk","333","Regular - Milk -100g Default","2025-08-05","03:54:47 PM","2025-08-05","03:58:15 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","WRONG PUNCH","Bill Void","Cash",
"MSFT Hyd","10007","2025-08-05","2025-08-05","T1-1773","231","POS","TAKEAWAY","Quick Bites","Puff & Toastie","217","Korean Garlic Mushroom Puff","2025-08-05","05:57:18 PM","2025-08-05","06:16:10 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_anand","1","99.483","99.48","customer cancelled","Bill Void","Cash",
"MSFT Hyd","10007","2025-08-06","2025-08-06","T1-1779","2","POS","TAKEAWAY","Cold Beverages","Cold Brews","3","Iced Latte Signature-Lrg","2025-08-06","07:37:58 AM","2025-08-06","06:04:23 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","142.8571","142.86","wrong punching","Bill Void","Cash",
"MSFT Hyd","10007","2025-08-06","2025-08-06","T1-1779","2","POS","TAKEAWAY","ADDON","Choice of Milk","338","Regular - Milk -150g Default","2025-08-06","07:37:58 AM","2025-08-06","06:04:23 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","wrong punching","Bill Void","Cash",
"MSFT Hyd","10007","2025-08-06","2025-08-06","T1-1779","2","POS","TAKEAWAY","ADDON","Choice of Beans","235","Volcano Blend - (Default)","2025-08-06","07:37:58 AM","2025-08-06","06:04:23 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","wrong punching","Bill Void","Cash",
"MSFT Hyd","10007","2025-08-11","2025-08-11","T1-2694","161","POS","TAKEAWAY","Desserts","Desserts","185","Cold Brew Tiramisu","2025-08-11","06:00:00 PM","2025-08-11","06:01:38 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","241.2789","241.28","WRONG PUNCH","Bill Void","Cash",
