Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island Eros Churchgate - Mumbai","10006","2025-12-03","2025-12-03","T1-5287","31","POS","DINE IN","Value Combos (upto 40% off)","Hot Value Combos (upto 40% off)","540","Chipotle Chicken With Broccomole with Cappuccino","2025-12-03","11:41:06 AM","2025-12-03","11:57:57 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","549","549","item stock out","Bill Void","Other",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-12-03","2025-12-03","T1-5287","31","POS","DINE IN","Value Combos (upto 40% off)","Hot Value Combos (upto 40% off)","541","Chipotle Chicken With Broccomole with Latte","2025-12-03","11:41:06 AM","2025-12-03","11:57:57 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","549","549","item stock out","Bill Void","Other",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-12-03","2025-12-03","T1-5347","90","Zomato","DELIVERY","Hot Beverages","Hot Brews","106","Cappuccino","2025-12-03","06:01:23 PM","2025-12-03","06:09:27 PM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","285","285","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-12-03","2025-12-03","T1-5347","90","Zomato","DELIVERY","Quick Bites","Croissant Cookie & Muffin","212","French Butter Croissant","2025-12-03","06:01:23 PM","2025-12-03","06:09:27 PM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","210","210","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-12-07","2025-12-06","T1-5874","147","POS","TAKEAWAY","Main Course","Pasta","182","Classic Creamy Mac & Cheese","2025-12-07","02:25:49 AM","2025-12-07","03:32:31 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_umar","1","370","370","REFUND","Bill Void","Other",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-12-07","2025-12-06","T1-5874","147","POS","TAKEAWAY","Main Course","Rice Bowl","176","Chipotle Chicken Broccomole Rice Bowl","2025-12-07","02:25:49 AM","2025-12-07","03:32:31 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_umar","1","370","370","REFUND","Bill Void","Other",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-12-11","2025-12-11","T1-6455","58","Zomato","DELIVERY","Cold Beverages","Cold Brews","15","Iced Americano","2025-12-11","04:57:24 PM","2025-12-11","05:13:12 PM","vitaxnova_ciec_sandeep","vitaxnova_ciec_ahtsham","1","365","365","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-12-11","2025-12-11","T1-6455","58","Zomato","DELIVERY","Main Course","Pizza","178","Roasted Tomato Basil Bocconcini Pide","2025-12-11","04:57:24 PM","2025-12-11","05:13:12 PM","vitaxnova_ciec_sandeep","vitaxnova_ciec_ahtsham","1","390","390","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-12-12","2025-12-11","T1-6478","81","Zomato","DELIVERY","Main Course","Pasta","179","Roasted Chicken Mac & Cheese","2025-12-12","03:07:16 AM","2025-12-12","03:43:55 AM","vitaxnova_ciec_ahtsham","vitaxnova_ciec_ahtsham","1","430","430","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-12-13","2025-12-13","T1-6711","86","POS","DINE IN","Hot Beverages","Hot Brews","92","Espresso","2025-12-13","06:16:31 PM","2025-12-14","04:29:03 AM","vitaxnova_ciec_ahtsham","vitaxnova_ciec_ahtsham","1","190","190","refund of single esspresso deu to machin not working","Bill Void","Cash",
