  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Total Charges,Net Sale,GST @5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","South","MSFT Hyd",2025-09-01,"TAKEAWAY",324.00,149,25766.56,0.00,0.00,25766.56,1288.39,1288.39,27054.95,-8.95,27046.00,0.00,
"-","-","South","MSFT Hyd",2025-09-01,"DINE IN",4.00,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-02,"TAKEAWAY",315.00,142,25021.38,0.00,0.00,25021.38,1251.15,1251.15,26272.53,-9.53,26263.00,0.00,
"-","-","South","MSFT Hyd",2025-09-02,"DINE IN",4.00,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-03,"TAKEAWAY",316.00,156,28549.07,0.00,0.00,28549.07,1427.51,1427.51,29976.58,-10.58,29966.00,0.00,
"-","-","South","MSFT Hyd",2025-09-03,"DINE IN",8.00,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-04,"TAKEAWAY",412.00,184,37010.30,0.00,0.00,37010.30,1840.13,1840.13,38850.43,-12.43,38838.00,0.00,
"-","-","South","MSFT Hyd",2025-09-04,"DINE IN",9.00,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-05,"TAKEAWAY",466.00,226,41522.99,0.00,0.00,41522.99,2065.76,2065.76,43588.75,-9.75,43579.00,0.00,
"-","-","South","MSFT Hyd",2025-09-05,"DINE IN",6.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-08,"TAKEAWAY",298.00,145,25450.00,0.00,0.00,25450.00,1272.62,1272.62,26722.62,-9.62,26713.00,0.00,
"-","-","South","MSFT Hyd",2025-09-08,"DINE IN",3.00,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-09,"TAKEAWAY",431.00,200,35342.95,0.00,0.00,35342.95,1756.78,1756.78,37099.73,-10.73,37089.00,0.00,
"-","-","South","MSFT Hyd",2025-09-09,"DINE IN",6.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-10,"TAKEAWAY",421.00,200,34032.92,0.00,0.00,34032.92,1701.77,1701.77,35734.69,-13.69,35721.00,0.00,
"-","-","South","MSFT Hyd",2025-09-10,"DINE IN",4.00,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-11,"TAKEAWAY",393.00,183,32133.32,0.00,0.00,32133.32,1606.84,1606.84,33740.16,-13.16,33727.00,0.00,
"-","-","South","MSFT Hyd",2025-09-11,"DINE IN",6.00,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-12,"TAKEAWAY",508.00,231,42400.00,0.00,0.00,42400.00,2120.11,2120.11,44520.11,-10.11,44510.00,0.00,
"-","-","South","MSFT Hyd",2025-09-12,"DINE IN",5.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-15,"TAKEAWAY",406.00,185,32735.27,0.00,0.00,32735.27,1636.91,1636.91,34372.18,-8.18,34364.00,0.00,
"-","-","South","MSFT Hyd",2025-09-15,"DINE IN",2.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-16,"TAKEAWAY",386.00,189,32591.12,0.00,0.00,32591.12,1629.63,1629.63,34220.75,-15.75,34205.00,0.00,
"-","-","South","MSFT Hyd",2025-09-16,"DINE IN",3.00,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-17,"TAKEAWAY",475.00,219,38776.13,0.00,0.00,38776.13,1938.99,1938.99,40715.12,-15.12,40700.00,0.00,
"-","-","South","MSFT Hyd",2025-09-17,"DINE IN",4.00,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-18,"TAKEAWAY",442.00,209,37172.19,0.00,0.00,37172.19,1848.21,1848.21,39020.40,-15.40,39005.00,0.00,
"-","-","South","MSFT Hyd",2025-09-18,"DINE IN",3.00,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-19,"TAKEAWAY",461.00,213,38724.58,0.00,0.00,38724.58,1936.44,1936.44,40661.02,-12.02,40649.00,0.00,
"-","-","South","MSFT Hyd",2025-09-19,"DINE IN",3.00,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-22,"TAKEAWAY",254.00,116,20241.55,0.00,0.00,20241.55,1012.19,1012.19,21253.74,-3.74,21250.00,0.00,
"-","-","South","MSFT Hyd",2025-09-22,"DINE IN",2.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-23,"TAKEAWAY",358.00,169,30036.29,0.00,0.00,30036.29,1501.86,1501.86,31538.15,-9.15,31529.00,0.00,
"-","-","South","MSFT Hyd",2025-09-23,"DINE IN",4.00,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-24,"TAKEAWAY",386.00,179,32530.01,0.00,0.00,32530.01,1626.62,1626.62,34156.63,-9.63,34147.00,0.00,
"-","-","South","MSFT Hyd",2025-09-24,"DINE IN",6.00,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-25,"TAKEAWAY",379.00,167,30177.38,0.00,0.00,30177.38,1498.57,1498.57,31675.95,-7.95,31668.00,0.00,
"-","-","South","MSFT Hyd",2025-09-25,"DINE IN",5.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-26,"TAKEAWAY",397.00,182,32661.04,0.00,0.00,32661.04,1633.20,1633.20,34294.24,-10.24,34284.00,0.00,
"-","-","South","MSFT Hyd",2025-09-26,"DINE IN",5.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-29,"TAKEAWAY",264.00,122,21513.48,0.00,0.00,21513.48,1065.29,1065.29,22578.77,-1.77,22577.00,0.00,
"-","-","South","MSFT Hyd",2025-09-29,"DINE IN",5.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-09-30,"TAKEAWAY",266.00,129,22369.77,0.00,0.00,22369.77,1108.06,1108.06,23477.83,-5.83,23472.00,0.00,
"-","-","South","MSFT Hyd",2025-09-30,"DINE IN",4.00,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

