  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Restaurant Packaging Charges,Platform Fee Charge,Delivery Charge,Smile Amount Charge,Total Charges,Net Sale,GST @5%,GST @12%,GST @18%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island AIPL",2025-08-27,"DINE IN",69.00,21,7505.74,69.00,0,0,0,0,0,0,0.00,7436.74,313.80,139.29,0,0,453.09,7889.83,3.17,7893.00,20.00,
"-","-","North","Coffee Island AIPL",2025-08-27,"TAKEAWAY",30.00,8,4328.39,100.00,0,5.00,0,0,0,0,5.00,4228.39,205.41,16.61,0,0,222.02,4455.41,2.59,4458.00,7.00,
"-","-","North","Coffee Island AIPL",2025-08-28,"DELIVERY",33.00,10,4620.00,1766.00,20.00,0,240.00,0,0,0,260.00,2854.00,0,0,0,155.70,155.71,3269.71,0.29,3270.00,0.00,
"-","-","North","Coffee Island AIPL",2025-08-28,"TAKEAWAY",9.00,5,2163.39,226.02,0,0,0,0,0,0,0.00,1937.37,70.50,0,94.93,0,165.43,2102.80,1.20,2104.00,5.00,
"-","-","North","Coffee Island AIPL",2025-08-28,"DINE IN",37.00,16,4964.07,0.00,0,0,0,0,0,0,0.00,4964.07,241.00,0,25.93,0,266.93,5231.00,3.00,5234.00,16.00,
"-","-","North","Coffee Island AIPL",2025-08-29,"DELIVERY",28.00,8,4460.00,1379.00,60.00,0,180.00,0,0,0,240.00,3081.00,0,0,0,166.05,166.05,3487.05,-0.05,3487.00,0.00,
"-","-","North","Coffee Island AIPL",2025-08-29,"DINE IN",78.00,20,10534.56,43.00,0,0,0,0,0,0,0.00,10491.56,485.92,65.35,41.18,0,592.45,11084.01,0.99,11085.00,20.00,
"-","-","North","Coffee Island AIPL",2025-08-29,"TAKEAWAY",24.00,7,3108.00,300.00,0,15.00,0,0,0,0,15.00,2808.00,134.13,0,32.30,0,166.43,2989.43,1.57,2991.00,4.00,
"-","-","North","Coffee Island AIPL",2025-08-30,"TAKEAWAY",37.00,13,4167.84,324.00,0,5.00,0,0,0,0,5.00,3843.84,170.22,0.00,82.38,0,252.60,4101.44,3.56,4105.00,14.00,
"-","-","North","Coffee Island AIPL",2025-08-30,"DINE IN",114.00,30,16811.29,592.90,0,0,0,0,0,0,0.00,16218.39,763.85,0,169.43,0,933.28,17151.67,5.33,17157.00,33.00,
"-","-","North","Coffee Island AIPL",2025-08-30,"DELIVERY",54.00,14,6605.00,2274.98,150.00,0,270.00,0,0,0,420.00,4330.02,0,0,0,237.50,237.51,4987.53,3.47,4991.00,0.00,
"-","-","North","Coffee Island AIPL",2025-08-31,"DINE IN",161.00,42,19630.64,204.13,0,0,0,0,0,0,0.00,19426.51,896.86,137.95,61.16,0,1095.97,20522.48,7.52,20530.00,44.00,
"-","-","North","Coffee Island AIPL",2025-08-31,"DELIVERY",45.00,11,6400.00,2129.50,90.00,0,240.00,0,0,0,330.00,4270.50,0,0,0,230.04,230.04,4830.54,0.46,4831.00,0.00,
"-","-","North","Coffee Island AIPL",2025-08-31,"TAKEAWAY",16.00,5,2340.85,100.00,0,5.00,0,0,0,0,5.00,2240.85,107.90,0,18.15,0,126.05,2371.90,2.10,2374.00,4.00,

