Generated On: 2026-02-06 10:36:56 am
Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Total Charges,Net Sale,GST @5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
-,-,South,MSFT Hyd,2026-02-05,TAKEAWAY,207.00,192,37253.84,0.00,0.00,37253.84,1862.66,1862.66,39116.50,20.50,39137.00,0,
-,-,South,MSFT Hyd,2026-02-05,DINE IN,3.00,1,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,


