  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Delivery Charge,Platform Fee Charge,Restaurant Packaging Charges,Packaging Charge,Smile Amount Charge,Total Charges,Net Sale,GST @5%,GST @18%,GST @12%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island AIPL",2025-06-19,"ONLINE",3.00,2,632.50,100.00,0,0,0,0,0,0,0,0.00,532.50,26.62,0,0,0,26.62,559.12,-0.12,559.00,0.00,
"-","-","North","Coffee Island AIPL",2025-06-19,"DINE IN",135.00,40,20142.72,563.82,0,0,0,0,0,0,0,0.00,19578.90,932.30,27.46,93.64,0,1053.40,20632.30,8.70,20641.00,41.00,
"-","-","North","Coffee Island AIPL",2025-06-19,"TAKEAWAY",12.00,3,1375.00,0.00,0,0,0,0,0,0,0,0.00,1375.00,68.75,0,0,0,68.76,1443.76,0.24,1444.00,3.00,
"-","-","North","Coffee Island AIPL",2025-06-20,"DINE IN",160.00,35,23047.00,150.88,0,0,0,0,0,0,0,0.00,22896.12,1094.26,181.98,0,0,1276.25,24172.37,6.63,24179.00,40.00,
"-","-","North","Coffee Island AIPL",2025-06-20,"TAKEAWAY",31.00,12,4404.75,168.00,0,15.00,0,0,0,0,0,15.00,4236.75,196.29,65.70,0,0,261.99,4513.74,3.26,4517.00,9.00,
"-","-","North","Coffee Island AIPL",2025-06-21,"DINE IN",191.00,49,32321.38,0.00,0,0,0,0,0,0,0,0.00,32321.38,1541.66,75.36,128.36,0,1745.41,34066.79,11.21,34078.00,47.00,
"-","-","North","Coffee Island AIPL",2025-06-21,"ONLINE",5.00,3,1665.00,544.00,10.00,5.00,30.00,5.00,0,0,0,50.00,1121.00,45.00,65.70,0,0.50,111.20,1282.20,-0.20,1282.00,0.00,
"-","-","North","Coffee Island AIPL",2025-06-21,"TAKEAWAY",42.00,11,6997.50,100.00,0,5.00,0,0,0,0,0,5.00,6897.50,345.77,0,0,0,345.78,7248.28,2.72,7251.00,10.00,
"-","-","North","Coffee Island AIPL",2025-06-22,"DINE IN",121.00,35,15626.89,0.00,0,0,0,0,0,0,0,0.00,15626.89,772.92,30.36,0,0,803.30,16430.19,7.81,16438.00,34.00,
"-","-","North","Coffee Island AIPL",2025-06-22,"TAKEAWAY",116.00,31,22673.81,755.00,0,15.00,0,0,0,0,0,15.00,21918.81,896.46,326.74,267.43,0,1490.64,23424.45,4.55,23429.00,30.00,
"-","-","North","Coffee Island AIPL",2025-06-23,"DINE IN",83.00,24,10578.75,138.00,0,0,0,0,0,0,0,0.00,10440.75,522.04,0,0,0,522.04,10962.79,4.21,10967.00,24.00,
"-","-","North","Coffee Island AIPL",2025-06-23,"ONLINE",3.00,2,890.00,100.00,0,0,0,0,0,0,0,0.00,790.00,39.50,0,0,0,39.50,829.50,0.50,830.00,0.00,
"-","-","North","Coffee Island AIPL",2025-06-23,"TAKEAWAY",25.00,7,3173.00,138.00,0,0.00,0,0,0,0,0,0.00,3035.00,151.75,0,0.00,0,151.75,3186.75,2.25,3189.00,7.00,
"-","-","North","Coffee Island AIPL",2025-06-24,"DINE IN",73.00,24,11384.12,0.00,0,0,0,0,0,0,0,0.00,11384.12,548.66,73.98,0,0,622.65,12006.77,6.23,12013.00,22.00,
"-","-","North","Coffee Island AIPL",2025-06-24,"TAKEAWAY",31.00,11,5192.50,0.00,0,5.00,0,0,0,0,0,5.00,5192.50,260.52,0,0,0,260.53,5458.03,2.97,5461.00,10.00,
"-","-","North","Coffee Island AIPL",2025-06-25,"DINE IN",106.00,35,15793.14,70.00,0,0,0,0,0,0,0,0.00,15723.14,778.53,0,18.30,0,796.85,16519.99,9.01,16529.00,34.00,
"-","-","North","Coffee Island AIPL",2025-06-25,"TAKEAWAY",33.00,9,5618.64,0.00,0,0,0,0,0,0,0,0.00,5618.64,272.50,30.36,0,0,302.88,5921.52,1.48,5923.00,9.00,
"-","-","North","Coffee Island AIPL",2025-06-25,"ONLINE",2.00,1,296.25,0.00,0,0,0,0,0,0,0,0.00,296.25,14.81,0,0,0,14.81,311.06,-0.06,311.00,0.00,
"-","-","North","Coffee Island AIPL",2025-06-26,"TAKEAWAY",66.00,16,17022.02,10673.00,0,10.00,0,0,0,0,0,10.00,6349.02,314.53,0,11.35,0,325.88,6684.90,4.10,6689.00,13.00,
"-","-","North","Coffee Island AIPL",2025-06-26,"ONLINE",4.00,3,714.61,88.00,10.00,0,0,0,0,0,0,10.00,626.61,31.33,0,0,0.50,31.83,668.44,0.56,669.00,0.00,
"-","-","North","Coffee Island AIPL",2025-06-26,"DINE IN",101.00,30,15155.58,225.00,0,0,0,0,0,0,0,0.00,14930.58,739.63,0,16.61,0,756.24,15686.82,4.18,15691.00,30.00,
"-","-","North","Coffee Island AIPL",2025-06-27,"TAKEAWAY",47.00,13,7739.08,1480.52,0,30.00,0,0,0,0,5.00,35.00,6258.56,255.60,225.82,0,0,481.42,6774.98,0.02,6775.00,6.00,
"-","-","North","Coffee Island AIPL",2025-06-27,"ONLINE",20.00,3,4941.82,0.00,10.00,0,0,0,0,0,0,10.00,4941.82,121.63,451.68,0,0.50,573.81,5525.63,0.37,5526.00,0.00,
"-","-","North","Coffee Island AIPL",2025-06-27,"DINE IN",86.00,22,14031.50,263.00,0,0,0,0,0,0,0,0.00,13768.50,688.42,0,0,0,688.42,14456.92,4.08,14461.00,26.00,
"-","-","North","Coffee Island AIPL",2025-06-28,"ONLINE",5.00,3,1330.00,100.00,10.00,0,0,0,0,0,0,10.00,1230.00,61.50,0,0,0.50,62.00,1302.00,1.00,1303.00,0.00,
"-","-","North","Coffee Island AIPL",2025-06-28,"DINE IN",217.00,51,29617.32,0.00,0,0,0,0,0,0,0,0.00,29617.32,1397.37,195.33,70.18,0,1662.91,31280.23,7.77,31288.00,55.00,
"-","-","North","Coffee Island AIPL",2025-06-28,"TAKEAWAY",75.00,16,11517.60,0.00,0,0,0,0,0,0,0,0.00,11517.60,575.89,0,0,0,575.90,12093.50,2.50,12096.00,16.00,
"-","-","North","Coffee Island AIPL",2025-06-29,"TAKEAWAY",275.00,63,43962.15,2793.75,0,0,0,0,0,0,0,0.00,41168.40,2052.85,0,13.39,0,2066.26,43234.66,7.34,43242.00,63.00,
"-","-","North","Coffee Island AIPL",2025-06-29,"DINE IN",274.00,57,41987.17,1290.00,0,0,0,0,0,0,0,0.00,40697.17,1988.60,166.58,0,0,2155.22,42852.39,8.61,42861.00,52.00,
"-","-","North","Coffee Island AIPL",2025-06-29,"ONLINE",11.00,2,1552.50,0.00,0,0,0,0,0,0,0,0.00,1552.50,77.63,0,0,0,77.63,1630.13,0.87,1631.00,0.00,
"-","-","North","Coffee Island AIPL",2025-06-30,"DINE IN",104.00,33,14111.70,174.00,0,0,0,0,0,0,0,0.00,13937.70,668.86,60.71,26.78,0,756.35,14694.05,7.95,14702.00,28.00,
"-","-","North","Coffee Island AIPL",2025-06-30,"TAKEAWAY",21.00,7,3450.00,100.00,0,5.00,0,0,0,0,0,5.00,3350.00,168.40,0,0,0,168.40,3523.40,0.60,3524.00,6.00,
"-","-","North","Coffee Island AIPL",2025-06-30,"ONLINE",2.00,1,720.00,50.00,0,0,0,0,0,0,0,0.00,670.00,33.50,0,0,0,33.50,703.50,0.50,704.00,0.00,

