  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Delivery Charge,Platform Fee Charge,Restaurant Packaging Charges,Packaging Charge,Smile Amount Charge,Total Charges,Net Sale,GST @5%,GST @18%,GST @12%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island HQ-27",2025-06-04,"ONLINE",6.00,2,514.28,514.00,0,0,0,0,0,10.00,0,10.00,0.28,0.02,1.80,0,0,1.82,12.10,-0.10,12.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-05,"DELIVERY",61.00,15,8834.75,2404.93,0,0,0,0,100.00,0,0,100.00,6429.82,0,21.47,0,320.53,341.99,6871.81,1.19,6873.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-05,"DINE IN",77.00,27,12084.25,269.34,0,0,0,0,0,0,0,0.00,11814.91,571.75,0,45.53,0,617.28,12432.19,0.81,12433.00,33.00,
"-","-","North","Coffee Island HQ-27",2025-06-05,"TAKEAWAY",123.00,36,18341.70,343.54,0,10.00,0,0,0,0,0,10.00,17998.16,863.47,33.25,69.55,0,966.27,18974.43,0.57,18975.00,56.00,
"-","-","North","Coffee Island HQ-27",2025-06-05,"ONLINE",10.00,5,1942.76,571.00,0,25.00,30.00,5.00,0,20.00,0,80.00,1371.76,79.39,3.60,0,0,82.99,1534.75,0.25,1535.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-06,"DINE IN",113.00,35,16103.52,1267.62,0,5.00,0,0,0,0,0,5.00,14835.90,737.71,17.83,0,0,755.54,15596.44,2.56,15599.00,36.00,
"-","-","North","Coffee Island HQ-27",2025-06-06,"DELIVERY",39.00,17,6279.50,1556.97,0,0,0,0,160.00,0,0,160.00,4722.53,0,53.02,0,229.40,282.43,5164.96,0.04,5165.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-06,"TAKEAWAY",52.00,13,7457.20,395.87,0,5.00,0,0,0,0,0,5.00,7061.33,336.18,18.53,30.27,0,384.98,7451.31,0.69,7452.00,15.00,
"-","-","North","Coffee Island HQ-27",2025-06-06,"ONLINE",1.00,1,38.00,0.00,0,5.00,30.00,5.00,0,0,0,40.00,38.00,9.10,0,0,0,9.10,87.10,-0.10,87.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-07,"DINE IN",25.00,15,2718.46,41.90,0,0,0,0,0,0,0,0.00,2676.56,126.23,0,18.21,0,144.44,2821.00,1.00,2822.00,15.00,
"-","-","North","Coffee Island HQ-27",2025-06-07,"TAKEAWAY",103.00,36,15130.18,502.02,0,15.00,0,0,0,0,5.00,20.00,14628.16,720.95,0,31.60,0,752.55,15400.71,1.29,15402.00,33.00,
"-","-","North","Coffee Island HQ-27",2025-06-07,"DELIVERY",46.00,15,6680.17,1073.00,0,0,0,0,200.00,0,0,200.00,5607.17,0,117.03,0,257.84,374.87,6182.04,0.96,6183.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-08,"DINE IN",39.00,14,5268.76,149.25,0,0,0,0,0,0,0,0.00,5119.51,250.96,0,12.05,0,263.01,5382.52,0.48,5383.00,19.00,
"-","-","North","Coffee Island HQ-27",2025-06-08,"DELIVERY",41.00,17,6980.00,1328.99,0,0,0,0,180.00,0,0,180.00,5651.01,0,0,0,291.55,291.54,6122.55,0.45,6123.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-08,"TAKEAWAY",26.00,8,5342.19,238.14,0,0,0,0,0,0,0,0.00,5104.05,187.90,242.32,0,0,430.22,5534.27,0.73,5535.00,8.00,
"-","-","North","Coffee Island HQ-27",2025-06-09,"DELIVERY",53.00,16,6734.00,1901.00,0,0,0,0,220.00,0,0,220.00,4833.00,0,0,0,245.48,245.48,5298.48,-0.48,5298.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-09,"TAKEAWAY",50.00,16,7103.86,334.14,0,30.00,0,0,0,0,0,30.00,6769.72,338.29,0,13.44,0,351.73,7151.45,0.55,7152.00,14.00,
"-","-","North","Coffee Island HQ-27",2025-06-09,"DINE IN",67.00,24,9873.82,690.48,0,0,0,0,0,0,0,0.00,9183.34,459.18,0,0,0,459.18,9642.52,0.48,9643.00,27.00,
"-","-","North","Coffee Island HQ-27",2025-06-10,"DELIVERY",24.00,9,3720.00,920.99,0,0,0,0,60.00,0,0,60.00,2799.01,0,0,0,142.95,142.96,3001.97,0.03,3002.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-10,"TAKEAWAY",80.00,18,9643.51,1157.96,0,10.00,0,0,0,0,0,10.00,8485.55,420.92,18.53,0,0,439.45,8935.00,1.00,8936.00,20.00,
"-","-","North","Coffee Island HQ-27",2025-06-10,"DINE IN",61.00,23,9958.23,923.58,0,0,0,0,0,0,0,0.00,9034.65,422.52,37.52,45.00,0,505.04,9539.69,0.31,9540.00,25.00,
"-","-","North","Coffee Island HQ-27",2025-06-11,"TAKEAWAY",50.00,15,5326.26,534.87,0,10.00,0,0,0,0,0,10.00,4791.39,209.37,87.02,18.75,0,315.14,5116.53,1.47,5118.00,15.00,
"-","-","North","Coffee Island HQ-27",2025-06-11,"DELIVERY",19.00,8,2715.00,654.99,0,0,0,0,60.00,0,0,60.00,2060.01,0,0,0,106.00,106.00,2226.01,0.99,2227.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-11,"DINE IN",72.00,21,9768.76,910.38,0,0,0,0,0,0,0,0.00,8858.38,441.18,0,4.15,0,445.33,9303.71,0.29,9304.00,29.00,
"-","-","North","Coffee Island HQ-27",2025-06-12,"TAKEAWAY",64.00,31,10658.24,905.06,0,15.00,0,0,0,0,0,15.00,9753.18,471.81,25.93,27.21,0,524.95,10293.13,0.87,10294.00,27.00,
"-","-","North","Coffee Island HQ-27",2025-06-12,"DINE IN",82.00,22,11196.26,793.87,0,0,0,0,0,0,0,0.00,10402.39,465.64,196.02,0,0,661.66,11064.05,0.95,11065.00,36.00,
"-","-","North","Coffee Island HQ-27",2025-06-12,"DELIVERY",41.00,9,6540.00,1860.99,0,0,0,0,140.00,0,0,140.00,4679.01,0,0,0,240.96,240.96,5059.97,1.03,5061.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-13,"DELIVERY",49.00,15,7519.29,2292.00,0,0,0,0,120.00,0,0,120.00,5227.29,0,0,0,267.36,267.36,5614.65,-0.65,5614.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-13,"DINE IN",106.00,31,16080.71,518.82,0,0,0,0,0,0,0,0.00,15561.89,764.49,48.89,0,0,813.38,16375.27,-0.27,16375.00,38.00,
"-","-","North","Coffee Island HQ-27",2025-06-13,"TAKEAWAY",61.00,21,7142.20,287.14,0,10.00,0,0,0,0,0,10.00,6855.06,320.06,88.18,0,0,408.24,7273.30,0.70,7274.00,23.00,
"-","-","North","Coffee Island HQ-27",2025-06-13,"ONLINE",8.00,1,890.00,133.50,0,5.00,0,5.00,0,0,0,10.00,756.50,39.62,0,0,0,39.62,806.12,-0.12,806.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-14,"DELIVERY",36.00,13,5635.50,1736.59,0,0,0,0,140.00,0,0,140.00,3898.91,0,73.84,0,181.44,255.28,4294.19,-0.19,4294.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-14,"DINE IN",63.00,18,8362.92,287.24,0,0,0,0,0,0,0,0.00,8075.68,393.02,38.74,0,0,431.76,8507.44,0.56,8508.00,30.00,
"-","-","North","Coffee Island HQ-27",2025-06-14,"TAKEAWAY",84.00,31,11222.69,733.88,0,20.00,0,0,0,0,0,20.00,10488.81,520.86,25.93,0,0,546.79,11055.60,1.40,11057.00,40.00,
"-","-","North","Coffee Island HQ-27",2025-06-15,"TAKEAWAY",35.00,9,4780.03,123.00,0,0,0,0,0,0,0,0.00,4657.03,194.58,137.74,0,0,332.33,4989.36,-0.36,4989.00,9.00,
"-","-","North","Coffee Island HQ-27",2025-06-15,"DINE IN",95.00,20,12843.54,141.91,0,0,0,0,0,0,0,0.00,12701.63,629.47,0,13.39,0,642.86,13344.49,0.51,13345.00,31.00,
"-","-","North","Coffee Island HQ-27",2025-06-15,"DELIVERY",50.00,14,6870.00,2492.00,0,0,0,0,200.00,0,0,200.00,4378.00,0,0,0,228.91,228.91,4806.91,1.09,4808.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-16,"DELIVERY",42.00,15,5760.00,1566.00,0,0,0,0,120.00,0,0,120.00,4194.00,0,0,0,215.73,215.72,4529.72,-0.72,4529.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-16,"TAKEAWAY",91.00,30,12040.35,563.24,0,15.00,0,0,0,0,0,15.00,11477.11,546.56,82.52,16.87,0,645.95,12138.06,1.94,12140.00,27.00,
"-","-","North","Coffee Island HQ-27",2025-06-16,"DINE IN",48.00,18,8194.63,85.23,0,0,0,0,0,0,0,0.00,8109.40,377.25,48.60,35.36,0,461.21,8570.61,0.39,8571.00,18.00,
"-","-","North","Coffee Island HQ-27",2025-06-17,"DELIVERY",34.00,10,4580.00,1357.00,0,0,0,0,80.00,0,0,80.00,3223.00,0,0,0,165.15,165.15,3468.15,0.85,3469.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-17,"TAKEAWAY",91.00,28,14113.96,1765.68,0,20.00,0,0,0,0,0,20.00,12348.28,570.53,135.38,30.80,0,736.71,13104.99,1.01,13106.00,35.00,
"-","-","North","Coffee Island HQ-27",2025-06-17,"DINE IN",158.00,28,24141.49,8494.78,0,0,0,0,0,0,0,0.00,15646.71,767.68,0,35.14,0,802.82,16449.53,-0.53,16449.00,28.00,
"-","-","North","Coffee Island HQ-27",2025-06-18,"DELIVERY",42.00,13,6758.05,1943.48,0,0,0,0,140.00,0,0,140.00,4814.57,0,81.55,0,225.07,306.63,5261.20,-0.20,5261.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-18,"DINE IN",60.00,23,9003.87,911.97,0,0,0,0,0,0,0,0.00,8091.90,396.79,0,18.75,0,415.54,8507.44,-0.44,8507.00,27.00,
"-","-","North","Coffee Island HQ-27",2025-06-18,"TAKEAWAY",62.00,21,8500.85,965.70,0,5.00,0,0,0,0,0,5.00,7535.15,367.37,36.93,0,0,404.30,7944.45,0.55,7945.00,20.00,
"-","-","North","Coffee Island HQ-27",2025-06-19,"DELIVERY",38.00,14,5919.18,1562.80,0,0,0,0,100.00,0,0,100.00,4356.38,0,0,0,222.83,222.83,4679.21,0.79,4680.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-19,"TAKEAWAY",57.00,17,7454.49,313.81,0,5.00,0,0,0,0,0,5.00,7140.68,352.35,0,13.39,0,365.74,7511.42,-0.42,7511.00,20.00,
"-","-","North","Coffee Island HQ-27",2025-06-19,"DINE IN",115.00,35,17816.69,1090.19,0,0,0,0,0,0,0,0.00,16726.50,806.73,86.19,13.39,0,906.31,17632.81,2.19,17635.00,41.00,
"-","-","North","Coffee Island HQ-27",2025-06-20,"DELIVERY",66.00,19,8670.52,2987.28,0,0,0,0,320.00,0,0,320.00,5683.24,0,0,0,291.25,291.25,6294.49,2.51,6297.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-20,"TAKEAWAY",27.00,9,4382.06,357.72,0,10.00,0,0,0,0,0,10.00,4024.34,190.40,0,30.26,0,220.66,4255.00,-0.00,4255.00,7.00,
"-","-","North","Coffee Island HQ-27",2025-06-20,"DINE IN",149.00,41,23515.32,606.66,0,0,0,0,0,0,0,0.00,22908.66,1104.46,147.35,0,0,1251.81,24160.47,0.53,24161.00,40.00,
"-","-","North","Coffee Island HQ-27",2025-06-21,"DINE IN",100.00,37,14329.95,470.05,0,0,0,0,0,0,0,0.00,13859.90,599.45,206.54,86.70,0,892.69,14752.59,0.41,14753.00,38.00,
"-","-","North","Coffee Island HQ-27",2025-06-21,"DELIVERY",41.00,15,5766.31,1241.98,0,0,0,0,180.00,0,0,180.00,4524.33,0,0,0,235.21,235.21,4939.54,1.46,4941.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-21,"TAKEAWAY",21.00,9,3888.59,751.81,0,20.00,0,0,0,0,5.00,25.00,3136.78,134.27,38.74,36.96,0,209.97,3371.75,-0.75,3371.00,7.00,
"-","-","North","Coffee Island HQ-27",2025-06-22,"DELIVERY",55.00,17,9033.21,2728.88,0,0,0,0,240.00,0,0,240.00,6304.34,0,0,0,327.23,327.23,6871.57,0.43,6872.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-22,"TAKEAWAY",9.00,2,1418.78,100.00,0,5.00,0,0,0,0,0,5.00,1318.78,66.83,0,0,0,66.83,1390.61,0.39,1391.00,1.00,
"-","-","North","Coffee Island HQ-27",2025-06-22,"DINE IN",78.00,17,8904.48,912.48,0,0,0,0,0,0,0,0.00,7992.00,387.93,41.92,0,0,429.85,8421.85,1.15,8423.00,21.00,
"-","-","North","Coffee Island HQ-27",2025-06-23,"DELIVERY",72.00,15,9215.24,3309.14,0,0,0,0,180.00,0,0,180.00,5906.10,0,0,0,304.31,304.31,6390.41,-0.41,6390.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-23,"TAKEAWAY",55.00,19,7474.03,837.90,0,5.00,0,0,0,0,0,5.00,6636.13,290.94,110.16,26.78,0,427.88,7069.01,-0.01,7069.00,18.00,
"-","-","North","Coffee Island HQ-27",2025-06-23,"DINE IN",108.00,25,15565.77,225.24,0,0,0,0,0,0,0,0.00,15340.53,720.34,113.19,36.42,0,869.95,16210.48,1.52,16212.00,35.00,
"-","-","North","Coffee Island HQ-27",2025-06-24,"DELIVERY",38.00,14,5030.87,1689.62,0,0,0,0,240.00,0,0,240.00,3341.25,0,0,0,164.67,164.67,3745.92,0.08,3746.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-24,"TAKEAWAY",43.00,16,6189.68,1008.05,0,10.00,0,0,0,0,0,10.00,5181.63,238.84,79.32,0,0,318.16,5509.79,0.21,5510.00,15.00,
"-","-","North","Coffee Island HQ-27",2025-06-24,"DINE IN",110.00,29,14664.93,1061.14,0,0,0,0,0,0,0,0.00,13603.79,673.32,0,16.39,0,689.71,14293.50,1.50,14295.00,35.00,
"-","-","North","Coffee Island HQ-27",2025-06-25,"DINE IN",74.00,27,9816.99,173.34,0,0,0,0,0,0,0,0.00,9643.65,458.36,38.14,31.60,0,528.10,10171.75,0.25,10172.00,38.00,
"-","-","North","Coffee Island HQ-27",2025-06-25,"DELIVERY",42.00,10,5116.04,1241.53,0,0,0,0,160.00,0,0,160.00,3874.51,0,0,0,201.73,201.73,4236.24,1.76,4238.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-25,"TAKEAWAY",62.00,21,8030.32,610.86,0,0.00,0,0,0,0,0,0.00,7419.46,353.13,44.08,13.39,0,410.60,7830.06,0.94,7831.00,20.00,
"-","-","North","Coffee Island HQ-27",2025-06-26,"DELIVERY",52.00,18,6653.70,1896.68,0,0,0,0,180.00,0,0,180.00,4757.02,0,0,0,246.84,246.84,5183.86,1.14,5185.00,0.00,
