  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Total Charges,Net Sale,GST @5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","South","MSFT Hyd",2025-08-01,"DINE IN",3.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-01,"TAKEAWAY",558.00,258,49470.17,0.00,0.00,49470.17,2473.64,2473.64,51943.81,-17.81,51926.00,0.00,
"-","-","South","MSFT Hyd",2025-08-04,"DINE IN",11.00,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-04,"TAKEAWAY",343.00,160,27676.51,0.00,0.00,27676.51,1383.97,1383.97,29060.48,-8.48,29052.00,0.00,
"-","-","South","MSFT Hyd",2025-08-05,"DINE IN",9.00,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-05,"TAKEAWAY",455.00,225,38691.78,0.00,0.00,38691.78,1934.64,1934.64,40626.42,-14.42,40612.00,0.00,
"-","-","South","MSFT Hyd",2025-08-06,"DINE IN",10.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-06,"TAKEAWAY",448.00,219,38257.43,0.00,0.00,38257.43,1912.95,1912.95,40170.38,-12.38,40158.00,0.00,
"-","-","South","MSFT Hyd",2025-08-07,"DINE IN",10.00,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-07,"TAKEAWAY",409.00,208,36224.86,0.00,0.00,36224.86,1811.32,1811.32,38036.18,-11.18,38025.00,0.00,
"-","-","South","MSFT Hyd",2025-08-08,"DINE IN",9.00,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-08,"TAKEAWAY",588.00,310,53688.06,0.00,0.00,53688.06,2684.54,2684.54,56372.60,-20.60,56352.00,0.00,
"-","-","South","MSFT Hyd",2025-08-11,"DINE IN",8.00,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-11,"TAKEAWAY",321.00,155,27417.49,0.00,0.00,27417.49,1370.96,1370.96,28788.45,-9.45,28779.00,0.00,
"-","-","South","MSFT Hyd",2025-08-12,"DINE IN",7.00,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-12,"TAKEAWAY",412.00,200,34212.83,0.00,0.00,34212.83,1710.74,1710.74,35923.57,-8.57,35915.00,0.00,
"-","-","South","MSFT Hyd",2025-08-13,"DINE IN",10.00,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-13,"TAKEAWAY",436.00,201,34809.28,0.00,0.00,34809.28,1740.55,1740.55,36549.83,-11.83,36538.00,0.00,
"-","-","South","MSFT Hyd",2025-08-14,"DINE IN",13.00,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-14,"TAKEAWAY",373.00,177,31881.12,0.00,0.00,31881.12,1594.20,1594.20,33475.32,-10.32,33465.00,0.00,
"-","-","South","MSFT Hyd",2025-08-18,"DINE IN",7.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-18,"TAKEAWAY",320.00,146,26102.11,0.00,0.00,26102.11,1284.19,1284.19,27386.30,-7.30,27379.00,0.00,
"-","-","South","MSFT Hyd",2025-08-19,"DINE IN",9.00,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-19,"TAKEAWAY",394.00,190,33728.95,0.00,0.00,33728.95,1686.49,1686.49,35415.44,-13.44,35402.00,0.00,
"-","-","South","MSFT Hyd",2025-08-20,"DINE IN",9.00,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-20,"TAKEAWAY",358.00,172,30784.92,0.00,0.00,30784.92,1528.80,1528.80,32313.72,-15.72,32298.00,0.00,
"-","-","South","MSFT Hyd",2025-08-21,"DINE IN",8.00,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-21,"TAKEAWAY",417.00,196,35174.40,0.00,0.00,35174.40,1758.81,1758.81,36933.21,-8.21,36925.00,0.00,
"-","-","South","MSFT Hyd",2025-08-22,"DINE IN",9.00,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-22,"TAKEAWAY",428.00,210,36381.12,0.00,0.00,36381.12,1819.13,1819.13,38200.25,-14.25,38186.00,0.00,
"-","-","South","MSFT Hyd",2025-08-25,"DINE IN",6.00,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-25,"TAKEAWAY",305.00,147,24939.41,0.00,0.00,24939.41,1247.04,1247.04,26186.45,-12.45,26174.00,0.00,
"-","-","South","MSFT Hyd",2025-08-26,"DINE IN",6.00,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-26,"TAKEAWAY",372.00,191,33663.83,0.00,0.00,33663.83,1662.30,1662.30,35326.13,-14.13,35312.00,0.00,
"-","-","South","MSFT Hyd",2025-08-27,"TAKEAWAY",382.00,187,32770.64,0.00,0.00,32770.64,1638.66,1638.66,34409.30,-11.30,34398.00,0.00,
"-","-","South","MSFT Hyd",2025-08-27,"DINE IN",5.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-28,"TAKEAWAY",350.00,172,29638.72,0.00,0.00,29638.72,1482.07,1482.07,31120.79,-12.79,31108.00,0.00,
"-","-","South","MSFT Hyd",2025-08-28,"DINE IN",4.00,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-08-29,"TAKEAWAY",461.00,213,37726.71,0.00,0.00,37726.71,1886.46,1886.46,39613.17,-14.17,39599.00,0.00,
"-","-","South","MSFT Hyd",2025-08-29,"DINE IN",7.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

