  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Total Charges,Net Sale,GST @5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","South","MSFT Hyd",2025-11-03,"TAKEAWAY",223.00,122,21062.59,0.00,0.00,21062.59,1053.22,1053.22,22115.81,-7.81,22108.00,0.00,
"-","-","South","MSFT Hyd",2025-11-04,"TAKEAWAY",344.00,148,25146.18,0.00,0.00,25146.18,1246.94,1246.94,26393.12,-8.12,26385.00,0.00,
"-","-","South","MSFT Hyd",2025-11-05,"TAKEAWAY",352.00,152,28509.41,0.00,0.00,28509.41,1425.56,1425.56,29934.97,-10.97,29924.00,0.00,
"-","-","South","MSFT Hyd",2025-11-05,"DINE IN",8.00,8,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-06,"TAKEAWAY",389.00,157,28400.73,0.00,0.00,28400.73,1409.75,1409.75,29810.48,-3.48,29807.00,0.00,
"-","-","South","MSFT Hyd",2025-11-06,"DINE IN",2.00,2,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-07,"TAKEAWAY",404.00,176,30891.10,0.00,0.00,30891.10,1534.30,1534.30,32425.40,-5.40,32420.00,0.00,
"-","-","South","MSFT Hyd",2025-11-07,"DINE IN",1.00,1,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-10,"TAKEAWAY",338.00,140,24546.44,0.00,0.00,24546.44,1227.44,1227.44,25773.88,-6.88,25767.00,0.00,
"-","-","South","MSFT Hyd",2025-11-10,"DINE IN",3.00,3,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-11,"TAKEAWAY",383.00,167,30675.05,0.00,0.00,30675.05,1523.43,1523.43,32198.48,-10.48,32188.00,0.00,
"-","-","South","MSFT Hyd",2025-11-11,"DINE IN",2.00,2,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-12,"TAKEAWAY",380.00,180,30972.91,0.00,0.00,30972.91,1527.82,1527.82,32500.73,-11.73,32489.00,0.00,
"-","-","South","MSFT Hyd",2025-11-12,"DINE IN",8.00,6,269.05,0.00,0.00,269.05,0,0.00,269.05,-0.05,269.00,0.00,
"-","-","South","MSFT Hyd",2025-11-13,"TAKEAWAY",390.00,189,31978.61,0.00,0.00,31978.61,1588.50,1588.50,33567.11,-9.11,33558.00,0.00,
"-","-","South","MSFT Hyd",2025-11-13,"DINE IN",3.00,3,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-14,"TAKEAWAY",462.00,201,36329.93,0.00,0.00,36329.93,1806.26,1806.26,38136.19,-8.19,38128.00,0.00,
"-","-","South","MSFT Hyd",2025-11-14,"DINE IN",5.00,5,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-17,"TAKEAWAY",344.00,150,25493.03,0.00,0.00,25493.03,1274.83,1274.83,26767.86,-5.86,26762.00,0.00,
"-","-","South","MSFT Hyd",2025-11-17,"DINE IN",3.00,3,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-18,"TAKEAWAY",352.00,158,27547.71,0.00,0.00,27547.71,1367.06,1367.06,28914.77,-8.77,28906.00,0.00,
"-","-","South","MSFT Hyd",2025-11-18,"DINE IN",3.00,3,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-19,"TAKEAWAY",350.00,155,27279.74,0.00,0.00,27279.74,1364.14,1364.14,28643.88,-11.88,28632.00,0.00,
"-","-","South","MSFT Hyd",2025-11-19,"DINE IN",7.00,7,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-20,"TAKEAWAY",407.00,192,33330.58,0.00,0.00,33330.58,1656.19,1656.19,34986.77,-13.77,34973.00,0.00,
"-","-","South","MSFT Hyd",2025-11-20,"DINE IN",3.00,3,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-21,"TAKEAWAY",444.00,195,36331.43,0.00,0.00,36331.43,1806.20,1806.20,38137.63,-11.63,38126.00,0.00,
"-","-","South","MSFT Hyd",2025-11-21,"DINE IN",6.00,6,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-24,"TAKEAWAY",322.00,146,25971.33,0.00,0.00,25971.33,1277.75,1277.75,27249.08,-7.08,27242.00,0.00,
"-","-","South","MSFT Hyd",2025-11-24,"DINE IN",4.00,4,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-25,"TAKEAWAY",403.00,170,30324.16,0.00,0.00,30324.16,1505.88,1505.88,31830.04,-10.04,31820.00,0.00,
"-","-","South","MSFT Hyd",2025-11-25,"DINE IN",2.00,2,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-26,"TAKEAWAY",400.00,174,32058.03,0.00,0.00,32058.03,1592.52,1592.52,33650.55,-9.55,33641.00,0.00,
"-","-","South","MSFT Hyd",2025-11-26,"DINE IN",7.00,7,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-27,"TAKEAWAY",366.00,164,29123.83,0.00,0.00,29123.83,1456.31,1456.31,30580.14,-9.14,30571.00,0.00,
"-","-","South","MSFT Hyd",2025-11-27,"DINE IN",4.00,4,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-11-28,"TAKEAWAY",408.00,182,33168.98,0.00,0.00,33168.98,1658.59,1658.59,34827.57,-9.57,34818.00,0.00,
"-","-","South","MSFT Hyd",2025-11-28,"DINE IN",5.00,5,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,

