  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Total Charges,Net Sale,GST @5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","South","MSFT Hyd",2025-06-03,"DINE IN",22.00,11,1172.33,0.00,0.00,1172.33,58.62,58.62,1230.95,0.00,1230.95,0.00,
"-","-","South","MSFT Hyd",2025-06-03,"TAKEAWAY",324.00,173,31637.78,0.00,0.00,31637.78,1581.87,1581.87,33219.65,0.00,33219.65,0.00,
"-","-","South","MSFT Hyd",2025-06-04,"DINE IN",9.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-06-04,"TAKEAWAY",449.00,228,44496.19,0.00,0.00,44496.19,2224.81,2224.81,46721.00,-0.00,46721.00,0.00,
"-","-","South","MSFT Hyd",2025-06-05,"DINE IN",5.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-06-05,"TAKEAWAY",440.00,211,40060.36,0.00,0.00,40060.36,2003.04,2003.04,42063.40,0.00,42063.40,0.00,
"-","-","South","MSFT Hyd",2025-06-09,"TAKEAWAY",330.00,168,30673.44,0.00,0.00,30673.44,1533.66,1533.66,32207.10,0.00,32207.10,0.00,
"-","-","South","MSFT Hyd",2025-06-09,"DINE IN",5.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-06-10,"DINE IN",10.00,7,210.00,0.00,0.00,210.00,10.50,10.50,220.50,0.00,220.50,0.00,
"-","-","South","MSFT Hyd",2025-06-10,"TAKEAWAY",303.00,143,25281.90,0.00,0.00,25281.90,1264.10,1264.10,26546.00,0.00,26546.00,0.00,
"-","-","South","MSFT Hyd",2025-06-11,"DINE IN",11.00,7,190.00,0.00,0.00,190.00,9.50,9.50,199.50,0.00,199.50,0.00,
"-","-","South","MSFT Hyd",2025-06-11,"TAKEAWAY",296.00,145,26651.68,0.00,0.00,26651.68,1332.57,1332.57,27984.25,0.00,27984.25,0.00,
"-","-","South","MSFT Hyd",2025-06-12,"DINE IN",13.00,9,560.48,0.00,0.00,560.48,28.02,28.02,588.50,0.00,588.50,0.00,
"-","-","South","MSFT Hyd",2025-06-12,"TAKEAWAY",408.00,196,38322.34,0.00,0.00,38322.34,1916.11,1916.11,40238.45,0.00,40238.45,0.00,
"-","-","South","MSFT Hyd",2025-06-13,"DINE IN",5.00,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-06-13,"TAKEAWAY",496.00,241,44861.28,0.00,0.00,44861.28,2243.07,2243.07,47104.35,0.00,47104.35,0.00,
"-","-","South","MSFT Hyd",2025-06-16,"DINE IN",8.00,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-06-16,"TAKEAWAY",337.00,154,30086.68,0.00,0.00,30086.68,1504.32,1504.32,31591.00,0.00,31591.00,0.00,
"-","-","South","MSFT Hyd",2025-06-17,"DINE IN",8.00,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-06-17,"TAKEAWAY",420.00,203,37717.52,0.00,0.00,37717.52,1885.88,1885.88,39603.40,0.00,39603.40,0.00,
"-","-","South","MSFT Hyd",2025-06-18,"DINE IN",3.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-06-18,"TAKEAWAY",423.00,219,39703.50,0.00,0.00,39703.50,1985.20,1985.20,41688.70,-0.00,41688.70,0.00,
"-","-","South","MSFT Hyd",2025-06-19,"DINE IN",7.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-06-19,"TAKEAWAY",400.00,203,38611.88,0.00,0.00,38611.88,1930.62,1930.62,40542.50,-0.00,40542.50,0.00,
"-","-","South","MSFT Hyd",2025-06-20,"DINE IN",8.00,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-06-20,"TAKEAWAY",531.00,268,50861.00,0.00,0.00,50861.00,2543.05,2543.05,53404.05,-0.00,53404.05,0.00,
"-","-","South","MSFT Hyd",2025-06-23,"DINE IN",7.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-06-23,"TAKEAWAY",312.00,127,26095.00,0.00,0.00,26095.00,1304.75,1304.75,27399.75,0.00,27399.75,0.00,
"-","-","South","MSFT Hyd",2025-06-24,"DINE IN",7.00,4,257.14,0.00,0.00,257.14,12.86,12.86,270.00,0.00,270.00,0.00,
"-","-","South","MSFT Hyd",2025-06-24,"TAKEAWAY",465.00,239,43395.00,0.00,0.00,43395.00,2169.75,2169.75,45564.75,-0.00,45564.75,0.00,
"-","-","South","MSFT Hyd",2025-06-25,"DINE IN",9.00,5,457.14,0.00,0.00,457.14,22.86,22.86,480.00,0.00,480.00,0.00,
"-","-","South","MSFT Hyd",2025-06-25,"TAKEAWAY",346.00,190,37268.00,0.00,0.00,37268.00,1863.40,1863.40,39131.40,0.00,39131.40,0.00,
"-","-","South","MSFT Hyd",2025-06-26,"DINE IN",8.00,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2025-06-26,"TAKEAWAY",405.00,216,40221.00,0.00,0.00,40221.00,2011.05,2011.05,42232.05,-0.00,42232.05,0.00,
"-","-","South","MSFT Hyd",2025-06-27,"DINE IN",7.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
